Id,Label,GrantNum,PropVal,GrantVal
1,Algebra,69,10994687,34495473
2,Analytical Science,103,52782227,125293361
3,Antihydrogen,11,5041206,5858694
4,Architecture and Operating Systems,59,19796083,63762144
5,Artificial Intelligence Technologies,146,65295603,205788837
6,Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics,54,29098165,71519984
7,Bioenergy,33,23966633,51262088
8,Biological Informatics,23,14746695,48551924
9,Biomaterials and Tissue Engineering,100,61635823,139060530
10,Biophysics and Soft Matter Physics,76,30083339,81947009
11,Built Environment,71,23828782,96944191
12,Carbon Capture and Storage,36,30159488,49522736
13,Catalysis,144,58837980,131143179
14,Chemical Biology and Biological Chemistry,76,41235519,81099389
15,Chemical Reaction Dynamics and Mechanisms,68,23298581,71682090
16,Chemical Structure,53,16696919,46103566
17,Clinical Technologies (excluding imaging),102,64924754,132094141
18,CMOS Device Technology,3,282152,453205
19,Coastal and Waterway Engineering,31,11129610,21755432
20,Cold Atoms and Molecules,26,17071954,32933545
21,Combustion Engineering,32,7713039,12560756
22,Complex Fluids & Rheology,49,23931577,44142028
23,Complexity Science,42,33741711,85880890
24,Computational & Theoretical Chemistry,97,30259946,84625704
25,Condensed Matter: Electronic Structure,99,33986141,111580249
26,Condensed Matter: Magnetism and Magnetic Materials,92,29354269,84148935
27,Continuum Mechanics,41,10586132,37435515
28,Control Engineering,51,20910366,77483029
29,Conventional Generation & Combustion,12,5999149,15912201
30,Databases,17,8615697,27245642
31,Digital Signal Processing,61,22743269,63024914
32,Displays,4,3108318,15997798
33,Electrical Motors and Drive /  Electromagnetics,14,5554405,11846476
34,Electrochemical Sciences,27,9503855,38143227
35,Energy Efficiency (End Use Energy Demand),102,84321343,145443989
36,Energy Networks,65,49124013,76971117
37,Energy Storage,65,55749474,67778329
38,Engineering Approaches to Manufacturing Operations,32,3816936,69395891
39,Engineering Design,74,39548449,84715620
40,Fluid Dynamics and Aerodynamics,126,63167137,86855187
41,Fossil Fuel Power Generation,3,2149298,14082666
42,Fuel Cell Technology,28,18647423,44765918
43,Functional Ceramics and Inorganics,106,56637010,142210861
44,Geometry & Topology,88,19465100,50118155
45,Graphene and Carbon Nanotechnology,49,33127305,89475520
46,Graphics and Visualisation,34,23282857,56363028
47,Ground Engineering,38,17303781,39412359
48,Human Communication in ICT,23,4849078,20662521
49,Human-Computer Interaction,141,60173890,179161026
50,Hydrogen and Alternative Energy Vectors,22,16390303,34391674
51,ICT Networks & Distributed Systems,111,43914079,163096288
52,Image and Vision Computing,76,33174933,104436331
53,Information Systems,139,71079983,218886519
