Source	Target	Type	Weight	TotalVal
1	27	Undirected	9.0	9751656
1	44	Undirected	41.0	22452897
1	56	Undirected	18.0	12242615
1	63	Undirected	18.0	12999884
1	64	Undirected	2.0	1282030
1	65	Undirected	4.0	11508271
1	66	Undirected	17.0	13268366
1	76	Undirected	9.0	13239761
1	78	Undirected	16.0	13551232
1	79	Undirected	11.0	14274704
1	80	Undirected	3.0	8216450
1	95	Undirected	1.0	298236
1	105	Undirected	7.0	12940301
1	114	Undirected	2.0	1233540
2	8	Undirected	5.0	16883587
2	9	Undirected	7.0	12115438
2	10	Undirected	13.0	16430818
2	13	Undirected	9.0	5760514
2	14	Undirected	21.0	31662756
2	15	Undirected	5.0	7247698
2	16	Undirected	10.0	7232056
2	17	Undirected	9.0	8794229
2	24	Undirected	16.0	17438486
2	25	Undirected	1.0	187803
2	26	Undirected	3.0	1221793
2	31	Undirected	2.0	9806399
2	34	Undirected	4.0	6110507
2	39	Undirected	1.0	1004316
2	40	Undirected	3.0	1681777
2	42	Undirected	1.0	23578
2	43	Undirected	4.0	6727862
2	45	Undirected	1.0	23578
2	51	Undirected	1.0	492065
2	52	Undirected	2.0	4722049
2	53	Undirected	1.0	2992297
2	55	Undirected	1.0	204437
2	59	Undirected	2.0	1208753
2	62	Undirected	2.0	211381
2	65	Undirected	5.0	14222049
2	68	Undirected	10.0	17463910
2	71	Undirected	3.0	6368293
2	81	Undirected	1.0	461854
2	82	Undirected	4.0	11111182
2	84	Undirected	4.0	7840366
2	87	Undirected	1.0	5140372
2	90	Undirected	4.0	5008057
2	91	Undirected	3.0	5243623
2	100	Undirected	9.0	6467243
2	108	Undirected	3.0	3033117
2	111	Undirected	5.0	7519659
2	112	Undirected	4.0	2943772
2	113	Undirected	7.0	5266721
2	119	Undirected	2.0	1144954
3	20	Undirected	1.0	693517
3	55	Undirected	2.0	1391381
3	88	Undirected	2.0	726137
3	89	Undirected	1.0	697864
3	95	Undirected	1.0	259134
4	5	Undirected	3.0	2822851
4	8	Undirected	1.0	271072
4	23	Undirected	2.0	5610523
4	30	Undirected	1.0	2203028
4	31	Undirected	1.0	480201
4	40	Undirected	1.0	280147
4	49	Undirected	2.0	140482
4	51	Undirected	15.0	27721288
4	52	Undirected	2.0	4154902
4	53	Undirected	7.0	10588371
4	67	Undirected	7.0	4724604
4	68	Undirected	1.0	98669
4	69	Undirected	12.0	24428231
4	70	Undirected	1.0	919337
4	86	Undirected	2.0	40039
4	92	Undirected	21.0	32718018
4	97	Undirected	1.0	480201
4	98	Undirected	3.0	800954
4	101	Undirected	15.0	27453397
4	105	Undirected	1.0	563089
4	114	Undirected	10.0	20247771
4	117	Undirected	11.0	21487139
5	8	Undirected	7.0	7546368
5	17	Undirected	1.0	1430004
5	23	Undirected	2.0	8496278
5	28	Undirected	8.0	21248094
5	30	Undirected	4.0	12408233
5	31	Undirected	5.0	3548764
5	38	Undirected	1.0	1003586
5	39	Undirected	2.0	5066540
5	46	Undirected	2.0	5687384
5	48	Undirected	5.0	5348549
5	49	Undirected	28.0	38779588
5	51	Undirected	13.0	42329648
5	52	Undirected	12.0	21990606
5	53	Undirected	32.0	52859308
5	57	Undirected	2.0	2419050
5	64	Undirected	2.0	9097372
5	65	Undirected	3.0	2815278
5	67	Undirected	9.0	25332333
5	68	Undirected	1.0	98669
5	69	Undirected	5.0	7704088
5	73	Undirected	6.0	3067331
5	74	Undirected	17.0	8124875
5	76	Undirected	1.0	4142427
5	80	Undirected	1.0	6834903
5	82	Undirected	1.0	5004658
5	83	Undirected	1.0	5004658
5	86	Undirected	3.0	11191694
5	92	Undirected	2.0	2578630
5	95	Undirected	1.0	5004658
5	98	Undirected	2.0	16715985
5	99	Undirected	13.0	17507890
5	100	Undirected	2.0	5156666
5	101	Undirected	9.0	14806781
5	103	Undirected	1.0	603425
5	105	Undirected	15.0	65423257
5	107	Undirected	1.0	5004658
5	110	Undirected	1.0	4353851
