source,target,value
Algebra,Continuum Mechanics,9
Algebra,Geometry & Topology,41
Algebra,Logic and Combinatorics,18
Algebra,Mathematical Analysis,18
Algebra,Mathematical Aspects of Operational Research,2
Algebra,Mathematical Biology,4
Algebra,Mathematical Physics,17
Algebra,Non-Linear Systems,9
Algebra,Number Theory,16
Algebra,Numerical Analysis,11
Algebra,Operational Research,3
Algebra,Quantum Optics and Information,1
Algebra,Statistics and Applied Probability,7
Algebra,Theory of Computation,2
Analytical Science,Biological Informatics,5
Analytical Science,Biomaterials and Tissue Engineering,7
Analytical Science,Biophysics and Soft Matter Physics,13
Analytical Science,Catalysis,9
Analytical Science,Chemical Biology and Biological Chemistry,21
Analytical Science,Chemical Reaction Dynamics and Mechanisms,5
Analytical Science,Chemical Structure,10
Analytical Science,Clinical Technologies (excluding imaging),9
Analytical Science,Computational & Theoretical Chemistry,16
Analytical Science,Condensed Matter: Electronic Structure,1
Analytical Science,Condensed Matter: Magnetism and Magnetic Materials,3
Analytical Science,Digital Signal Processing,2
Analytical Science,Electrochemical Sciences,4
Analytical Science,Engineering Design,1
Analytical Science,Fluid Dynamics and Aerodynamics,3
Analytical Science,Fuel Cell Technology,1
Analytical Science,Functional Ceramics and Inorganics,4
Analytical Science,Graphene and Carbon Nanotechnology,1
Analytical Science,ICT Networks & Distributed Systems,1
Analytical Science,Image and Vision Computing,2
Analytical Science,Information Systems,1
Analytical Science,Light Matter Interaction and Optical Phenomena,1
Analytical Science,Materials Engineering - Ceramics,2
Analytical Science,Materials For Energy Applications,2
Analytical Science,Mathematical Biology,5
Analytical Science,Medical Imaging (inc medical image and vision computing),10
Analytical Science,Microsystems,3
Analytical Science,Optical Communications,1
Analytical Science,Optical Devices and Subsystems,4
Analytical Science,Particle Technology,4
Analytical Science,Photonic Materials and Metamaterials,1
Analytical Science,Polymer Materials,4
Analytical Science,Process Systems: Components and Integration,3
Analytical Science,Sensors and Instrumentation,9
Analytical Science,Surface Science,3
Analytical Science,Synthetic Coordination Chemistry,5
Analytical Science,Synthetic Organic Chemistry,4
Analytical Science,Synthetic Supramolecular Chemistry,7
Analytical Science,Water Engineering,2
Antihydrogen,Cold Atoms and Molecules,1
Antihydrogen,Light Matter Interaction and Optical Phenomena,2
Antihydrogen,Plasma and Lasers,2
Antihydrogen,Plasmonics,1
Antihydrogen,Quantum Optics and Information,1
Architecture and Operating Systems,Artificial Intelligence Technologies,3
Architecture and Operating Systems,Biological Informatics,1
Architecture and Operating Systems,Complexity Science,2
Architecture and Operating Systems,Databases,1
Architecture and Operating Systems,Digital Signal Processing,1
Architecture and Operating Systems,Fluid Dynamics and Aerodynamics,1
Architecture and Operating Systems,Human-Computer Interaction,2
Architecture and Operating Systems,ICT Networks & Distributed Systems,15
Architecture and Operating Systems,Image and Vision Computing,2
Architecture and Operating Systems,Information Systems,7
Architecture and Operating Systems,Maths of Computing,7
Architecture and Operating Systems,Medical Imaging (inc medical image and vision computing),1
Architecture and Operating Systems,Microelectronics Design,12
Architecture and Operating Systems,Microelectronics Device Technology,1
Architecture and Operating Systems,Pervasive and Ubiquitous Computing,2
Architecture and Operating Systems,Programming Languages and Compilers,21
Architecture and Operating Systems,RF & Microwave Devices,1
Architecture and Operating Systems,RF & MW Communications,3
Architecture and Operating Systems,Software Engineering,15
Architecture and Operating Systems,Statistics and Applied Probability,1
Architecture and Operating Systems,Theory of Computation,10
Architecture and Operating Systems,Verification and Correctness,11
Artificial Intelligence Technologies,Biological Informatics,7
Artificial Intelligence Technologies,Clinical Technologies (excluding imaging),1
Artificial Intelligence Technologies,Complexity Science,2
Artificial Intelligence Technologies,Control Engineering,8
Artificial Intelligence Technologies,Databases,4
Artificial Intelligence Technologies,Digital Signal Processing,5
Artificial Intelligence Technologies,Engineering Approaches to Manufacturing Operations,1
Artificial Intelligence Technologies,Engineering Design,2
Artificial Intelligence Technologies,Graphics and Visualisation,2
Artificial Intelligence Technologies,Human Communication in ICT,5
Artificial Intelligence Technologies,Human-Computer Interaction,28
Artificial Intelligence Technologies,ICT Networks & Distributed Systems,13
Artificial Intelligence Technologies,Image and Vision Computing,12
Artificial Intelligence Technologies,Information Systems,32
Artificial Intelligence Technologies,Manufacturing Technologies,2
Artificial Intelligence Technologies,Mathematical Aspects of Operational Research,2
Artificial Intelligence Technologies,Mathematical Biology,3
Artificial Intelligence Technologies,Maths of Computing,9
Artificial Intelligence Technologies,Medical Imaging (inc medical image and vision computing),1
Artificial Intelligence Technologies,Microelectronics Design,5
Artificial Intelligence Technologies,Music and Acoustic Technology,6
Artificial Intelligence Technologies,Natural Language Processing,17
Artificial Intelligence Technologies,Non-Linear Systems,1
Artificial Intelligence Technologies,Operational Research,1
Artificial Intelligence Technologies,Optical Devices and Subsystems,1
Artificial Intelligence Technologies,Optoelectronic Devices and Circuits,1
Artificial Intelligence Technologies,Pervasive and Ubiquitous Computing,3
Artificial Intelligence Technologies,Programming Languages and Compilers,2
Artificial Intelligence Technologies,Quantum Optics and Information,1
Artificial Intelligence Technologies,RF & MW Communications,2
Artificial Intelligence Technologies,Robotics,13
Artificial Intelligence Technologies,Sensors and Instrumentation,2
Artificial Intelligence Technologies,Software Engineering,9
Artificial Intelligence Technologies,Speech Technology,1
