Source	Target	Type	Weight	TotalVal
1	27	Undirected	9.0	9751656
1	43	Undirected	39.0	22142116
1	54	Undirected	16.0	11847038
1	61	Undirected	17.0	12898743
1	62	Undirected	4.0	8868828
1	63	Undirected	17.0	13268366
1	73	Undirected	10.0	13519529
1	75	Undirected	16.0	13551232
1	76	Undirected	11.0	14274704
1	92	Undirected	1.0	298236
1	102	Undirected	8.0	13220069
1	111	Undirected	3.0	1517354
2	8	Undirected	5.0	16883587
2	9	Undirected	7.0	12115438
2	10	Undirected	13.0	16430818
2	13	Undirected	9.0	5760514
2	14	Undirected	23.0	32118369
2	15	Undirected	4.0	6299367
2	16	Undirected	12.0	7687669
2	17	Undirected	9.0	8794229
2	24	Undirected	17.0	17538420
2	25	Undirected	1.0	187803
2	26	Undirected	3.0	1221793
2	31	Undirected	2.0	9806399
2	34	Undirected	4.0	1327460
2	39	Undirected	1.0	1004316
2	40	Undirected	3.0	1681777
2	41	Undirected	1.0	23578
2	42	Undirected	3.0	1587490
2	44	Undirected	1.0	23578
2	50	Undirected	1.0	492065
2	51	Undirected	2.0	4722049
2	52	Undirected	1.0	2992297
2	53	Undirected	1.0	204437
2	57	Undirected	2.0	1208753
2	60	Undirected	2.0	211381
2	61	Undirected	1.0	402902
2	65	Undirected	11.0	17563844
2	68	Undirected	3.0	6368293
2	73	Undirected	2.0	10175729
2	78	Undirected	1.0	461854
2	79	Undirected	4.0	11111182
2	81	Undirected	4.0	7840366
2	87	Undirected	4.0	5008057
2	88	Undirected	3.0	5243623
2	97	Undirected	9.0	6467243
2	102	Undirected	3.0	4046320
2	105	Undirected	3.0	3033117
2	108	Undirected	5.0	2736612
2	109	Undirected	4.0	2943772
2	110	Undirected	7.0	5266721
2	116	Undirected	2.0	1144954
3	20	Undirected	1.0	693517
3	53	Undirected	2.0	1391381
3	85	Undirected	2.0	726137
3	86	Undirected	1.0	697864
3	92	Undirected	1.0	259134
4	5	Undirected	3.0	2822851
4	8	Undirected	1.0	271072
4	23	Undirected	2.0	5610523
4	30	Undirected	1.0	2203028
4	31	Undirected	1.0	480201
4	40	Undirected	1.0	280147
4	48	Undirected	1.0	39455
4	50	Undirected	15.0	27721288
4	51	Undirected	2.0	4154902
4	52	Undirected	8.0	11029386
4	64	Undirected	7.0	4724604
4	65	Undirected	1.0	98669
4	66	Undirected	12.0	24428231
4	72	Undirected	1.0	919337
4	83	Undirected	2.0	40039
4	89	Undirected	23.0	35388320
4	94	Undirected	1.0	480201
4	95	Undirected	3.0	800954
4	98	Undirected	15.0	27453397
4	102	Undirected	1.0	563089
4	111	Undirected	11.0	22477058
4	114	Undirected	12.0	23716426
5	8	Undirected	8.0	8946603
5	17	Undirected	1.0	1430004
5	23	Undirected	4.0	10939962
5	28	Undirected	8.0	21248094
5	30	Undirected	5.0	13808468
5	31	Undirected	5.0	3548764
5	38	Undirected	1.0	1003586
5	39	Undirected	2.0	5066540
5	45	Undirected	2.0	5687384
5	47	Undirected	6.0	5666353
5	48	Undirected	30.0	44623462
5	50	Undirected	13.0	42329648
5	51	Undirected	12.0	21990606
5	52	Undirected	34.0	54577347
5	55	Undirected	2.0	2419050
5	62	Undirected	2.0	9097372
5	64	Undirected	9.0	25332333
5	65	Undirected	1.0	98669
5	66	Undirected	5.0	7704088
5	70	Undirected	6.0	3067331
5	71	Undirected	17.0	9424361
5	73	Undirected	1.0	4142427
5	79	Undirected	1.0	5004658
5	80	Undirected	1.0	5004658
5	83	Undirected	4.0	11498565
5	89	Undirected	2.0	2578630
5	92	Undirected	1.0	5004658
5	95	Undirected	2.0	16715985
5	96	Undirected	14.0	23044893
5	97	Undirected	2.0	5156666
5	98	Undirected	9.0	14806781
5	100	Undirected	1.0	603425
5	102	Undirected	17.0	67195086
5	104	Undirected	1.0	5004658
5	107	Undirected	1.0	4353851
5	111	Undirected	10.0	16695365
5	112	Undirected	2.0	6325423
5	114	Undirected	12.0	13609081
5	115	Undirected	1.0	1082116
6	9	Undirected	17.0	26821453
6	13	Undirected	1.0	896741
6	17	Undirected	12.0	34697704
6	28	Undirected	2.0	6016768
6	39	Undirected	3.0	966287
6	41	Undirected	1.0	99425
6	45	Undirected	2.0	4093110
6	48	Undirected	5.0	12679231
6	51	Undirected	2.0	4646884
6	52	Undirected	1.0	7174439
6	55	Undirected	1.0	968486
6	65	Undirected	7.0	16735113
6	66	Undirected	1.0	1016559
6	76	Undirected	1.0	466444
6	82	Undirected	1.0	275538
6	83	Undirected	1.0	923685
6	84	Undirected	2.0	878960
6	88	Undirected	1.0	896741
6	94	Undirected	1.0	1016559
6	96	Undirected	5.0	7811232
