source	target	value
Algebra	Continuum Mechanics	9
Algebra	Geometry & Topology	39
Algebra	Logic and Combinatorics	16
Algebra	Mathematical Analysis	17
Algebra	Mathematical Aspects of Operational Research	4
Algebra	Mathematical Physics	17
Algebra	Non-Linear Systems	10
Algebra	Number Theory	16
Algebra	Numerical Analysis	11
Algebra	Quantum Optics and Information	1
Algebra	Statistics and Applied Probability	8
Algebra	Theory of Computation	3
Analytical Science	Biological Informatics	5
Analytical Science	Biomaterials and Tissue Engineering	7
Analytical Science	Biophysics and Soft Matter Physics	13
Analytical Science	Catalysis	9
Analytical Science	Chemical Biology and Biological Chemistry	23
Analytical Science	Chemical Reaction Dynamics and Mechanisms	4
Analytical Science	Chemical Structure	12
Analytical Science	Clinical Technologies (excluding imaging)	9
Analytical Science	Computational & Theoretical Chemistry	17
Analytical Science	Condensed Matter: Electronic Structure	1
Analytical Science	Condensed Matter: Magnetism and Magnetic Materials	3
Analytical Science	Digital Signal Processing	2
Analytical Science	Electrochemical Sciences	4
Analytical Science	Engineering Design	1
Analytical Science	Fluid Dynamics and Aerodynamics	3
Analytical Science	Fuel Cell Technology	1
Analytical Science	Functional Ceramics and Inorganics	3
Analytical Science	Graphene and Carbon Nanotechnology	1
Analytical Science	ICT Networks & Distributed Systems	1
Analytical Science	Image and Vision Computing	2
Analytical Science	Information Systems	1
Analytical Science	Light Matter Interaction and Optical Phenomena	1
Analytical Science	Materials Engineering - Ceramics	2
Analytical Science	Materials For Energy Applications	2
Analytical Science	Mathematical Analysis	1
Analytical Science	Medical Imaging (inc medical image and vision computing)	11
Analytical Science	Microsystems	3
Analytical Science	Non-Linear Systems	2
Analytical Science	Optical Communications	1
Analytical Science	Optical Devices and Subsystems	4
Analytical Science	Particle Technology	4
Analytical Science	Polymer Materials	4
Analytical Science	Process Systems: Components and Integration	3
Analytical Science	Sensors and Instrumentation	12
Analytical Science	Statistics and Applied Probability	3
Analytical Science	Surface Science	3
Analytical Science	Synthetic Coordination Chemistry	5
Analytical Science	Synthetic Organic Chemistry	4
Analytical Science	Synthetic Supramolecular Chemistry	7
Analytical Science	Water Engineering	2
Antihydrogen	Cold Atoms and Molecules	1
Antihydrogen	Light Matter Interaction and Optical Phenomena	2
Antihydrogen	Plasma and Lasers	2
Antihydrogen	Plasmonics	1
Antihydrogen	Quantum Optics and Information	1
Architecture and Operating Systems	Artificial Intelligence Technologies	3
Architecture and Operating Systems	Biological Informatics	1
Architecture and Operating Systems	Complexity Science	2
Architecture and Operating Systems	Databases	1
Architecture and Operating Systems	Digital Signal Processing	1
Architecture and Operating Systems	Fluid Dynamics and Aerodynamics	1
Architecture and Operating Systems	Human-Computer Interaction	1
Architecture and Operating Systems	ICT Networks & Distributed Systems	15
Architecture and Operating Systems	Image and Vision Computing	2
Architecture and Operating Systems	Information Systems	8
Architecture and Operating Systems	Maths of Computing	7
Architecture and Operating Systems	Medical Imaging (inc medical image and vision computing)	1
Architecture and Operating Systems	Microelectronics Design	12
Architecture and Operating Systems	Non CMOS Device Technology	1
Architecture and Operating Systems	Pervasive and Ubiquitous Computing	2
Architecture and Operating Systems	Programming Languages and Compilers	23
Architecture and Operating Systems	RF & Microwave Devices	1
Architecture and Operating Systems	RF & MW Communications	3
Architecture and Operating Systems	Software Engineering	15
Architecture and Operating Systems	Statistics and Applied Probability	1
Architecture and Operating Systems	Theory of Computation	11
Architecture and Operating Systems	Verification and Correctness	12
Artificial Intelligence Technologies	Architecture and Operating Systems	3
Artificial Intelligence Technologies	Biological Informatics	10
