Id	Label	GrantNum	PropVal	GrantVal
1	Algebra	68	10663476	34390150
2	Analytical Science	105	51606922	120117530
3	Antihydrogen	11	5041206	5858694
4	Architecture and Operating Systems	60	20459727	66331420
5	Artificial Intelligence Technologies	150	69198109	213553551
6	Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics	54	29095653	71517472
7	Bioenergy	33	24716830	51262088
8	Biological Informatics	27	15129048	50942291
9	Biomaterials and Tissue Engineering	99	61209036	138254442
10	Biophysics and Soft Matter Physics	75	29994059	81135368
11	Built Environment	80	43311698	104149563
12	Carbon Capture and Storage	35	26118120	45481368
13	Catalysis	143	57860398	129323618
14	Chemical Biology and Biological Chemistry	77	41649478	84700840
15	Chemical Reaction Dynamics and Mechanisms	67	22792951	68388447
16	Chemical Structure	54	15855379	40227228
17	Clinical Technologies (excluding imaging)	101	64713932	131950617
18	CMOS Device Technology	9	2079524	13526069
19	Coastal and Waterway Engineering	32	11735575	22361397
20	Cold Atoms and Molecules	28	17247851	33791288
21	Combustion Engineering	1	363964	363964
22	Complex Fluids & Rheology	49	23931577	44142028
23	Complexity Science	49	39304217	94082489
24	Computational & Theoretical Chemistry	97	29391117	82045709
25	Condensed Matter: Electronic Structure	98	34176806	110873933
26	Condensed Matter: Magnetism and Magnetic Materials	89	28746927	82317405
27	Continuum Mechanics	45	12973400	43941060
28	Control Engineering	55	21712327	78643896
29	Conventional Generation & Combustion	45	15393330	34692450
30	Databases	18	8685709	28645877
31	Digital Signal Processing	62	22506329	62718603
32	Displays	4	3108318	15997798
33	Electrical Motors and Drive /  Electromagnetics	14	5554405	11846476
34	Electrochemical Sciences	25	5449082	25732708
35	Energy Efficiency (End Use Energy Demand)	99	83784530	143346856
36	Energy Networks	63	48870000	75994607
37	Energy Storage	59	52189268	65423914
38	Engineering Approaches to Manufacturing Operations	34	17798840	76064691
39	Engineering Design	69	35821611	81265848
40	Fluid Dynamics and Aerodynamics	126	63574186	86990947
41	Fuel Cell Technology	28	18647423	44765918
42	Functional Ceramics and Inorganics	105	55326976	130482614
43	Geometry & Topology	86	19129236	49714907
44	Graphene and Carbon Nanotechnology	47	32910190	88535722
45	Graphics and Visualisation	35	23320595	56444755
46	Ground Engineering	38	17303781	39412359
47	Human Communication in ICT	24	4868788	20761070
48	Human-Computer Interaction	148	65518054	188445569
49	Hydrogen and Alternative Energy Vectors	22	16390303	34391674
50	ICT Networks & Distributed Systems	116	44136287	158713499
51	Image and Vision Computing	78	33725805	104987203
52	Information Systems	145	71411629	215056891
53	Light Matter Interaction and Optical Phenomena	36	18049234	56617515
54	Logic and Combinatorics	38	6426759	19675468
55	Manufacturing Technologies	256	163052038	342780088
56	Marine Wave and Tidal	26	17362450	26759180
57	Materials Engineering - Ceramics	19	7786084	30533152
58	Materials Engineering - Composites	62	47079540	92153774
59	Materials Engineering - Metals & Alloys	65	59251124	96517724
60	Materials For Energy Applications	101	46926957	150146329
61	Mathematical Analysis	96	29947770	59118987
62	Mathematical Aspects of Operational Research	26	10608503	34830668
63	Mathematical Physics	40	7226250	28843075
64	Maths of Computing	40	10715461	39428354
65	Medical Imaging (inc medical image and vision computing)	132	88258480	156999216
66	Microelectronics Design	46	19388079	59023413
67	Microelectronics Device Technology	1	83362	416809
68	Microsystems	36	10425906	48737745
69	Mobile Computing	5	6024067	22317275
70	Music and Acoustic Technology	19	15802697	28310627
71	Natural Language Processing	26	5524706	16872217
72	Non CMOS Device Technology	58	30053234	89431050
73	Non-Linear Systems	58	18707667	84980664
74	Nuclear Fission	80	71580128	83641603
75	Number Theory	38	12477398	29794868
76	Numerical Analysis	64	19671315	66738294
77	Operational Research	1	0	1249600
78	Optical Communications	33	31816527	70491278
79	Optical Devices and Subsystems	47	34253814	99681659
80	Optoelectronic Devices and Circuits	69	51177445	133857884
81	Particle Technology	33	20200324	47796253
82	Performance and Inspection of Mechanical Structures and Systems	83	54598902	119778448
83	Pervasive and Ubiquitous Computing	44	11803806	49940255
84	Photonic Materials and Metamaterials	102	70044601	162638528
85	Plasma and Lasers	54	34707230	56155183
86	Plasmonics	11	6740210	12463772
87	Polymer Materials	109	54630742	151861123
88	Process Systems: Components and Integration	115	79869639	184639133
89	Programming Languages and Compilers	64	22336623	65029067
90	Quantum Devices, Components and Systems	43	173663807	191028788
91	Quantum Fluids and Solids	14	3814140	10735695
92	Quantum Optics and Information	77	33287122	99908585
93	Resource Efficiency	21	11948754	36017342
94	RF & Microwave Devices	46	18195471	38635427
95	RF & MW Communications	48	14526286	44971875
96	Robotics	69	36530870	89902590
97	Sensors and Instrumentation	74	24634061	73020022
98	Software Engineering	71	27327565	73672213
99	Solar Technology	51	34355113	58314662
100	Speech Technology	5	6937346	8202491
101	Spintronics	36	15473890	37566440
102	Statistics and Applied Probability	124	88132569	193544320
103	Structural Engineering	53	29461877	50541494
104	Superconductivity	40	14131023	53570375
105	Surface Science	42	15824585	47348171
106	Sustainable Land Management	28	25353103	61547062
107	Synthetic Biology	39	45108587	77082536
108	Synthetic Coordination Chemistry	51	19868032	43807278
109	Synthetic Organic Chemistry	49	28583418	61682229
110	Synthetic Supramolecular Chemistry	34	11683884	46077301
111	Theory of Computation	83	22492237	66854416
112	Transportation Operations and Management	37	19731473	69033009
113	UK Magnetic Fusion Research Programme	1	184590000	184590000
114	Verification and Correctness	90	20620791	70408749
115	Vision, Hearing and Other Senses	30	7386220	22497469
116	Water Engineering	39	29405928	52750974
117	Whole Energy Systems	24	36108467	72281140
118	Wind Power	18	21356189	34847521
