Source	Target	Type	Weight	Val
1	103	Undirected	1.0	34914
2	3	Undirected	15.0	2143198
2	22	Undirected	3.0	778528
2	29	Undirected	8.0	1831274
2	39	Undirected	2.0	343743
2	54	Undirected	6.0	1154582
2	61	Undirected	4.0	419972
2	64	Undirected	1.0	101972
2	65	Undirected	2.0	401940
2	68	Undirected	9.0	4698078
2	78	Undirected	5.0	3924679
2	84	Undirected	12.0	2171169
2	98	Undirected	11.0	4570401
2	100	Undirected	3.0	626449
2	103	Undirected	3.0	778528
2	106	Undirected	5.0	1090823
2	107	Undirected	27.0	10153052
2	123	Undirected	2.0	747318
2	126	Undirected	18.0	4648847
2	131	Undirected	10.0	6127753
2	148	Undirected	2.0	327242
2	150	Undirected	13.0	5863422
2	152	Undirected	4.0	419972
2	153	Undirected	5.0	1754360
2	158	Undirected	6.0	1154582
2	177	Undirected	4.0	419972
2	190	Undirected	3.0	266667
2	193	Undirected	6.0	2278948
2	205	Undirected	10.0	1655269
2	210	Undirected	8.0	1527544
3	18	Undirected	2.0	295550
3	29	Undirected	2.0	1032437
3	46	Undirected	13.0	6445287
3	56	Undirected	5.0	10262183
3	60	Undirected	2.0	5968622
3	65	Undirected	1.0	117690
3	82	Undirected	1.0	81228
3	84	Undirected	8.0	8889190
3	89	Undirected	10.0	10148179
3	99	Undirected	5.0	1403432
3	106	Undirected	2.0	5968622
3	107	Undirected	3.0	6020707
3	114	Undirected	1.0	117846
3	120	Undirected	2.0	7969517
3	122	Undirected	3.0	14471540
3	123	Undirected	5.0	6144593
3	126	Undirected	4.0	6928728
3	145	Undirected	1.0	3096172
3	150	Undirected	12.0	2578416
3	193	Undirected	1.0	563958
3	210	Undirected	3.0	333583
4	102	Undirected	1.0	11814897
4	106	Undirected	1.0	11814897
4	187	Undirected	1.0	11814897
5	11	Undirected	3.0	329076
5	27	Undirected	2.0	407984
5	48	Undirected	2.0	312995
5	53	Undirected	5.0	1581393
5	55	Undirected	23.0	20759660
5	89	Undirected	3.0	12717327
5	93	Undirected	35.0	14730273
5	105	Undirected	2.0	182871
5	115	Undirected	2.0	2983521
5	116	Undirected	67.0	22699627
5	123	Undirected	4.0	12932451
5	127	Undirected	83.0	26230011
5	128	Undirected	10.0	21619532
5	129	Undirected	112.0	32485034
5	146	Undirected	7.0	956029
5	148	Undirected	34.0	22435670
5	150	Undirected	24.0	20758942
5	175	Undirected	2.0	143595
5	187	Undirected	2.0	216923
5	190	Undirected	12.0	17046190
5	199	Undirected	6.0	12901022
6	12	Undirected	4.0	1481061
6	14	Undirected	2.0	410161
6	16	Undirected	4.0	2523890
6	18	Undirected	11.0	6160583
6	19	Undirected	33.0	20165178
6	28	Undirected	7.0	2469897
6	32	Undirected	22.0	5651552
6	35	Undirected	12.0	3975782
6	36	Undirected	71.0	27242214
6	37	Undirected	51.0	25659549
6	38	Undirected	25.0	5985878
6	45	Undirected	4.0	5587838
6	46	Undirected	3.0	1473109
6	47	Undirected	16.0	7978500
6	53	Undirected	6.0	3351021
6	63	Undirected	3.0	643422
6	68	Undirected	1.0	536720
6	71	Undirected	10.0	3561026
6	76	Undirected	17.0	3779333
6	83	Undirected	2.0	177975
6	89	Undirected	9.0	7847975
6	92	Undirected	2.0	577562
6	96	Undirected	26.0	8364663
6	97	Undirected	20.0	13825315
6	107	Undirected	43.0	18759460
6	114	Undirected	11.0	11988863
6	123	Undirected	34.0	17466265
6	124	Undirected	6.0	1921292
6	125	Undirected	19.0	6856608
6	131	Undirected	3.0	606484
6	134	Undirected	13.0	4059048
6	140	Undirected	5.0	4933623
6	142	Undirected	5.0	5924134
6	153	Undirected	3.0	1072945
6	157	Undirected	7.0	3375333
6	161	Undirected	2.0	1778262
6	176	Undirected	25.0	3159371
6	177	Undirected	2.0	735720
6	178	Undirected	4.0	6040668
6	183	Undirected	5.0	1363679
6	194	Undirected	35.0	9620714
6	198	Undirected	2.0	259002
6	200	Undirected	8.0	4853096
7	22	Undirected	2.0	224976
7	56	Undirected	2.0	224976
7	131	Undirected	2.0	264827
7	148	Undirected	1.0	133999
8	43	Undirected	1.0	41569
8	103	Undirected	3.0	105995
8	139	Undirected	2.0	64426
9	101	Undirected	1.0	62765
9	185	Undirected	1.0	62765
11	18	Undirected	21.0	4126738
11	22	Undirected	2.0	3746031
11	23	Undirected	11.0	6599962
11	29	Undirected	5.0	5633773
11	37	Undirected	3.0	3186614
11	43	Undirected	15.0	2614952
11	48	Undirected	4.0	1299007
11	49	Undirected	10.0	2470807
11	51	Undirected	7.0	821285
11	56	Undirected	10.0	3549467
11	64	Undirected	3.0	3841602
11	68	Undirected	4.0	2121449
11	78	Undirected	1.0	278356
11	93	Undirected	79.0	17334864
11	97	Undirected	10.0	1726563
11	101	Undirected	3.0	219031
11	103	Undirected	7.0	1774410
11	105	Undirected	29.0	6514794
11	106	Undirected	71.0	23099619
11	108	Undirected	8.0	4584337
11	116	Undirected	6.0	1152055
11	121	Undirected	4.0	2579274
11	126	Undirected	4.0	5072455
11	128	Undirected	17.0	4344373
11	134	Undirected	7.0	1612203
11	139	Undirected	9.0	3897548
11	141	Undirected	11.0	4146779
11	144	Undirected	4.0	1197984
11	145	Undirected	38.0	13047807
11	146	Undirected	21.0	5375339
11	150	Undirected	2.0	308107
11	153	Undirected	1.0	181404
11	156	Undirected	11.0	3856110
11	164	Undirected	7.0	1461905
11	179	Undirected	11.0	6826989
11	187	Undirected	45.0	12785055
11	190	Undirected	14.0	3174638
11	198	Undirected	17.0	6616873
11	199	Undirected	6.0	2113181
11	206	Undirected	3.0	1846568
11	207	Undirected	3.0	1710403
12	29	Undirected	2.0	603242
12	40	Undirected	1.0	94824
12	42	Undirected	8.0	2867788
12	54	Undirected	3.0	1004695
12	82	Undirected	4.0	1160035
12	98	Undirected	5.0	643593
12	125	Undirected	1.0	496797
12	138	Undirected	1.0	253180
12	142	Undirected	2.0	575854
12	151	Undirected	1.0	62421
12	193	Undirected	1.0	464456
12	202	Undirected	4.0	502050
12	205	Undirected	13.0	7005713
12	208	Undirected	16.0	3914534
12	209	Undirected	6.0	3777680
12	210	Undirected	20.0	5342372
14	19	Undirected	13.0	6094529
14	32	Undirected	45.0	12490570
14	36	Undirected	2.0	609733
14	37	Undirected	3.0	957795
14	38	Undirected	61.0	14487577
14	40	Undirected	12.0	6205974
14	96	Undirected	1.0	211480
14	107	Undirected	2.0	589698
14	125	Undirected	4.0	1289600
14	159	Undirected	10.0	2543692
15	160	Undirected	1.0	283861
16	18	Undirected	4.0	5319669
16	21	Undirected	4.0	735858
16	23	Undirected	9.0	2599154
16	28	Undirected	3.0	1667385
16	35	Undirected	9.0	4791070
16	47	Undirected	6.0	6427578
16	68	Undirected	5.0	7168108
16	69	Undirected	17.0	11829456
16	71	Undirected	3.0	448650
16	78	Undirected	24.0	23549777
16	97	Undirected	9.0	8752468
16	106	Undirected	6.0	6427578
16	123	Undirected	17.0	11256553
16	124	Undirected	18.0	12899313
16	125	Undirected	16.0	10416832
16	131	Undirected	9.0	15006153
16	134	Undirected	8.0	6448279
16	146	Undirected	5.0	1426602
16	153	Undirected	9.0	9321107
16	155	Undirected	19.0	12647816
16	177	Undirected	7.0	15843825
16	190	Undirected	6.0	6427578
16	198	Undirected	8.0	14246629
16	207	Undirected	10.0	5871389
17	19	Undirected	3.0	3040432
17	28	Undirected	7.0	1011050
17	32	Undirected	10.0	1309483
17	38	Undirected	3.0	2065240
17	41	Undirected	9.0	13389716
17	46	Undirected	11.0	5832119
17	63	Undirected	8.0	1355885
17	76	Undirected	2.0	1480518
17	79	Undirected	7.0	12600211
17	80	Undirected	8.0	13360615
17	81	Undirected	6.0	12929441
17	82	Undirected	8.0	13360615
17	83	Undirected	7.0	13349541
17	92	Undirected	14.0	15259467
17	99	Undirected	9.0	3369357
17	138	Undirected	3.0	1303385
17	151	Undirected	3.0	1303385
17	165	Undirected	4.0	2349437
17	166	Undirected	4.0	2349437
17	167	Undirected	5.0	2360511
17	177	Undirected	3.0	464039
17	189	Undirected	9.0	12901345
17	195	Undirected	9.0	13440793
17	196	Undirected	13.0	14960028
17	211	Undirected	8.0	12791325
18	19	Undirected	4.0	1370380
18	23	Undirected	7.0	6251761
18	35	Undirected	5.0	3893115
18	36	Undirected	8.0	6672794
18	47	Undirected	8.0	8379949
18	87	Undirected	1.0	3483004
18	93	Undirected	11.0	3055845
18	97	Undirected	28.0	8541602
18	106	Undirected	36.0	20711037
18	107	Undirected	4.0	869793
18	116	Undirected	3.0	427000
18	125	Undirected	2.0	469687
18	127	Undirected	3.0	711648
18	134	Undirected	14.0	5825356
18	140	Undirected	8.0	5072512
18	145	Undirected	5.0	573985
18	146	Undirected	7.0	5993123
18	148	Undirected	5.0	1683064
18	156	Undirected	4.0	399281
18	164	Undirected	4.0	722887
18	187	Undirected	3.0	561488
18	190	Undirected	31.0	10894331
18	198	Undirected	3.0	2157634
18	199	Undirected	13.0	4391855
19	21	Undirected	15.0	17495449
19	28	Undirected	18.0	1788054
19	30	Undirected	11.0	16898345
19	32	Undirected	25.0	9426468
19	35	Undirected	15.0	14775553
19	36	Undirected	83.0	39046676
19	37	Undirected	36.0	14734672
19	38	Undirected	128.0	59661413
19	40	Undirected	22.0	10087264
19	45	Undirected	13.0	18921381
19	47	Undirected	21.0	2773203
19	71	Undirected	36.0	8593027
19	76	Undirected	6.0	4436914
19	92	Undirected	3.0	3503008
19	93	Undirected	10.0	923467
19	96	Undirected	6.0	1946347
19	97	Undirected	14.0	9174636
19	107	Undirected	4.0	5400555
19	114	Undirected	4.0	2430883
19	115	Undirected	10.0	923467
19	123	Undirected	22.0	7838508
19	124	Undirected	6.0	3049972
19	125	Undirected	18.0	7856877
19	134	Undirected	27.0	7407138
19	137	Undirected	4.0	15227834
19	140	Undirected	10.0	923467
19	148	Undirected	10.0	923467
19	154	Undirected	1.0	1423468
19	157	Undirected	5.0	2335273
19	159	Undirected	6.0	1887849
19	176	Undirected	12.0	5246780
19	180	Undirected	1.0	61904
19	183	Undirected	2.0	496162
19	194	Undirected	16.0	23167605
19	197	Undirected	3.0	1676660
19	200	Undirected	7.0	1145487
20	27	Undirected	1.0	147385
20	36	Undirected	4.0	500857
20	133	Undirected	1.0	235135
20	169	Undirected	1.0	76530
21	22	Undirected	3.0	4443229
21	28	Undirected	3.0	273516
21	35	Undirected	11.0	21838039
21	36	Undirected	3.0	10300906
21	47	Undirected	9.0	2732013
21	55	Undirected	2.0	291801
21	56	Undirected	3.0	525069
21	61	Undirected	2.0	360564
21	65	Undirected	2.0	200877
21	68	Undirected	2.0	421309
21	71	Undirected	8.0	5325522
21	82	Undirected	2.0	616150
21	84	Undirected	5.0	2916165
21	97	Undirected	2.0	352422
21	100	Undirected	2.0	115102
21	105	Undirected	3.0	1712802
21	107	Undirected	7.0	2212771
21	121	Undirected	2.0	360564
21	123	Undirected	55.0	27557209
21	124	Undirected	25.0	19264300
21	125	Undirected	20.0	17002687
21	126	Undirected	7.0	2890503
21	131	Undirected	15.0	9783680
21	134	Undirected	11.0	11873245
21	153	Undirected	3.0	10458381
21	155	Undirected	4.0	11794796
21	176	Undirected	3.0	1323935
21	179	Undirected	2.0	256751
21	181	Undirected	2.0	930415
21	191	Undirected	1.0	101745
21	194	Undirected	24.0	11186124
21	199	Undirected	1.0	289095
21	200	Undirected	54.0	25221544
21	209	Undirected	1.0	168638
22	23	Undirected	4.0	576744
22	35	Undirected	1.0	357623
22	55	Undirected	2.0	523506
22	56	Undirected	3.0	505430
22	64	Undirected	2.0	3746031
22	68	Undirected	3.0	271008
22	84	Undirected	2.0	800084
22	103	Undirected	9.0	2307325
22	107	Undirected	2.0	1192239
22	109	Undirected	4.0	2393923
22	126	Undirected	1.0	701561
22	131	Undirected	18.0	14370853
22	134	Undirected	5.0	4870178
22	145	Undirected	4.0	433862
22	178	Undirected	1.0	357623
22	200	Undirected	6.0	14793068
22	207	Undirected	2.0	233975
