Id	Label	Num	Val
1	acoustics	8	1492933	
2	aerodynamics	157	18337451	
3	algebra & geometry	268	14900406	
4	analytical science	135	22979378	
5	artificial intelligence	133	16834515	
6	assess/remediate contamination	42	4953719	
7	asymmetric chemistry	187	12313075	
8	atoms & ions	224	46364062	
9	bioelectronic devices	1	49679	
10	bioenergy	5	562963	
11	biological & medicinal chem.	211	25235606	
12	biomaterials	106	28736961	
13	biomechanics & rehabilitation	2	208246	
14	bioprocess engineering	2	893176	
15	building ops & management	190	17788250	
16	carbohydrate chemistry	24	1920505	
17	catalysis & applied catalysis	288	41348790	
18	catalysis & enzymology	1	104794	
19	cells	2	727467	
20	chemical biology	1	104794	
21	chemical structure	253	40453029	
22	chemical synthetic methodology	470	51412325	
23	civil engineering materials	294	25079586	
24	co-ordination chemistry	68	6228805	
25	coal technology	23	1844856	
26	coastal & waterway engineering	134	13981192	
27	cognitive science appl. in ict	48	4200498	
28	cold atomic species	3	480395	
29	combinatorial chemistry	30	31979080	
30	combustion	230	25241206	
31	complex fluids & soft solids	181	25507581	
32	computer graphics & visual.	21	3943981	
33	condensed matter physics	372	95053530	
34	construction ops & management	155	16333438	
35	continuum mechanics	149	9277276	
36	control engineering	144	17376770	
37	design & testing technology	203	41945562	
38	design engineering	201	36814905	
39	design of process systems	121	34608994	
40	design processes	102	23411382	
41	development (biosciences)	3	156308	
42	digital signal processing	182	22004380	
43	displays	29	4170045	
44	drug formulation & delivery	1	51697	
45	electric motor & drive systems	92	12038073	
46	electrochemical science & eng.	129	15001993	
47	electromagnetics	25	3082744	
48	electronic devices & subsys.	131	66679316	
49	energy - conventional	8	1599229	
50	energy - marine & hydropower	2	178248	
51	energy - nuclear	4	348634	
52	energy efficiency	80	9621048	
53	energy storage	28	3824556	
54	eng. dynamics & tribology	268	29145433	
55	fluid dynamics	121	14296939	
56	fuel cell technologies	44	5698208	
57	fundamentals of computing	197	21206545	
58	fusion	1	133138	
59	gas & solution phase reactions	116	18223275	
60	ground engineering	133	11986760	
61	heat & mass transfer	73	7483859	
62	human communication in ict	117	16907508	
63	human-computer interactions	116	13686888	
64	image & vision computing	227	31233662	
65	information & knowledge mgmt	167	20543912	
66	instrumentation eng. & dev.	479	86796767	
67	intelligent & expert systems	49	6395361	
68	intelligent measurement sys.	68	8550439	
69	lasers & optics	183	40701092	
70	light-matter interactions	2	173047	
71	logic & combinatorics	58	1774069	
72	magnetism/magnetic phenomena	116	10388905	
73	manufact. business strategy	161	20137296	
74	manufact. enterprise ops& mgmt	134	19340531	
75	manufacturing machine & plant	125	31421846	
76	materials characterisation	1437	250687834	
77	materials processing	748	203166413	
78	materials synthesis & growth	628	145266958	
79	materials testing & eng.	188	28185972	
80	mathematical analysis	212	10058459	
81	mathematical aspects of or	37	5061582	
82	mathematical physics	90	5859517	
83	mech. & fluid power transmiss.	32	6860993	
84	med.instrument.device& equip.	12	2352888	
85	medical science & disease	4	256576	
86	microsystems	6	732237	
87	mining & minerals extraction	14	1292033	
88	mobile computing	1	1500000	
89	modelling & simul. of it sys.	1	51943	
90	multimedia	56	7560581	
91	multiphase flow	128	14152281	
92	music & acoustic technology	3	535230	
93	networks & distributed systems	228	28072961	
94	new & emerging comp. paradigms	10	717602	
95	non-linear systems mathematics	196	14789767	
96	nuclear structure	105	56485878	
97	numerical analysis	137	7901228	
98	oil & gas extraction	93	11019413	
99	optical communications	113	26182578	
100	optical devices & subsystems	141	32936520	
101	optical phenomena	34	4493384	
102	optoelect. devices & circuits	264	105673619	
103	parallel computing	143	19450475	
104	particle technology	135	16776482	
105	pavement engineering	25	2628005	
106	physical organic chemistry	46	4441567	
107	plasmas - laser & fusion	59	12421790	
108	plasmas - technological	56	6505639	
109	population ecology	1	52668	
110	power electronics	41	5666961	
111	power sys man, prot & control	44	5110041	
112	power systems plant	39	4760209	
113	quantum fluids & solids	57	9503058	
114	quantum optics & information	8	1372472	
115	reactor engineering	23	2635800	
116	rf & microwave technology	184	31149929	
117	rheology	50	5332002	
118	robotics & autonomy	65	8514063	
119	safety & reliability of plant	33	3330300	
120	scattering & spectroscopy	7	1743101	
121	separation processes	150	15390746	
122	software engineering	279	35721229	
123	solar technology	65	8448834	
124	statistics & appl. probability	167	9415713	
125	surfaces & interfaces	272	64912950	
126	sustainable energy networks	4	505989	
127	sustainable energy vectors	3	250025	
128	system on chip	33	6091931	
129	theoretical biology	7	2621923	
130	tissue engineering	6	4297807	
131	tools for the biosciences	1	131372	
132	transport ops & management	185	16336183	
133	underwater engineering	25	2526036	
134	urban & land management	75	9099271	
135	vision & senses - ict appl.	33	3475973	
136	vlsi design	49	14850916	
137	waste management	42	4825299	
138	waste minimisation	108	13960979	
139	water engineering	125	12927527	
140	wind power	17	1563905	
