Source	Target	Type	Weight
1	21	Undirected	1.0
1	124	Undirected	1.0
1	154	Undirected	1.0
2	3	Undirected	15.0
2	24	Undirected	1.0
2	38	Undirected	14.0
2	48	Undirected	5.0
2	49	Undirected	6.0
2	71	Undirected	1.0
2	77	Undirected	10.0
2	82	Undirected	5.0
2	91	Undirected	2.0
2	93	Undirected	13.0
2	99	Undirected	5.0
2	113	Undirected	2.0
2	119	Undirected	4.0
2	122	Undirected	1.0
2	129	Undirected	3.0
2	139	Undirected	7.0
2	141	Undirected	5.0
2	169	Undirected	1.0
2	182	Undirected	2.0
2	194	Undirected	1.0
3	15	Undirected	1.0
3	23	Undirected	3.0
3	38	Undirected	18.0
3	47	Undirected	1.0
3	48	Undirected	18.0
3	53	Undirected	4.0
3	68	Undirected	3.0
3	74	Undirected	3.0
3	75	Undirected	5.0
3	82	Undirected	10.0
3	87	Undirected	2.0
3	92	Undirected	3.0
3	93	Undirected	16.0
3	98	Undirected	3.0
3	99	Undirected	5.0
3	114	Undirected	2.0
3	116	Undirected	3.0
3	117	Undirected	6.0
3	119	Undirected	6.0
3	129	Undirected	2.0
3	130	Undirected	3.0
3	139	Undirected	2.0
3	144	Undirected	2.0
3	154	Undirected	2.0
3	155	Undirected	2.0
3	164	Undirected	3.0
3	187	Undirected	2.0
3	193	Undirected	1.0
3	194	Undirected	4.0
3	196	Undirected	10.0
4	48	Undirected	26.0
4	98	Undirected	4.0
4	107	Undirected	27.0
4	121	Undirected	28.0
4	122	Undirected	9.0
4	123	Undirected	36.0
4	139	Undirected	25.0
4	141	Undirected	28.0
4	169	Undirected	1.0
4	182	Undirected	25.0
4	191	Undirected	5.0
5	13	Undirected	8.0
5	15	Undirected	3.0
5	17	Undirected	4.0
5	23	Undirected	1.0
5	24	Undirected	4.0
5	25	Undirected	7.0
5	27	Undirected	8.0
5	28	Undirected	16.0
5	29	Undirected	12.0
5	32	Undirected	6.0
5	40	Undirected	2.0
5	52	Undirected	2.0
5	54	Undirected	1.0
5	62	Undirected	10.0
5	64	Undirected	3.0
5	69	Undirected	7.0
5	71	Undirected	9.0
5	76	Undirected	5.0
5	77	Undirected	4.0
5	85	Undirected	4.0
5	88	Undirected	12.0
5	89	Undirected	2.0
5	96	Undirected	1.0
5	97	Undirected	5.0
5	99	Undirected	26.0
5	105	Undirected	4.0
5	110	Undirected	3.0
5	113	Undirected	5.0
5	114	Undirected	6.0
5	116	Undirected	13.0
5	117	Undirected	7.0
5	118	Undirected	17.0
5	124	Undirected	13.0
5	127	Undirected	3.0
5	129	Undirected	4.0
5	136	Undirected	4.0
5	139	Undirected	2.0
5	142	Undirected	3.0
5	144	Undirected	16.0
5	145	Undirected	2.0
5	146	Undirected	11.0
5	151	Undirected	5.0
5	170	Undirected	3.0
5	179	Undirected	1.0
5	182	Undirected	1.0
5	185	Undirected	2.0
