Source	Target	Type	Weight
50750	112206	Undirected	4.0
50750	-199356	Undirected	4.0
50750	43504	Undirected	4.0
50750	2451	Undirected	4.0
50750	16056	Undirected	4.0
50750	-159364	Undirected	4.0
50750	115183	Undirected	4.0
50750	-464583	Undirected	4.0
50750	-480284	Undirected	4.0
50750	96777	Undirected	4.0
50750	-218454	Undirected	4.0
83317	49734	Undirected	4.0
83317	5592	Undirected	4.0
83317	3322	Undirected	4.0
83317	43946	Undirected	5.0
83317	62734	Undirected	5.0
83317	124105	Undirected	4.0
83317	34187	Undirected	5.0
83317	-117640	Undirected	4.0
49734	5592	Undirected	4.0
49734	3322	Undirected	4.0
49734	43946	Undirected	4.0
49734	62734	Undirected	4.0
49734	124105	Undirected	4.0
49734	34187	Undirected	4.0
5592	3322	Undirected	4.0
5592	43946	Undirected	4.0
5592	62734	Undirected	4.0
5592	124105	Undirected	4.0
5592	34187	Undirected	4.0
3322	43946	Undirected	4.0
3322	62734	Undirected	4.0
3322	124105	Undirected	4.0
3322	34187	Undirected	4.0
43946	62734	Undirected	4.0
43946	124105	Undirected	4.0
43946	34187	Undirected	5.0
43946	-242443	Undirected	4.0
43946	39752	Undirected	4.0
43946	3262	Undirected	4.0
43946	76625	Undirected	4.0
43946	95046	Undirected	4.0
43946	54110	Undirected	6.0
43946	36103	Undirected	4.0
43946	12945	Undirected	4.0
43946	8111	Undirected	4.0
43946	-211480	Undirected	4.0
43946	39084	Undirected	4.0
43946	6882	Undirected	4.0
43946	2627	Undirected	4.0
43946	72895	Undirected	4.0
43946	17707	Undirected	4.0
43946	-357490	Undirected	4.0
43946	34519	Undirected	4.0
43946	35210	Undirected	4.0
43946	61977	Undirected	4.0
43946	72554	Undirected	4.0
43946	87566	Undirected	5.0
43946	-117640	Undirected	6.0
43946	-399564	Undirected	4.0
43946	-518814	Undirected	4.0
43946	122900	Undirected	4.0
62734	124105	Undirected	4.0
62734	34187	Undirected	5.0
124105	34187	Undirected	4.0
34187	22096	Undirected	4.0
34187	54110	Undirected	4.0
34187	-198610	Undirected	4.0
34187	36758	Undirected	4.0
34187	54239	Undirected	4.0
-242443	50145	Undirected	4.0
-242443	-95963	Undirected	4.0
-242443	102086	Undirected	4.0
-242443	39752	Undirected	4.0
-242443	-399202	Undirected	4.0
-242443	2683	Undirected	4.0
-242443	37796	Undirected	4.0
-242443	-466014	Undirected	4.0
-389830	-419516	Undirected	5.0
-389830	50120	Undirected	5.0
-389830	50695	Undirected	5.0
-389830	-181942	Undirected	5.0
-389830	10032	Undirected	5.0
-389830	111515	Undirected	5.0
-389830	62186	Undirected	5.0
-389830	-418008	Undirected	5.0
-389830	34631	Undirected	5.0
-389830	43529	Undirected	4.0
-419516	50120	Undirected	5.0
-419516	50695	Undirected	5.0
-419516	-181942	Undirected	5.0
-419516	10032	Undirected	5.0
-419516	111515	Undirected	5.0
-419516	62186	Undirected	5.0
-419516	-418008	Undirected	5.0
-419516	34631	Undirected	5.0
-419516	43529	Undirected	4.0
