Id	Label	Num
50750	professor d jaroszynski	5	
78842	professor m borghesi	2	
56605	professor r barlow	1	
-5718	professor kj kirkby	3	
-379226	dr a krynkin	3	
83317	professor dj wagg	6	
49734	professor s elliott	4	
5592	professor mi friswell	4	
3322	professor j cooper	4	
43946	professor k worden	8	
62734	professor rs langley	6	
124105	professor sa neild	4	
34187	professor ar champneys	7	
-438388	dr c n richardson	4	
-242443	dr f cegla	5	
73967	professor m clark	3	
-485984	professor a pinelli	3	
-484107	dr m omidyeganeh	3	
-527040	professor p joseph	3	
-210302	dr tp chong	3	
21767	professor k choi	3	
117988	professor m mather	3	
101049	dr a mcalpine	2	
-108241	dr g gabard	2	
-150134	dr rh self	3	
-389830	professor m passmore	5	
-419516	dr dj o'boy	5	
50120	dr s ibrahim	6	
50695	dr sj walsh	5	
-181942	dr g mavros	5	
10032	professor w malalasekera	6	
111515	dr pr cunningham	5	
62186	dr m best	5	
-418008	dr a garmory	6	
34631	professor gj page	6	
-411003	dr h xia	2	
34917	dr t newson	3	
107181	professor p wilson	3	
-118075	professor dj thompson	5	
39154	professor r dwyer-joyce	6	
67244	professor nd sandham	6	
-191201	dr m van reeuwijk	6	
43529	professor sj sherwin	7	
-120212	dr t zaki	4	
-23873	professor y yao	4	
41846	professor d drikakis	4	
78875	dr e avital	4	
42780	professor kh luo	7	
-161344	dr p ricco	4	
41915	professor d emerson	11	
42031	dr d swailes	4	
9409	professor m leschziner	6	
13957	professor am savill	5	
55914	professor jc vassilicos	6	
101564	professor s he	5	
24189	professor w jones	5	
56727	professor j shrimpton	4	
113809	dr ym chung	6	
17143	professor j williams	4	
-393156	dr p e vincent	8	
55710	dr f nicolleau	4	
58157	professor m reeks	4	
89185	dr z hu	4	
70395	dr g papadakis	4	
-251824	dr e touber	4	
117837	professor p. g. tucker	4	
81895	professor d laurence	4	
104071	professor x jiang	6	
-236908	dr a wheeler	6	
50145	professor b drinkwater	9	
-95963	dr aj croxford	6	
102086	professor pd wilcox	8	
