Source,Target,Type,Weight,Val
50750,78842,Undirected,1.0,1927885
50750,-5718,Undirected,1.0,1927885
78842,-5718,Undirected,1.0,1927885
83317,49734,Undirected,1.0,3768933
83317,3322,Undirected,1.0,3768933
83317,62734,Undirected,1.0,3768933
83317,34187,Undirected,1.0,3768933
49734,3322,Undirected,1.0,3768933
49734,62734,Undirected,1.0,3768933
49734,34187,Undirected,1.0,3768933
5592,43946,Undirected,1.0,3768933
5592,124105,Undirected,1.0,3768933
3322,43946,Undirected,1.0,3768933
3322,124105,Undirected,1.0,3768933
43946,62734,Undirected,1.0,3768933
43946,34187,Undirected,1.0,3768933
62734,34187,Undirected,1.0,3768933
-485984,-484107,Undirected,1.0,260781
101049,-150134,Undirected,1.0,323467
-389830,-419516,Undirected,1.0,1500938
-389830,50695,Undirected,1.0,1500938
-389830,10032,Undirected,1.0,1500938
-389830,62186,Undirected,1.0,1500938
-389830,34631,Undirected,1.0,1500938
-419516,50695,Undirected,1.0,1500938
-419516,10032,Undirected,1.0,1500938
-419516,62186,Undirected,1.0,1500938
-419516,34631,Undirected,1.0,1500938
50120,-181942,Undirected,1.0,1500938
50120,111515,Undirected,1.0,1500938
50120,-418008,Undirected,1.0,1500938
50695,-181942,Undirected,1.0,1500938
50695,111515,Undirected,1.0,1500938
50695,-418008,Undirected,1.0,1500938
-181942,10032,Undirected,1.0,1500938
-181942,62186,Undirected,1.0,1500938
-181942,34631,Undirected,1.0,1500938
10032,62186,Undirected,1.0,1500938
10032,34631,Undirected,1.0,1500938
111515,-418008,Undirected,1.0,1500938
62186,-418008,Undirected,1.0,1500938
-418008,34631,Undirected,1.0,1500938
34917,-118075,Undirected,1.0,493563
67244,-191201,Undirected,1.0,572579
67244,-120212,Undirected,1.0,572579
67244,41846,Undirected,1.0,572579
67244,42780,Undirected,1.0,572579
67244,41915,Undirected,1.0,572579
67244,9409,Undirected,1.0,572579
67244,55914,Undirected,1.0,572579
67244,24189,Undirected,1.0,572579
67244,113809,Undirected,1.0,572579
67244,-393156,Undirected,1.0,572579
67244,58157,Undirected,1.0,572579
67244,70395,Undirected,1.0,572579
67244,117837,Undirected,1.0,572579
67244,34631,Undirected,1.0,572579
67244,-236908,Undirected,1.0,572579
-191201,-120212,Undirected,1.0,572579
-191201,41846,Undirected,1.0,572579
-191201,42780,Undirected,1.0,572579
-191201,41915,Undirected,1.0,572579
-191201,9409,Undirected,2.0,4852432
-191201,55914,Undirected,1.0,572579
-191201,24189,Undirected,1.0,572579
-191201,113809,Undirected,1.0,572579
-191201,-393156,Undirected,1.0,572579
-191201,58157,Undirected,1.0,572579
-191201,70395,Undirected,1.0,572579
-191201,117837,Undirected,1.0,572579
-191201,34631,Undirected,1.0,572579
-191201,-236908,Undirected,1.0,572579
43529,-23873,Undirected,1.0,572579
43529,78875,Undirected,1.0,572579
43529,-161344,Undirected,1.0,572579
43529,42031,Undirected,1.0,572579
43529,13957,Undirected,1.0,572579
43529,101564,Undirected,1.0,572579
43529,56727,Undirected,1.0,572579
43529,17143,Undirected,1.0,572579
43529,55710,Undirected,1.0,572579
43529,89185,Undirected,1.0,572579
43529,-251824,Undirected,1.0,572579
43529,81895,Undirected,1.0,572579
43529,104071,Undirected,1.0,572579
-120212,-23873,Undirected,1.0,572579
-120212,78875,Undirected,1.0,572579
-120212,-161344,Undirected,1.0,572579
-120212,42031,Undirected,1.0,572579
-120212,13957,Undirected,1.0,572579
-120212,101564,Undirected,1.0,572579
-120212,56727,Undirected,1.0,572579
-120212,17143,Undirected,1.0,572579
-120212,55710,Undirected,1.0,572579
-120212,89185,Undirected,1.0,572579
-120212,-251824,Undirected,1.0,572579
-120212,81895,Undirected,1.0,572579
-120212,104071,Undirected,1.0,572579
-23873,41846,Undirected,1.0,572579
-23873,42780,Undirected,1.0,572579
-23873,41915,Undirected,1.0,572579
-23873,9409,Undirected,1.0,572579
-23873,55914,Undirected,1.0,572579
-23873,24189,Undirected,1.0,572579
-23873,113809,Undirected,1.0,572579
-23873,-393156,Undirected,1.0,572579
-23873,58157,Undirected,1.0,572579
-23873,70395,Undirected,1.0,572579
-23873,117837,Undirected,1.0,572579
-23873,34631,Undirected,1.0,572579
-23873,-236908,Undirected,1.0,572579
41846,42780,Undirected,1.0,572579
41846,41915,Undirected,1.0,572579
41846,9409,Undirected,1.0,572579
41846,55914,Undirected,1.0,572579
41846,24189,Undirected,1.0,572579
41846,113809,Undirected,1.0,572579
41846,-393156,Undirected,1.0,572579
41846,58157,Undirected,1.0,572579
41846,70395,Undirected,1.0,572579
41846,117837,Undirected,1.0,572579
41846,34631,Undirected,1.0,572579
41846,-236908,Undirected,1.0,572579
78875,-161344,Undirected,1.0,572579
78875,42031,Undirected,1.0,572579
78875,13957,Undirected,1.0,572579
78875,101564,Undirected,1.0,572579
78875,56727,Undirected,1.0,572579
78875,17143,Undirected,1.0,572579
78875,55710,Undirected,1.0,572579
78875,89185,Undirected,1.0,572579
78875,-251824,Undirected,1.0,572579
78875,81895,Undirected,1.0,572579
78875,104071,Undirected,1.0,572579
42780,-161344,Undirected,1.0,572579
42780,42031,Undirected,1.0,572579
42780,13957,Undirected,2.0,970003
42780,101564,Undirected,1.0,572579
42780,56727,Undirected,1.0,572579
42780,17143,Undirected,1.0,572579
42780,55710,Undirected,1.0,572579
42780,89185,Undirected,2.0,622096
42780,-251824,Undirected,1.0,572579
42780,81895,Undirected,1.0,572579
42780,104071,Undirected,1.0,572579
-161344,41915,Undirected,1.0,572579
-161344,9409,Undirected,1.0,572579
-161344,55914,Undirected,1.0,572579
-161344,24189,Undirected,1.0,572579
-161344,113809,Undirected,1.0,572579
-161344,-393156,Undirected,1.0,572579
-161344,58157,Undirected,1.0,572579
-161344,70395,Undirected,1.0,572579
-161344,117837,Undirected,1.0,572579
-161344,34631,Undirected,1.0,572579
-161344,-236908,Undirected,1.0,572579
41915,9409,Undirected,1.0,572579
41915,55914,Undirected,1.0,572579
41915,24189,Undirected,1.0,572579
41915,113809,Undirected,1.0,572579
41915,-393156,Undirected,1.0,572579
41915,58157,Undirected,1.0,572579
41915,70395,Undirected,1.0,572579
41915,117837,Undirected,1.0,572579
41915,34631,Undirected,1.0,572579
41915,-236908,Undirected,1.0,572579
42031,13957,Undirected,1.0,572579
42031,101564,Undirected,1.0,572579
42031,56727,Undirected,1.0,572579
42031,17143,Undirected,1.0,572579
42031,55710,Undirected,1.0,572579
42031,89185,Undirected,1.0,572579
42031,-251824,Undirected,1.0,572579
42031,81895,Undirected,1.0,572579
42031,104071,Undirected,1.0,572579
9409,13957,Undirected,1.0,572579
9409,101564,Undirected,1.0,572579
9409,56727,Undirected,1.0,572579
9409,17143,Undirected,1.0,572579
9409,55710,Undirected,1.0,572579
9409,89185,Undirected,1.0,572579
9409,-251824,Undirected,1.0,572579
9409,81895,Undirected,1.0,572579
9409,104071,Undirected,1.0,572579
13957,55914,Undirected,1.0,572579
13957,24189,Undirected,1.0,572579
13957,113809,Undirected,1.0,572579
13957,-393156,Undirected,1.0,572579
13957,58157,Undirected,1.0,572579
13957,70395,Undirected,1.0,572579
13957,117837,Undirected,1.0,572579
13957,34631,Undirected,1.0,572579
13957,-236908,Undirected,1.0,572579
55914,24189,Undirected,1.0,572579
55914,113809,Undirected,1.0,572579
55914,-393156,Undirected,1.0,572579
55914,58157,Undirected,1.0,572579
55914,70395,Undirected,1.0,572579
55914,117837,Undirected,1.0,572579
55914,34631,Undirected,1.0,572579
55914,-236908,Undirected,1.0,572579
101564,56727,Undirected,1.0,572579
101564,17143,Undirected,1.0,572579
101564,55710,Undirected,1.0,572579
101564,89185,Undirected,1.0,572579
101564,-251824,Undirected,1.0,572579
101564,81895,Undirected,1.0,572579
101564,104071,Undirected,1.0,572579
24189,56727,Undirected,1.0,572579
24189,17143,Undirected,1.0,572579
24189,55710,Undirected,1.0,572579
24189,89185,Undirected,1.0,572579
24189,-251824,Undirected,1.0,572579
24189,81895,Undirected,1.0,572579
24189,104071,Undirected,1.0,572579
56727,113809,Undirected,1.0,572579
56727,-393156,Undirected,1.0,572579
56727,58157,Undirected,1.0,572579
56727,70395,Undirected,1.0,572579
56727,117837,Undirected,1.0,572579
56727,34631,Undirected,1.0,572579
56727,-236908,Undirected,1.0,572579
113809,-393156,Undirected,1.0,572579
113809,58157,Undirected,1.0,572579
113809,70395,Undirected,1.0,572579
113809,117837,Undirected,1.0,572579
113809,34631,Undirected,1.0,572579
113809,-236908,Undirected,1.0,572579
17143,55710,Undirected,1.0,572579
17143,89185,Undirected,1.0,572579
17143,-251824,Undirected,1.0,572579
17143,81895,Undirected,1.0,572579
17143,104071,Undirected,1.0,572579
-393156,55710,Undirected,1.0,572579
-393156,89185,Undirected,1.0,572579
-393156,-251824,Undirected,1.0,572579
-393156,81895,Undirected,1.0,572579
-393156,104071,Undirected,1.0,572579
55710,58157,Undirected,1.0,572579
55710,70395,Undirected,1.0,572579
55710,117837,Undirected,1.0,572579
55710,34631,Undirected,1.0,572579
55710,-236908,Undirected,1.0,572579
58157,70395,Undirected,1.0,572579
58157,117837,Undirected,1.0,572579
58157,34631,Undirected,1.0,572579
58157,-236908,Undirected,1.0,572579
89185,-251824,Undirected,1.0,572579
89185,81895,Undirected,1.0,572579
89185,104071,Undirected,1.0,572579
70395,-251824,Undirected,1.0,572579
70395,81895,Undirected,1.0,572579
70395,104071,Undirected,1.0,572579
-251824,117837,Undirected,1.0,572579
-251824,34631,Undirected,1.0,572579
-251824,-236908,Undirected,1.0,572579
117837,34631,Undirected,1.0,572579
117837,-236908,Undirected,1.0,572579
81895,104071,Undirected,1.0,572579
34631,104071,Undirected,1.0,572579
104071,-236908,Undirected,1.0,572579
50145,102086,Undirected,3.0,6012114
22096,115780,Undirected,1.0,260762
-188117,50145,Undirected,1.0,1023446
95123,-208106,Undirected,1.0,74693
-201176,91632,Undirected,1.0,182676
91632,2652,Undirected,1.0,182676
15493,99032,Undirected,3.0,2520540
15493,-183918,Undirected,1.0,1363268
15493,28727,Undirected,1.0,1363268
15493,72611,Undirected,1.0,1363268
102975,117299,Undirected,1.0,1363268
102975,-95524,Undirected,1.0,1363268
102975,55346,Undirected,1.0,1363268
99032,117299,Undirected,1.0,1363268
99032,-95524,Undirected,1.0,1363268
99032,55346,Undirected,1.0,1363268
117299,-183918,Undirected,1.0,1363268
117299,28727,Undirected,1.0,1363268
117299,72611,Undirected,1.0,1363268
-183918,28727,Undirected,1.0,1363268
-183918,72611,Undirected,1.0,1363268
-95524,55346,Undirected,1.0,1363268
28727,55346,Undirected,1.0,1363268
55346,72611,Undirected,1.0,1363268
55914,51895,Undirected,1.0,4279853
55914,9409,Undirected,1.0,4279853
55914,65489,Undirected,1.0,4279853
-209647,51895,Undirected,1.0,4279853
-209647,9409,Undirected,1.0,4279853
-209647,65489,Undirected,1.0,4279853
51895,-191201,Undirected,1.0,4279853
51895,120513,Undirected,1.0,4279853
51895,110741,Undirected,1.0,4279853
-191201,65489,Undirected,1.0,4279853
9409,120513,Undirected,1.0,4279853
9409,110741,Undirected,1.0,4279853
120513,110741,Undirected,1.0,4279853
74624,34877,Undirected,1.0,5245734
74624,34631,Undirected,1.0,5245734
74624,32011,Undirected,1.0,5245734
34877,34631,Undirected,1.0,5245734
34877,32011,Undirected,1.0,5245734
-136595,33125,Undirected,1.0,5245734
34631,33125,Undirected,1.0,5245734
33125,32011,Undirected,1.0,5245734
-254212,48379,Undirected,1.0,837467
-254212,11944,Undirected,1.0,837467
48379,-464044,Undirected,1.0,837467
48379,24593,Undirected,2.0,1370081
11944,24593,Undirected,1.0,837467
6625,-208106,Undirected,1.0,4219574
6625,43529,Undirected,1.0,4219574
6625,95123,Undirected,1.0,4219574
-253634,21890,Undirected,1.0,4219574
-253634,34685,Undirected,1.0,4219574
