Source	Target	Type	Weight
50750	78842	Undirected	1.0
50750	-5718	Undirected	1.0
78842	-5718	Undirected	1.0
83317	49734	Undirected	1.0
83317	3322	Undirected	1.0
83317	62734	Undirected	1.0
83317	34187	Undirected	1.0
49734	3322	Undirected	1.0
49734	62734	Undirected	1.0
49734	34187	Undirected	1.0
5592	43946	Undirected	1.0
5592	124105	Undirected	1.0
3322	43946	Undirected	1.0
3322	124105	Undirected	1.0
43946	62734	Undirected	1.0
43946	34187	Undirected	1.0
62734	34187	Undirected	1.0
-485984	-484107	Undirected	1.0
101049	-150134	Undirected	1.0
-389830	-419516	Undirected	1.0
-389830	50695	Undirected	1.0
-389830	10032	Undirected	1.0
-389830	62186	Undirected	1.0
-389830	34631	Undirected	1.0
-419516	50695	Undirected	1.0
-419516	10032	Undirected	1.0
-419516	62186	Undirected	1.0
-419516	34631	Undirected	1.0
50120	-181942	Undirected	1.0
50120	111515	Undirected	1.0
50120	-418008	Undirected	1.0
50695	-181942	Undirected	1.0
50695	111515	Undirected	1.0
50695	-418008	Undirected	1.0
-181942	10032	Undirected	1.0
-181942	62186	Undirected	1.0
-181942	34631	Undirected	1.0
10032	62186	Undirected	1.0
10032	34631	Undirected	1.0
111515	-418008	Undirected	1.0
62186	-418008	Undirected	1.0
-418008	34631	Undirected	1.0
34917	-118075	Undirected	1.0
67244	-191201	Undirected	1.0
67244	-120212	Undirected	1.0
67244	41846	Undirected	1.0
67244	42780	Undirected	1.0
67244	41915	Undirected	1.0
67244	9409	Undirected	1.0
67244	55914	Undirected	1.0
67244	24189	Undirected	1.0
67244	113809	Undirected	1.0
67244	-393156	Undirected	1.0
67244	58157	Undirected	1.0
67244	70395	Undirected	1.0
67244	117837	Undirected	1.0
67244	34631	Undirected	1.0
67244	-236908	Undirected	1.0
-191201	-120212	Undirected	1.0
-191201	41846	Undirected	1.0
-191201	42780	Undirected	1.0
-191201	41915	Undirected	1.0
-191201	9409	Undirected	2.0
-191201	55914	Undirected	1.0
-191201	24189	Undirected	1.0
-191201	113809	Undirected	1.0
-191201	-393156	Undirected	1.0
-191201	58157	Undirected	1.0
-191201	70395	Undirected	1.0
-191201	117837	Undirected	1.0
-191201	34631	Undirected	1.0
-191201	-236908	Undirected	1.0
43529	-23873	Undirected	1.0
43529	78875	Undirected	1.0
43529	-161344	Undirected	1.0
43529	42031	Undirected	1.0
43529	13957	Undirected	1.0
43529	101564	Undirected	1.0
43529	56727	Undirected	1.0
43529	17143	Undirected	1.0
43529	55710	Undirected	1.0
43529	89185	Undirected	1.0
43529	-251824	Undirected	1.0
43529	81895	Undirected	1.0
43529	104071	Undirected	1.0
-120212	-23873	Undirected	1.0
-120212	78875	Undirected	1.0
-120212	-161344	Undirected	1.0
-120212	42031	Undirected	1.0
-120212	13957	Undirected	1.0
-120212	101564	Undirected	1.0
-120212	56727	Undirected	1.0
-120212	17143	Undirected	1.0
-120212	55710	Undirected	1.0
-120212	89185	Undirected	1.0
-120212	-251824	Undirected	1.0
-120212	81895	Undirected	1.0
-120212	104071	Undirected	1.0
-23873	41846	Undirected	1.0
-23873	42780	Undirected	1.0
-23873	41915	Undirected	1.0
-23873	9409	Undirected	1.0
-23873	55914	Undirected	1.0
-23873	24189	Undirected	1.0
-23873	113809	Undirected	1.0
-23873	-393156	Undirected	1.0
-23873	58157	Undirected	1.0
-23873	70395	Undirected	1.0
-23873	117837	Undirected	1.0
-23873	34631	Undirected	1.0
-23873	-236908	Undirected	1.0
41846	42780	Undirected	1.0
41846	41915	Undirected	1.0
41846	9409	Undirected	1.0
41846	55914	Undirected	1.0
41846	24189	Undirected	1.0
41846	113809	Undirected	1.0
41846	-393156	Undirected	1.0
41846	58157	Undirected	1.0
41846	70395	Undirected	1.0
41846	117837	Undirected	1.0
41846	34631	Undirected	1.0
41846	-236908	Undirected	1.0
78875	-161344	Undirected	1.0
78875	42031	Undirected	1.0
78875	13957	Undirected	1.0
78875	101564	Undirected	1.0
78875	56727	Undirected	1.0
78875	17143	Undirected	1.0
78875	55710	Undirected	1.0
78875	89185	Undirected	1.0
78875	-251824	Undirected	1.0
78875	81895	Undirected	1.0
78875	104071	Undirected	1.0
42780	-161344	Undirected	1.0
42780	42031	Undirected	1.0
42780	13957	Undirected	2.0
42780	101564	Undirected	1.0
42780	56727	Undirected	1.0
42780	17143	Undirected	1.0
42780	55710	Undirected	1.0
42780	89185	Undirected	2.0
42780	-251824	Undirected	1.0
42780	81895	Undirected	1.0
42780	104071	Undirected	1.0
-161344	41915	Undirected	1.0
-161344	9409	Undirected	1.0
-161344	55914	Undirected	1.0
-161344	24189	Undirected	1.0
-161344	113809	Undirected	1.0
-161344	-393156	Undirected	1.0
-161344	58157	Undirected	1.0
-161344	70395	Undirected	1.0
-161344	117837	Undirected	1.0
-161344	34631	Undirected	1.0
-161344	-236908	Undirected	1.0
41915	9409	Undirected	1.0
41915	55914	Undirected	1.0
41915	24189	Undirected	1.0
41915	113809	Undirected	1.0
41915	-393156	Undirected	1.0
41915	58157	Undirected	1.0
41915	70395	Undirected	1.0
41915	117837	Undirected	1.0
41915	34631	Undirected	1.0
41915	-236908	Undirected	1.0
42031	13957	Undirected	1.0
42031	101564	Undirected	1.0
42031	56727	Undirected	1.0
42031	17143	Undirected	1.0
42031	55710	Undirected	1.0
42031	89185	Undirected	1.0
42031	-251824	Undirected	1.0
42031	81895	Undirected	1.0
42031	104071	Undirected	1.0
9409	13957	Undirected	1.0
9409	101564	Undirected	1.0
9409	56727	Undirected	1.0
9409	17143	Undirected	1.0
9409	55710	Undirected	1.0
9409	89185	Undirected	1.0
9409	-251824	Undirected	1.0
9409	81895	Undirected	1.0
9409	104071	Undirected	1.0
13957	55914	Undirected	1.0
13957	24189	Undirected	1.0
13957	113809	Undirected	1.0
13957	-393156	Undirected	1.0
13957	58157	Undirected	1.0
13957	70395	Undirected	1.0
13957	117837	Undirected	1.0
13957	34631	Undirected	1.0
13957	-236908	Undirected	1.0
55914	24189	Undirected	1.0
55914	113809	Undirected	1.0
55914	-393156	Undirected	1.0
55914	58157	Undirected	1.0
55914	70395	Undirected	1.0
55914	117837	Undirected	1.0
55914	34631	Undirected	1.0
55914	-236908	Undirected	1.0
101564	56727	Undirected	1.0
101564	17143	Undirected	1.0
101564	55710	Undirected	1.0
101564	89185	Undirected	1.0
101564	-251824	Undirected	1.0
101564	81895	Undirected	1.0
101564	104071	Undirected	1.0
24189	56727	Undirected	1.0
24189	17143	Undirected	1.0
