Source	Target	Type	Weight	Val
50750	78842	Undirected	1.0	1927885
50750	56605	Undirected	1.0	1927885
50750	-5718	Undirected	1.0	1927885
78842	56605	Undirected	1.0	1927885
78842	-5718	Undirected	1.0	1927885
56605	-5718	Undirected	1.0	1927885
83317	49734	Undirected	1.0	3768933
83317	5592	Undirected	1.0	3768933
83317	3322	Undirected	1.0	3768933
83317	43946	Undirected	2.0	4514715
83317	62734	Undirected	1.0	3768933
83317	124105	Undirected	1.0	3768933
83317	34187	Undirected	1.0	3768933
49734	5592	Undirected	1.0	3768933
49734	3322	Undirected	1.0	3768933
49734	43946	Undirected	1.0	3768933
49734	62734	Undirected	1.0	3768933
49734	124105	Undirected	1.0	3768933
49734	34187	Undirected	1.0	3768933
5592	3322	Undirected	1.0	3768933
5592	43946	Undirected	1.0	3768933
5592	62734	Undirected	1.0	3768933
5592	124105	Undirected	1.0	3768933
5592	34187	Undirected	1.0	3768933
3322	43946	Undirected	1.0	3768933
3322	62734	Undirected	1.0	3768933
3322	124105	Undirected	1.0	3768933
3322	34187	Undirected	1.0	3768933
43946	62734	Undirected	1.0	3768933
43946	124105	Undirected	1.0	3768933
43946	34187	Undirected	1.0	3768933
62734	124105	Undirected	1.0	3768933
62734	34187	Undirected	1.0	3768933
124105	34187	Undirected	1.0	3768933
-485984	-484107	Undirected	1.0	260781
101049	-108241	Undirected	1.0	323467
101049	-150134	Undirected	1.0	323467
-108241	-150134	Undirected	1.0	323467
-389830	-419516	Undirected	1.0	1500938
-389830	50120	Undirected	1.0	1500938
-389830	50695	Undirected	1.0	1500938
-389830	-181942	Undirected	1.0	1500938
-389830	10032	Undirected	1.0	1500938
-389830	111515	Undirected	1.0	1500938
-389830	62186	Undirected	1.0	1500938
-389830	-418008	Undirected	1.0	1500938
-389830	34631	Undirected	1.0	1500938
-419516	50120	Undirected	1.0	1500938
-419516	50695	Undirected	1.0	1500938
-419516	-181942	Undirected	1.0	1500938
-419516	10032	Undirected	1.0	1500938
-419516	111515	Undirected	1.0	1500938
-419516	62186	Undirected	1.0	1500938
-419516	-418008	Undirected	1.0	1500938
-419516	34631	Undirected	1.0	1500938
50120	50695	Undirected	1.0	1500938
50120	-181942	Undirected	1.0	1500938
50120	10032	Undirected	2.0	2709449
50120	111515	Undirected	1.0	1500938
50120	62186	Undirected	1.0	1500938
50120	-418008	Undirected	1.0	1500938
50120	34631	Undirected	1.0	1500938
50695	-181942	Undirected	1.0	1500938
50695	10032	Undirected	1.0	1500938
50695	111515	Undirected	1.0	1500938
50695	62186	Undirected	1.0	1500938
50695	-418008	Undirected	1.0	1500938
50695	34631	Undirected	1.0	1500938
-181942	10032	Undirected	1.0	1500938
-181942	111515	Undirected	1.0	1500938
-181942	62186	Undirected	1.0	1500938
-181942	-418008	Undirected	1.0	1500938
-181942	34631	Undirected	1.0	1500938
10032	111515	Undirected	1.0	1500938
10032	62186	Undirected	1.0	1500938
10032	-418008	Undirected	1.0	1500938
10032	34631	Undirected	1.0	1500938
111515	62186	Undirected	1.0	1500938
111515	-418008	Undirected	1.0	1500938
111515	34631	Undirected	1.0	1500938
62186	-418008	Undirected	1.0	1500938
62186	34631	Undirected	1.0	1500938
-418008	34631	Undirected	1.0	1500938
34917	107181	Undirected	1.0	493563
34917	-118075	Undirected	1.0	493563
107181	-118075	Undirected	1.0	493563
67244	-191201	Undirected	1.0	572579
67244	43529	Undirected	1.0	572579
67244	-120212	Undirected	1.0	572579
67244	-23873	Undirected	1.0	572579
67244	41846	Undirected	1.0	572579
67244	78875	Undirected	1.0	572579
67244	42780	Undirected	2.0	622096
67244	-161344	Undirected	1.0	572579
67244	41915	Undirected	1.0	572579
67244	42031	Undirected	1.0	572579
67244	9409	Undirected	1.0	572579
67244	13957	Undirected	1.0	572579
67244	55914	Undirected	1.0	572579
67244	101564	Undirected	1.0	572579
67244	24189	Undirected	1.0	572579
67244	56727	Undirected	1.0	572579
67244	113809	Undirected	1.0	572579
67244	17143	Undirected	1.0	572579
67244	-393156	Undirected	1.0	572579
67244	55710	Undirected	1.0	572579
67244	58157	Undirected	1.0	572579
67244	89185	Undirected	2.0	622096
67244	70395	Undirected	1.0	572579
67244	-251824	Undirected	1.0	572579
67244	117837	Undirected	1.0	572579
67244	81895	Undirected	1.0	572579
67244	34631	Undirected	1.0	572579
67244	104071	Undirected	1.0	572579
67244	-236908	Undirected	1.0	572579
-191201	43529	Undirected	1.0	572579
-191201	-120212	Undirected	1.0	572579
-191201	-23873	Undirected	1.0	572579
-191201	41846	Undirected	1.0	572579
-191201	78875	Undirected	1.0	572579
-191201	42780	Undirected	1.0	572579
-191201	-161344	Undirected	1.0	572579
-191201	41915	Undirected	1.0	572579
-191201	42031	Undirected	1.0	572579
-191201	9409	Undirected	2.0	4852432
-191201	13957	Undirected	1.0	572579
-191201	55914	Undirected	2.0	4852432
-191201	101564	Undirected	1.0	572579
-191201	24189	Undirected	1.0	572579
-191201	56727	Undirected	1.0	572579
-191201	113809	Undirected	1.0	572579
-191201	17143	Undirected	1.0	572579
-191201	-393156	Undirected	1.0	572579
-191201	55710	Undirected	1.0	572579
-191201	58157	Undirected	1.0	572579
-191201	89185	Undirected	1.0	572579
-191201	70395	Undirected	1.0	572579
-191201	-251824	Undirected	1.0	572579
-191201	117837	Undirected	1.0	572579
-191201	81895	Undirected	1.0	572579
-191201	34631	Undirected	1.0	572579
-191201	104071	Undirected	1.0	572579
-191201	-236908	Undirected	1.0	572579
43529	-120212	Undirected	1.0	572579
43529	-23873	Undirected	1.0	572579
43529	41846	Undirected	1.0	572579
43529	78875	Undirected	1.0	572579
43529	42780	Undirected	1.0	572579
43529	-161344	Undirected	1.0	572579
43529	41915	Undirected	1.0	572579
43529	42031	Undirected	1.0	572579
43529	9409	Undirected	1.0	572579
43529	13957	Undirected	1.0	572579
43529	55914	Undirected	1.0	572579
43529	101564	Undirected	1.0	572579
43529	24189	Undirected	1.0	572579
43529	56727	Undirected	1.0	572579
43529	113809	Undirected	1.0	572579
43529	17143	Undirected	1.0	572579
43529	-393156	Undirected	2.0	1859939
43529	55710	Undirected	1.0	572579
43529	58157	Undirected	1.0	572579
43529	89185	Undirected	1.0	572579
43529	70395	Undirected	1.0	572579
43529	-251824	Undirected	1.0	572579
43529	117837	Undirected	1.0	572579
43529	81895	Undirected	1.0	572579
43529	34631	Undirected	1.0	572579
43529	104071	Undirected	1.0	572579
43529	-236908	Undirected	1.0	572579
-120212	-23873	Undirected	1.0	572579
-120212	41846	Undirected	1.0	572579
-120212	78875	Undirected	1.0	572579
-120212	42780	Undirected	1.0	572579
-120212	-161344	Undirected	1.0	572579
-120212	41915	Undirected	1.0	572579
-120212	42031	Undirected	1.0	572579
-120212	9409	Undirected	1.0	572579
-120212	13957	Undirected	1.0	572579
-120212	55914	Undirected	1.0	572579
-120212	101564	Undirected	1.0	572579
-120212	24189	Undirected	1.0	572579
-120212	56727	Undirected	1.0	572579
-120212	113809	Undirected	1.0	572579
-120212	17143	Undirected	1.0	572579
-120212	-393156	Undirected	1.0	572579
-120212	55710	Undirected	1.0	572579
-120212	58157	Undirected	1.0	572579
-120212	89185	Undirected	1.0	572579
-120212	70395	Undirected	1.0	572579
-120212	-251824	Undirected	1.0	572579
-120212	117837	Undirected	1.0	572579
-120212	81895	Undirected	1.0	572579
-120212	34631	Undirected	1.0	572579
-120212	104071	Undirected	1.0	572579
-120212	-236908	Undirected	1.0	572579
-23873	41846	Undirected	1.0	572579
-23873	78875	Undirected	1.0	572579
-23873	42780	Undirected	1.0	572579
-23873	-161344	Undirected	1.0	572579
-23873	41915	Undirected	1.0	572579
-23873	42031	Undirected	1.0	572579
-23873	9409	Undirected	1.0	572579
-23873	13957	Undirected	1.0	572579
-23873	55914	Undirected	1.0	572579
-23873	101564	Undirected	1.0	572579
-23873	24189	Undirected	1.0	572579
-23873	56727	Undirected	1.0	572579
-23873	113809	Undirected	1.0	572579
-23873	17143	Undirected	1.0	572579
-23873	-393156	Undirected	1.0	572579
-23873	55710	Undirected	1.0	572579
-23873	58157	Undirected	1.0	572579
-23873	89185	Undirected	1.0	572579
-23873	70395	Undirected	1.0	572579
-23873	-251824	Undirected	1.0	572579
-23873	117837	Undirected	1.0	572579
-23873	81895	Undirected	1.0	572579
-23873	34631	Undirected	1.0	572579
-23873	104071	Undirected	1.0	572579
-23873	-236908	Undirected	1.0	572579
41846	78875	Undirected	1.0	572579
41846	42780	Undirected	1.0	572579
41846	-161344	Undirected	1.0	572579
41846	41915	Undirected	1.0	572579
41846	42031	Undirected	1.0	572579
41846	9409	Undirected	1.0	572579
41846	13957	Undirected	1.0	572579
41846	55914	Undirected	1.0	572579
41846	101564	Undirected	1.0	572579
41846	24189	Undirected	1.0	572579
41846	56727	Undirected	1.0	572579
41846	113809	Undirected	1.0	572579
41846	17143	Undirected	1.0	572579
41846	-393156	Undirected	1.0	572579
41846	55710	Undirected	1.0	572579
41846	58157	Undirected	1.0	572579
41846	89185	Undirected	1.0	572579
41846	70395	Undirected	1.0	572579
41846	-251824	Undirected	1.0	572579
41846	117837	Undirected	1.0	572579
41846	81895	Undirected	1.0	572579
41846	34631	Undirected	1.0	572579
41846	104071	Undirected	1.0	572579
41846	-236908	Undirected	1.0	572579
78875	42780	Undirected	1.0	572579
78875	-161344	Undirected	1.0	572579
78875	41915	Undirected	1.0	572579
78875	42031	Undirected	1.0	572579
78875	9409	Undirected	1.0	572579
78875	13957	Undirected	1.0	572579
78875	55914	Undirected	1.0	572579
78875	101564	Undirected	1.0	572579
78875	24189	Undirected	1.0	572579
78875	56727	Undirected	1.0	572579
78875	113809	Undirected	1.0	572579
78875	17143	Undirected	1.0	572579
78875	-393156	Undirected	1.0	572579
78875	55710	Undirected	1.0	572579
78875	58157	Undirected	1.0	572579
78875	89185	Undirected	1.0	572579
78875	70395	Undirected	1.0	572579
78875	-251824	Undirected	1.0	572579
78875	117837	Undirected	1.0	572579
78875	81895	Undirected	1.0	572579
78875	34631	Undirected	1.0	572579
78875	104071	Undirected	1.0	572579
78875	-236908	Undirected	1.0	572579
42780	-161344	Undirected	1.0	572579
42780	41915	Undirected	2.0	970003
42780	42031	Undirected	1.0	572579
42780	9409	Undirected	1.0	572579
42780	13957	Undirected	2.0	970003
42780	55914	Undirected	1.0	572579
42780	101564	Undirected	1.0	572579
42780	24189	Undirected	1.0	572579
42780	56727	Undirected	1.0	572579
42780	113809	Undirected	1.0	572579
42780	17143	Undirected	1.0	572579
42780	-393156	Undirected	1.0	572579
42780	55710	Undirected	1.0	572579
42780	58157	Undirected	1.0	572579
42780	89185	Undirected	2.0	622096
42780	70395	Undirected	1.0	572579
42780	-251824	Undirected	1.0	572579
42780	117837	Undirected	1.0	572579
42780	81895	Undirected	1.0	572579
42780	34631	Undirected	1.0	572579
42780	104071	Undirected	1.0	572579
42780	-236908	Undirected	1.0	572579
-161344	41915	Undirected	1.0	572579
-161344	42031	Undirected	1.0	572579
-161344	9409	Undirected	1.0	572579
-161344	13957	Undirected	1.0	572579
-161344	55914	Undirected	1.0	572579
-161344	101564	Undirected	1.0	572579
-161344	24189	Undirected	1.0	572579
-161344	56727	Undirected	1.0	572579
-161344	113809	Undirected	1.0	572579
-161344	17143	Undirected	1.0	572579
-161344	-393156	Undirected	1.0	572579
-161344	55710	Undirected	1.0	572579
-161344	58157	Undirected	1.0	572579
-161344	89185	Undirected	1.0	572579
-161344	70395	Undirected	1.0	572579
-161344	-251824	Undirected	1.0	572579
-161344	117837	Undirected	1.0	572579
-161344	81895	Undirected	1.0	572579
-161344	34631	Undirected	1.0	572579
-161344	104071	Undirected	1.0	572579
-161344	-236908	Undirected	1.0	572579
41915	42031	Undirected	1.0	572579
41915	9409	Undirected	1.0	572579
41915	13957	Undirected	2.0	970003
41915	55914	Undirected	1.0	572579
41915	101564	Undirected	1.0	572579
41915	24189	Undirected	1.0	572579
41915	56727	Undirected	1.0	572579
41915	113809	Undirected	1.0	572579
41915	17143	Undirected	1.0	572579
41915	-393156	Undirected	1.0	572579
41915	55710	Undirected	1.0	572579
41915	58157	Undirected	1.0	572579
41915	89185	Undirected	1.0	572579
41915	70395	Undirected	1.0	572579
41915	-251824	Undirected	1.0	572579
41915	117837	Undirected	1.0	572579
41915	81895	Undirected	1.0	572579
41915	34631	Undirected	1.0	572579
41915	104071	Undirected	1.0	572579
41915	-236908	Undirected	1.0	572579
42031	9409	Undirected	1.0	572579
42031	13957	Undirected	1.0	572579
42031	55914	Undirected	1.0	572579
42031	101564	Undirected	1.0	572579
42031	24189	Undirected	1.0	572579
42031	56727	Undirected	1.0	572579
42031	113809	Undirected	1.0	572579
42031	17143	Undirected	1.0	572579
42031	-393156	Undirected	1.0	572579
42031	55710	Undirected	1.0	572579
42031	58157	Undirected	1.0	572579
42031	89185	Undirected	1.0	572579
42031	70395	Undirected	1.0	572579
42031	-251824	Undirected	1.0	572579
42031	117837	Undirected	1.0	572579
42031	81895	Undirected	1.0	572579
42031	34631	Undirected	1.0	572579
42031	104071	Undirected	1.0	572579
42031	-236908	Undirected	1.0	572579
9409	13957	Undirected	1.0	572579
9409	55914	Undirected	2.0	4852432
9409	101564	Undirected	1.0	572579
9409	24189	Undirected	1.0	572579
9409	56727	Undirected	1.0	572579
9409	113809	Undirected	1.0	572579
9409	17143	Undirected	1.0	572579
9409	-393156	Undirected	1.0	572579
9409	55710	Undirected	1.0	572579
9409	58157	Undirected	1.0	572579
9409	89185	Undirected	1.0	572579
9409	70395	Undirected	1.0	572579
9409	-251824	Undirected	1.0	572579
9409	117837	Undirected	1.0	572579
9409	81895	Undirected	1.0	572579
9409	34631	Undirected	1.0	572579
9409	104071	Undirected	1.0	572579
9409	-236908	Undirected	1.0	572579
13957	55914	Undirected	1.0	572579
13957	101564	Undirected	1.0	572579
13957	24189	Undirected	1.0	572579
13957	56727	Undirected	1.0	572579
13957	113809	Undirected	1.0	572579
13957	17143	Undirected	1.0	572579
13957	-393156	Undirected	1.0	572579
13957	55710	Undirected	1.0	572579
13957	58157	Undirected	1.0	572579
13957	89185	Undirected	1.0	572579
13957	70395	Undirected	1.0	572579
13957	-251824	Undirected	1.0	572579
13957	117837	Undirected	1.0	572579
13957	81895	Undirected	1.0	572579
13957	34631	Undirected	1.0	572579
13957	104071	Undirected	1.0	572579
13957	-236908	Undirected	1.0	572579
55914	101564	Undirected	1.0	572579
55914	24189	Undirected	1.0	572579
55914	56727	Undirected	1.0	572579
55914	113809	Undirected	1.0	572579
55914	17143	Undirected	1.0	572579
55914	-393156	Undirected	1.0	572579
55914	55710	Undirected	1.0	572579
55914	58157	Undirected	1.0	572579
55914	89185	Undirected	1.0	572579
55914	70395	Undirected	1.0	572579
55914	-251824	Undirected	1.0	572579
55914	117837	Undirected	1.0	572579
55914	81895	Undirected	1.0	572579
55914	34631	Undirected	1.0	572579
55914	104071	Undirected	1.0	572579
55914	-236908	Undirected	1.0	572579
101564	24189	Undirected	1.0	572579
101564	56727	Undirected	1.0	572579
101564	113809	Undirected	1.0	572579
101564	17143	Undirected	1.0	572579
101564	-393156	Undirected	1.0	572579
101564	55710	Undirected	1.0	572579
101564	58157	Undirected	1.0	572579
101564	89185	Undirected	1.0	572579
101564	70395	Undirected	1.0	572579
101564	-251824	Undirected	1.0	572579
101564	117837	Undirected	1.0	572579
101564	81895	Undirected	1.0	572579
101564	34631	Undirected	1.0	572579
101564	104071	Undirected	1.0	572579
101564	-236908	Undirected	1.0	572579
24189	56727	Undirected	1.0	572579
24189	113809	Undirected	1.0	572579
24189	17143	Undirected	1.0	572579
24189	-393156	Undirected	1.0	572579
24189	55710	Undirected	1.0	572579
24189	58157	Undirected	1.0	572579
24189	89185	Undirected	1.0	572579
24189	70395	Undirected	1.0	572579
24189	-251824	Undirected	1.0	572579
24189	117837	Undirected	1.0	572579
24189	81895	Undirected	1.0	572579
24189	34631	Undirected	1.0	572579
24189	104071	Undirected	1.0	572579
24189	-236908	Undirected	1.0	572579
56727	113809	Undirected	1.0	572579
56727	17143	Undirected	1.0	572579
56727	-393156	Undirected	1.0	572579
56727	55710	Undirected	1.0	572579
56727	58157	Undirected	1.0	572579
56727	89185	Undirected	1.0	572579
56727	70395	Undirected	1.0	572579
56727	-251824	Undirected	1.0	572579
56727	117837	Undirected	1.0	572579
56727	81895	Undirected	1.0	572579
56727	34631	Undirected	1.0	572579
56727	104071	Undirected	1.0	572579
56727	-236908	Undirected	1.0	572579
113809	17143	Undirected	1.0	572579
113809	-393156	Undirected	1.0	572579
113809	55710	Undirected	1.0	572579
113809	58157	Undirected	1.0	572579
113809	89185	Undirected	1.0	572579
113809	70395	Undirected	1.0	572579
113809	-251824	Undirected	1.0	572579
113809	117837	Undirected	1.0	572579
113809	81895	Undirected	1.0	572579
113809	34631	Undirected	1.0	572579
113809	104071	Undirected	1.0	572579
113809	-236908	Undirected	1.0	572579
17143	-393156	Undirected	1.0	572579
17143	55710	Undirected	1.0	572579
17143	58157	Undirected	1.0	572579
17143	89185	Undirected	1.0	572579
17143	70395	Undirected	1.0	572579
17143	-251824	Undirected	1.0	572579
17143	117837	Undirected	1.0	572579
17143	81895	Undirected	1.0	572579
17143	34631	Undirected	1.0	572579
17143	104071	Undirected	1.0	572579
17143	-236908	Undirected	1.0	572579
-393156	55710	Undirected	1.0	572579
-393156	58157	Undirected	1.0	572579
-393156	89185	Undirected	1.0	572579
-393156	70395	Undirected	1.0	572579
-393156	-251824	Undirected	1.0	572579
-393156	117837	Undirected	1.0	572579
-393156	81895	Undirected	1.0	572579
-393156	34631	Undirected	1.0	572579
-393156	104071	Undirected	1.0	572579
-393156	-236908	Undirected	1.0	572579
55710	58157	Undirected	1.0	572579
55710	89185	Undirected	1.0	572579
55710	70395	Undirected	1.0	572579
55710	-251824	Undirected	1.0	572579
55710	117837	Undirected	1.0	572579
55710	81895	Undirected	1.0	572579
55710	34631	Undirected	1.0	572579
55710	104071	Undirected	1.0	572579
55710	-236908	Undirected	1.0	572579
58157	89185	Undirected	1.0	572579
