Id	Label	Num	Val
16533	ward, professor md	2	528028
-196874	faulconbridge, professor jr	1	3937512
-357269	copplestone, professor d	1	1415336
-223268	grov, dr g	2	1404641
9586	littlejohn, professor d	1	6060701
29356	jennings, professor nr	4	5712850
-206241	pope, professor c	1	5996356
-27189	eriksson, dr sj	1	590478
78580	jarvis, professor s	3	5865787
6728	hankin, professor c	3	6890002
73961	paterson, professor kg	3	7768434
75026	read, dr dj	1	937655
122780	hicks, dr ya	1	2150653
-415047	paoloni, professor c	1	244803
-116561	cid, professor c	2	7248442
-387620	vogler, mr a	2	1693198
118390	juniper, dr m	2	3623567
-419950	majewski, dr ce	1	892226
-493930	thielemans, dr k	1	261180
33964	seifalian, professor am	1	4966856
-519709	braithwaite, mr pa	1	403478
37876	wang, professor w	1	2401894
109724	seshia, dr a	2	6284783
-546102	peterson, dr b	1	1023516
55349	luo, professor x	1	1998909
-454905	mills, dr tb	1	3531769
24	abell, professor c	2	2466482
97751	patane, professor a	1	438490
-423850	pirrera, dr a	2	1415830
65753	williams, professor k	1	403757
2390	butler, professor r	2	1091336
-116204	allinson, dr d	1	1547189
71224	bagnall, professor d	1	4088360
109770	schroeder, professor slm	1	2839350
21829	payne, professor sj	1	1877604
-190317	kennedy, dr kl	1	2484937
17558	wright, professor cd	3	9961914
31756	caddick, professor s	1	564009
53551	sharp, dr j	1	999756
50835	steadman, professor p	2	1611857
-99390	slattery, dr jm	1	618606
-725	tyler, professor an	1	1415336
-6727	souza, professor aj	1	1415336
-530699	margadonna, professor s	1	1131830
-210586	burley, dr j	1	689931
-521206	reichelt, dr s	1	1923014
-220692	baguley, dr p	1	929054
-184270	scherman, dr oa	2	5439351
-356732	tseluiko, dr d	1	461979
-6708	blackford, mr j	1	4041368
129562	hazas, dr m	2	4535904
120322	minshall, dr thw	2	1117350
15899	toland, professor jf	1	5957239
-472552	mayfield, professor m	2	4465208
-151814	mcmanus, dr mc	2	6749712
55338	johnstone, mr c	5	7098350
-189890	goodwin, professor al	1	1221082
-94516	dean, dr p	3	1553131
-392928	queiroz vieira, dr m	1	560162
109944	schraefel, professor m	4	4816127
2663	catlow, professor r	13	22639433
-218863	fazi, dr fm	1	5415204
-177537	drury, dr d	1	2041122
10949	mingham, professor c	3	1124335
2307	burns, professor a	2	1617424
2683	cawley, professor p	5	12928963
43092	zhang, professor y	1	487680
54148	stevens, professor p	1	395170
-417403	elia, dr g	1	205494
79193	macpherson, professor j	2	8633289
41906	babinsky, professor h	2	17720721
40306	richards, professor dj	3	5406663
-151637	holmes, dr mj	1	402178
-420667	coppens, professor m	3	8743453
-211480	fletcher, dr s	1	5871323
74846	evans, professor p	1	766251
5179	ferrari, professor ac	4	18547522
115916	browne, dr de	1	5004658
110491	twiste, dr m	1	671817
17347	winn, professor p	1	4097771
95164	hase, dr tpa	1	622825
-440293	czanner, dr g	1	2004298
-2868	hogg, professor ra	2	2813846
-223789	weyrich, dr ta	1	630626
-186466	barnes, dr m	1	125995
42571	rannard, professor s	2	2229616
83429	tabor, dr g	3	1672509
-189602	gourlay, dr cm	2	10514873
-193017	youngs, dr tga	1	478260
-421608	provis, professor jl	2	998484
-106367	parkes, dr l	1	1099975
30452	pomiankowski, professor a	2	8970080
107590	southee, dr dj	1	2281220
33877	may, professor pw	2	6500972
-79875	thomsen, dr bc	3	5921056
124327	zhu, professor m	2	6464683
-200592	wolf, professor a	2	3267224
-20371	adawi, dr am	1	654934
130377	metje, dr n	4	13808765
-34646	lintott, professor cj	1	752949
-192991	motik, professor b	3	2948135
-544942	elkashlan, dr m	1	332388
-188559	reid, dr s	1	290447
-165350	kok, dr p	1	5638689
-219248	hofmann, dr s	4	7884593
17694	young, professor ga	1	150000
-10157	bracewell, dr dg	5	10134018
-436272	heaven, dr s	2	2753690
-155320	jiang, professor l	1	1444283
10310	matthews, professor a	2	5985916
21347	garnett, professor mc	1	689931
59145	roy, professor r	1	5834394
109838	sadler, professor j	2	6719904
28301	halliday, dr ja	4	21989373
-231852	parkhill, dr ka	1	242250
120065	ford, professor dv	1	3091610
11267	mottram, professor j	2	2117343
36103	reed, professor rc	4	10337941
96691	eckersley, dr rj	2	5356091
72328	korsunsky, professor am	1	1160444
72878	nicklin, professor c	1	1076043
-154172	yiu, dr hhp	1	1111261
121944	dawes, professor h	1	1862864
38079	harlen, dr og	1	937655
-192969	mallick, professor tk	5	6192487
-322942	asselin, dr m	2	4174383
-49749	see, dr v	1	2004298
-115825	brennan, dr aj	3	1526519
53031	pain, professor cc	4	10673419
-118399	knight, dr v	1	1016595
112609	wall, professor d	2	3044241
-263753	manning, dr p	1	759360
69614	wright, dr mc	1	613105
-27576	holmes, professor ah	1	749583
55899	wood, professor a	2	755369
54502	mcmillan, professor pf	2	5820623
-268767	strickland, dr d	2	4136420
-105687	waterson, professor mj	1	3019070
-415426	dell'anno, dr g	1	630289
51356	moreau, professor l	1	2667741
114123	read, dr j	1	2004298
-253746	scott, professor aj	1	403478
-80756	laurand, dr n	1	34520
117269	monk, professor nam	1	932491
105757	oliver, dr p	1	3358217
34571	meech, professor s	3	1222409
-423371	corner, dr l	2	4449824
-127837	critchley, dr k	1	689430
44914	assender, professor h	1	2476881
-79651	mcmahon, dr a	1	3074408
24520	fisher, professor j	6	23006357
6070	goodby, professor jw	1	702457
-88032	bourlakis, professor m	1	5699187
16312	vinter, professor rb	1	1019958
-87582	kretschmer, professor m	1	939389
-272041	watton, dr p	1	1998909
15576	taylor, professor cj	3	6068373
-128168	moran, dr daj	1	6196718
34656	houlton, professor a	1	114969
29279	rayner, professor cm	1	4336514
116079	cinderby, dr s	1	397354
-108217	mohan, professor j	1	403478
62734	langley, professor rs	2	4264506
80239	shepherd, professor d	1	534061
67509	nilsson, professor lja	1	550974
7492	hogg, professor d	4	2383374
77621	langridge, professor s	2	882759
-21248	antoranz contera, professor s	1	991283
-449731	mcloone, professor sf	2	2037136
-150134	self, dr rh	2	511698
4136	derby, professor b	2	5712644
13368	ritchie, professor jm	1	4942312
7234	heydecker, professor b	1	5745855
-13537	joffe, dr h	2	7950213
94622	tsourdos, professor a	1	929054
115093	vijayakumar, professor s	2	6908058
82502	martin, professor k	2	7248442
12808	procter, professor r	1	3910923
1509	blamire, professor m	2	3141723
-495596	mcgilvray, dr m	2	6236333
38367	mckay, professor a	1	296597
-266416	thomas, dr d	1	304371
-435093	paluszny rodriguez, dr a	1	925473
-499030	preece, dr r	3	1398080
-197871	crabtree, dr cj	1	2967189
78398	popov, professor a	2	4515364
-80247	mander, dr sl	2	2033068
56407	althoefer, professor k	1	4993902
-165982	grassl, dr p	1	1339398
-476398	mostafavi, dr m	1	710729
48363	nazarenko, professor s	1	149460
4572	durose, professor k	3	10149668
83238	sloan, professor wt	1	5191661
-325934	tofaris, dr g	1	856337
-504140	stringhini, dr g	2	943420
117470	anderson, professor k	1	3512257
42474	robertson, professor i	2	4610782
-38849	lueders, dr m	3	1126536
106001	o'neill, professor m	1	5032504
6569	halbert, professor g	1	6060701
-296701	dunn, dr a	1	911561
124288	li, dr m	2	1577716
4579	durucan, professor s	1	1212205
15366	swan, professor c	1	3820872
36023	dashwood, professor rj	3	765303
-257082	duggal, professor m	1	997424
-99127	oswald, dr idh	1	966179
-196384	coles-kemp, professor l	2	1528936
-438437	best, dr rj	1	364318
107296	niewczas, dr p	1	413380
37446	richardson, professor ig	1	823184
-495224	glocker, dr b	2	605117
37692	soga, professor k	3	10092740
94878	elwell, professor ce	1	992885
39641	norreys, professor pa	2	405235
103620	rosser, professor sj	4	12403183
44971	raynham, mr p	2	1694201
71210	dailami, mr f	1	363964
14228	sharples, professor rm	3	6658761
-52752	serafini, dr a	1	579937
-455822	rhead, dr a t	2	794312
118308	zang, dr j	2	1121349
111729	richardson, dr ts	1	753510
57488	carrington, professor a	3	5387541
-49837	li, professor b	1	1006188
68951	corti, professor a	1	2171099
21502	plumbley, professor m	4	11801350
27122	hogan, professor sj	1	3610642
128005	fang, dr f	1	4173134
75748	molkov, professor v	2	5071469
72561	adjiman, professor cs	3	4087923
-53903	walsh, dr cl	1	3962860
7940	hutchins, professor d	2	5672944
123858	taylor, professor pc	4	18122796
-410911	gammon, dr r	1	843943
101915	tirelli, professor n	1	4365410
100637	mitchell, professor ch	3	3819383
-221670	tennant, dr m	1	5233278
51660	ross, mrs t	1	266640
-188111	carbone, dr p	1	2839350
-6396	simpson, dr dm	2	1233588
42982	kaltsoyannis, professor n	2	5194940
83008	bell, dr gr	1	622825
-15114	sun, dr c	4	5434154
-457180	yan, dr s	4	1165182
112934	karunarathna, dr gh	1	947656
55631	procter, professor dj	3	2516197
-302369	chen, dr j	1	316421
36319	hilton, dr gs	1	11683481
32459	zimmerman, professor w	2	5492464
43352	greenshaw, professor t	1	1415336
-242105	gashi, dr i	1	563089
39160	ruyssevelt, professor pa	1	5745855
-8873	mcdaid, professor lj	1	375835
28387	ainsworth, professor b	3	8411777
-249197	soares indrusiak, dr l	1	652126
37147	long, professor nj	2	5401605
-196479	olteanu, associate professor da	3	6687908
61164	watson, dr i	2	4629886
123227	scruby, professor cb	2	5233184
98457	hong, professor x	1	183212
-469440	ford, professor a	2	1121524
21578	greaves, professor c	1	494174
81425	parker, professor j	1	629652
-23699	williams, professor sr	1	1099975
-369681	patton, dr e	1	1074212
-242117	wong, dr j	1	538610
52947	liu, professor w	1	5032504
-7769	stewart, dr aj	1	5699187
-106580	makatsoris, professor c	3	4842043
73396	soutis, professor c	3	9847414
44508	mcculloch, professor m	1	980362
-119007	bromiley, dr gd	1	1339398
97763	hutchings, professor lr	1	4807565
-439712	dymski, professor g a	1	4217380
-252133	gilbert, dr p j	4	6919363
106108	booth, professor m	3	4946042
45941	paul, professor dj	5	16912600
-447547	garcia, dr f	1	345908
-500649	tooze, mr j	1	467177
39291	towrie, professor m	2	1957503
-1628	singh, professor kd	1	148521
15617	templer, professor r	2	9574454
-127650	haines, mr r	1	80263
72414	flach, professor p	1	11683481
-513577	noy, dr a	1	612742
-119801	jones, professor pm	1	5745855
-108315	lozano-perez, professor s	2	592513
-123003	shields, dr pa	3	3376913
55538	saadat, dr m	2	2232070
-540471	lenz, dr a	1	305523
77863	thompson, professor js	6	6564850
71590	crowdy, professor dg	2	1277380
-493443	ivanov, dr d	1	97379
118697	sattar, professor n	1	2992297
116335	gunn-moore, professor fj	1	1183629
78301	kraft, professor m	1	112759
75950	gribakin, dr g	1	614488
39898	rodger, professor a	3	10109962
95505	bartlett, dr l	4	8266992
-303967	jensen, dr hs	1	3962860
32011	he, professor l	2	7190175
17193	williams, professor g	3	6559842
58194	farnan, dr i	3	7644862
94544	barakos, professor g	1	145535
13969	sawyer, professor p	2	1198900
46170	davidson, dr m	1	1415336
8088	islam, professor ms	4	14361284
58708	mummery, professor p	3	7789564
-215699	kukura, professor p	1	580471
63480	parks, dr gt	3	982209
93906	jose, professor jm	1	758299
-2847	chowienczyk, professor p	1	543114
49642	wright, professor ng	2	7554589
104071	jiang, professor x	3	1073821
102051	brookes, professor n	1	3567862
-16316	raman, dr s	1	2690768
-2609	dijkstra, dr ta	1	1671674
15956	toumazou, professor c	4	6455619
11176	morris, professor ga	2	708376
81226	ashcroft, professor ae	1	458233
103969	nightingale, professor p	2	4383994
-520771	veremieiev, dr s	1	2270296
4332	donnelly, professor s	3	1572474
2652	castro, professor i	1	182676
-164335	roach, dr p	2	3735084
30513	mcmorrow, professor df	2	1742770
109549	vasilaki, dr e	1	660561
-521077	worsley, dr p r	1	502895
72084	o'shea, professor p	1	4821721
-10248	yardley, professor l	1	923685
-494992	sinkus, professor r	2	1173720
2126	bruce, professor d	1	618606
-173031	ceglarek, professor d	1	2002994
-424322	corkhill, dr c	6	7561476
-177421	james, dr j	1	1656509
12926	raeside, professor r	1	131526
