Id,Label,Num,Val
-471105,aaen, dr ph,1,6382161
-182151,aarts, professor dga,1,730139
-28054,abel, professor pd,1,1255009
24,abell, professor c,2,2466482
115775,abhayaratne, dr c,1,853379
22096,abrahams, professor id,2,913140
-20957,abram, dr s,1,5059153
-236565,abram, professor tj,3,7413973
35,abramsky, professor s,2,1255685
-435305,abusara, dr m,1,955093
45,ackland, professor gj,1,16207
-422441,acuto, dr m,2,2977071
-269286,adams, dr j,1,162543
-453708,adams, dr rw,1,340726
-64990,adams, dr wj,1,505830
42882,adams, professor cs,3,1978762
-200617,adams, professor dj,4,9614505
42440,adams, professor m,1,675876
19471,adams, professor mj,1,724958
-3249,adamson, professor aj,1,4051357
-20371,adawi, dr am,1,654934
-152692,adcock, dr t,1,98208
-249440,addison, professor o,1,534061
-413259,adebisi, dr b,2,1157509
-490009,adelopo, dr i,1,218964
-113628,adey, professor p,1,3454896
72561,adjiman, professor cs,3,4087923
-15488,adolphs, professor s,1,4062954
102634,aeppli, professor g,2,12951140
102,aggarwal, professor vk,3,7908331
56939,aggeli, dr a,1,991843
106,aghvami, professor ah,3,921729
-205120,agnolucci, dr p,1,700396
-422991,aguadero, dr a,4,6923239
-398951,ahmed, dr k h,1,734786
-28923,ahmed, professor s,1,408772
-248909,ahn, dr h,1,1111261
97176,aickelin, professor u,1,269486
28387,ainsworth, professor b,3,8411777
-183152,ainsworth, professor jd,2,657364
-175105,aiouache, dr f,1,244803
-118007,aivaliotis, dr g,1,977833
119193,ajioka, dr jw,2,10082032
126822,akehurst, dr s,1,179235
-116475,akeroyd, dr ma,1,432134
27853,akid, professor r,1,5012105
-201586,akimov, professor a,1,522252
-286221,akman, dr oe,1,599739
48598,al-duri, dr b,1,934275
50450,al-hashimi, professor b,5,19580667
54484,al-tabbaa, professor a,3,6597881
-402175,alani, professor h,1,1134805
-422154,alaria, dr j,2,7010587
-427806,alastruey-arimon, dr j,2,852823
-408327,alatise, dr o,3,4970762
-546181,alazmani nodeh, dr a,1,504951
-249471,albrecht, dr m,1,519992
-161432,albrecht, dr t,1,583109
-547615,alcaino, mr p,1,246258
71546,alechina, dr n,1,280864
-12980,aleiferis, professor p,1,2999605
87473,alexander, dr a,1,6060701
73994,alexander, professor c,7,14164823
81544,alexander, professor d,6,4871220
53013,alexander, professor mr,2,8897727
-493358,alexiadis, dr a,2,1605977
-118740,alfano, dr g,1,582939
36081,alford, professor n,4,7262598
106617,alison, professor l,1,189699
-128033,aljabar, dr p,2,5356091
43757,allam, professor j,1,344863
54176,allan, dr dr,1,1491903
-492429,allan, dr gj,1,302477
213,allan, professor nl,3,4397407
-23502,allan, professor v,1,371157
127902,allemann, professor rk,3,11371458
-153652,allen, dr rj,1,5076927
55448,allen, dr sm,1,534918
76172,allen, professor cb,2,299708
225,allen, professor d,1,6100604
247,allen, professor pm,1,1642830
41423,allen, professor r,1,4559973
31980,allerton, professor dj,1,234537
-116204,allinson, dr d,1,1547189
71098,allsop, professor d,1,289268
273,allsopp, dr d,3,3376913
117293,allwood, professor da,1,523055
55324,allwood, professor jm,4,13009257
-189163,alomainy, dr a,1,332388
56407,althoefer, professor k,1,4993902
53913,althorpe, professor sc,1,397354
-191507,amabilino, professor d,1,3531769
298,amaratunga, professor g,2,2076170
-44402,amezaga, dr jm,1,3678063
126074,amirabdollahian, dr f,1,375542
309,amis, professor a,2,1589387
-196852,anable, professor jl,3,17738433
-221986,anandarajah, dr g,1,1683873
-502987,anastasopoulos, professor i,2,588529
-149620,anaya-lara, dr o,1,2967189
31173,anderson, dr b,1,771789
-215089,anderson, dr jlr,1,357292
-164171,anderson, dr sr,1,5782838
37119,anderson, professor hl,3,6156777
38914,anderson, professor j,2,4838341
117470,anderson, professor k,1,3512257
53225,anderson, professor r,1,1975496
355,andonovic, professor i,1,2481976
-169872,andreopoulos, dr y,2,1057061
-121092,andresen, dr j,1,1800518
-267480,andrews, dr d,1,5213689
368,andrews, professor bj,1,708302
-111306,andrews, professor gp,1,450811
41278,andrews, professor j,3,2059214
96326,andrieu, professor c,3,6634948
48909,angeli, professor p,4,10727901
-434543,angeloudis, dr p,1,267098
-487990,angulo, dr j,1,610417
-183595,angus, dr da,2,1907030
-184231,anthony, dr cj,1,240685
-449225,anthony, professor e,1,81247
126832,anthopoulos, professor t,1,5597150
-518814,antoniadou, dr i,2,2734174
-21248,antoranz contera, professor s,1,991283
413,apsimon, professor h,1,4173134
-210506,apsley, dr j,1,2041122
93407,arber, professor t,3,703256
-149568,arcaute, dr e,1,4000602
82902,ardavan, professor a,1,1736109
-160462,argyle, professor d,1,4300968
128006,aristodemou, dr e,1,4173134
-232476,arjunan, dr s,1,2455231
434,armes, professor sp,5,7049734
-366681,armitage, dr ca,1,23326
23224,armitage, professor j,1,4750815
95574,armour, dr smd,1,853379
-152752,armstrong, dr d,1,473482
-398965,armstrong, dr l,1,486940
29262,armstrong, professor a,1,749583
-2819,armstrong, professor fa,1,1753343
458,arnold, professor d,1,4715727
71054,arnold, professor pl,3,1574383
21870,arnot, dr t,1,5292695
470,arridge, professor sr,6,9119231
83173,arthur, dr s,2,792316
31522,arvind, professor d,2,2343978
-213070,ascione, professor r,1,11683481
121179,ashbrook, professor sem,1,222264
84051,ashburn, professor a m,1,11683481
81226,ashcroft, professor ae,1,458233
80335,ashcroft, professor ia,4,13976298
506,asher, professor g,1,2041122
507,ashfold, professor mnr,2,6642853
48972,ashley, professor rm,1,6423636
43470,ashwin, professor p,3,2669678
64981,ashworth, dr m,2,1243169
77481,aspinall, dr d,4,2694609
-322942,asselin, dr m,2,4174383
44914,assender, professor h,1,2476881
-255930,aste, dr t,2,5129807
68073,astolfi, professor a,1,1048080
-217083,aston, professor jad,3,5469130
552,atherton, dr m,1,266875
-15390,atkin, professor c,1,2690768
-208106,atkin, professor cj,3,17591205
69176,atkins, mr p,1,5782838
41506,atkinson, dr d,3,6502334
-24125,atkinson, dr r,1,560162
38923,atkinson, professor a,1,1247365
-301711,attallah, professor mm,2,631471
591,attard, professor g,1,868704
596,attfield, professor jp,3,1899256
-449126,au, professor s,1,567770
57299,augarde, professor c,3,2962634
-448264,auger, dr dj,2,2055810
89324,ault, dr g,1,3429099
-6681,austen, professor m,1,13531962
21216,austin, professor j,2,5215113
-161562,autio, professor e,1,5930480
-214628,averbukh, dr v,1,5838510
-25110,avison, dr mb,1,592169
78875,avital, dr e,1,572579
-490422,awan, dr s,1,988105
