Id	Label	Num
-471105	aaen, dr ph	1	
-182151	aarts, professor dga	1	
-28054	abel, professor pd	1	
24	abell, professor c	2	
115775	abhayaratne, dr c	1	
22096	abrahams, professor id	2	
-20957	abram, dr s	1	
-236565	abram, professor tj	3	
35	abramsky, professor s	2	
-435305	abusara, dr m	1	
45	ackland, professor gj	1	
-422441	acuto, dr m	2	
-269286	adams, dr j	1	
-453708	adams, dr rw	1	
-64990	adams, dr wj	1	
42882	adams, professor cs	3	
-200617	adams, professor dj	4	
42440	adams, professor m	1	
19471	adams, professor mj	1	
-3249	adamson, professor aj	1	
-20371	adawi, dr am	1	
-152692	adcock, dr t	1	
-249440	addison, professor o	1	
-413259	adebisi, dr b	2	
-490009	adelopo, dr i	1	
-113628	adey, professor p	1	
72561	adjiman, professor cs	3	
-15488	adolphs, professor s	1	
102634	aeppli, professor g	2	
102	aggarwal, professor vk	3	
56939	aggeli, dr a	1	
106	aghvami, professor ah	3	
-205120	agnolucci, dr p	1	
-422991	aguadero, dr a	4	
-398951	ahmed, dr k h	1	
-28923	ahmed, professor s	1	
-248909	ahn, dr h	1	
97176	aickelin, professor u	1	
28387	ainsworth, professor b	3	
-183152	ainsworth, professor jd	2	
-175105	aiouache, dr f	1	
-118007	aivaliotis, dr g	1	
119193	ajioka, dr jw	2	
126822	akehurst, dr s	1	
-116475	akeroyd, dr ma	1	
27853	akid, professor r	1	
-201586	akimov, professor a	1	
-286221	akman, dr oe	1	
48598	al-duri, dr b	1	
50450	al-hashimi, professor b	5	
-469374	al-jamal, dr w	1	
54484	al-tabbaa, professor a	3	
-402175	alani, professor h	1	
-422154	alaria, dr j	2	
-427806	alastruey-arimon, dr j	2	
-408327	alatise, dr o	3	
42485	alavi, professor a	1	
-546181	alazmani nodeh, dr a	1	
-249471	albrecht, dr m	1	
-161432	albrecht, dr t	1	
-547615	alcaino, mr p	1	
64967	aldridge, professor s	1	
71546	alechina, dr n	1	
-12980	aleiferis, professor p	1	
87473	alexander, dr a	1	
-453759	alexander, dr g	1	
-443802	alexander, dr j	1	
73994	alexander, professor c	7	
81544	alexander, professor d	6	
53013	alexander, professor mr	2	
97168	alexe, professor m	1	
-493358	alexiadis, dr a	2	
-118740	alfano, dr g	1	
36081	alford, professor n	4	
106617	alison, professor l	1	
-128033	aljabar, dr p	2	
43757	allam, professor j	1	
54176	allan, dr dr	1	
-492429	allan, dr gj	1	
76020	allan, dr rj	1	
213	allan, professor nl	3	
-23502	allan, professor v	1	
128044	allegri, dr g	1	
127902	allemann, professor rk	3	
-153652	allen, dr rj	1	
55448	allen, dr sm	1	
76172	allen, professor cb	2	
225	allen, professor d	1	
247	allen, professor pm	1	
41423	allen, professor r	1	
31980	allerton, professor dj	1	
-116204	allinson, dr d	1	
71098	allsop, professor d	1	
273	allsopp, dr d	3	
117293	allwood, professor da	1	
55324	allwood, professor jm	4	
-189163	alomainy, dr a	1	
98932	altenkirch, dr t	1	
56407	althoefer, professor k	1	
53913	althorpe, professor sc	1	
-191507	amabilino, professor d	1	
298	amaratunga, professor g	2	
-539945	amato, dr g	1	
-44402	amezaga, dr jm	1	
-422498	amir siddiq, dr m	1	
126074	amirabdollahian, dr f	1	
309	amis, professor a	2	
-196852	anable, professor jl	3	
-221986	anandarajah, dr g	1	
-502987	anastasopoulos, professor i	2	
-149620	anaya-lara, dr o	1	
-213901	anders, dr j	1	
31173	anderson, dr b	1	
-109169	anderson, dr ea	1	
-215089	anderson, dr jlr	1	
-32799	anderson, dr ps	1	
-164171	anderson, dr sr	1	
37119	anderson, professor hl	3	
38914	anderson, professor j	2	
117470	anderson, professor k	1	
53225	anderson, professor r	1	
355	andonovic, professor i	1	
-506816	andreoli, dr e	1	
-169872	andreopoulos, dr y	2	
-121092	andresen, dr j	1	
-267480	andrews, dr d	1	
368	andrews, professor bj	1	
-111306	andrews, professor gp	1	
41278	andrews, professor j	3	
96326	andrieu, professor c	3	
48909	angeli, professor p	4	
-434543	angeloudis, dr p	1	
-487990	angulo, dr j	1	
-183595	angus, dr da	2	
-184231	anthony, dr cj	1	
-449225	anthony, professor e	1	
126832	anthopoulos, professor t	1	
-518814	antoniadou, dr i	2	
-21248	antoranz contera, professor s	1	
413	apsimon, professor h	1	
-210506	apsley, dr j	1	
-513005	arapinis, dr m d	1	
