Id	Label	Num
668	professor jp badyal	5
32459	professor w zimmerman	9
27824	professor r tafazolli	6
4267	professor pj dobson	9
6475	professor c grovenor	8
27886	professor p wilshaw	1
27648	professor p grant	14
44914	professor h assender	3
77862	professor gad briggs	6
9479	professor s ley	4
10327	professor p mawby	5
71035	professor cv brown	1
27197	professor jd woollins	2
44216	professor s parsons	1
15074	professor d stephenson	3
9383	professor d leigh	1
34596	professor l shao	2
46033	professor dh gregory	2
61323	professor dr bowler	6
12009	professor re palmer	2
27733	professor k kendall	5
3156	professor d cole-hamilton	5
7253	professor bj hickey	5
40210	professor e terentjev	4
16737	professor mf webster	1
49125	professor a burrows	3
-116900	professor nj doran	3
34745	professor p bayvel	2
14115	professor aj seeds	11
25053	professor w sibbett	2
52838	professor rcd brown	4
16440	professor a wallace	4
2220	professor g buller	3
11076	professor cj moody	5
42474	professor i robertson	7
42271	professor srp silva	1
43422	dr s lucyszyn	2
42432	professor i thayne	5
74866	professor s beaumont	2
13542	professor e rogers	1
21378	professor tw clyne	1
21399	professor wj clegg	3
3113	professor ac cocks	8
42759	professor wif david	4
22235	professor m sandler	10
36435	professor ek burke	5
53920	professor pi cowling	5
68066	professor s petrovic	1
34631	professor gj page	6
21278	professor s riffat	3
32124	professor m bowker	8
10455	professor cf mcconville	2
48653	professor a waller	3
9412	professor i leslie	2
12353	professor r perutz	3
29229	professor a beeby	1
2663	professor r catlow	22
37889	dr r bell	7
62151	dr jc bamber	1
1655	professor at boothroyd	4
8088	professor ms islam	7
25224	professor g price	3
6831	professor kdm harris	2
44257	professor j harding	6
93270	professor pm rodger	1
213	professor nl allan	4
12751	professor sl price	2
21422	professor sc parker	8
13385	professor m a robb	5
40202	dr p sherwood	5
28648	dr ra black	5
50320	professor r williams	2
15576	professor cj taylor	6
44380	professor k hellgardt	6
39752	professor rj cernik	17
5628	professor s b furber	9
3017	professor t claypole	4
5821	professor dt gethin	4
27937	professor aj peyton	4
55720	dr m jobson	4
2627	professor k case	4
46590	professor cb jones	2
5310	professor pj fleming	2
34505	professor a j orr-ewing	2
17189	professor dj williams	6
4049	professor d de roure	9
11746	professor k odonnell	1
51894	professor m searle	1
52064	dr ca laughton	3
7021	professor be hayden	5
39564	professor q yao	1
34187	professor ar champneys	7
27122	professor sj hogan	5
49658	professor p popelier	2
5270	professor r fisher	1
41099	professor e fraga	5
38008	professor d riley	2
8089	dr r issa	1
-119801	professor pm jones	1
29307	professor p treleaven	15
43613	professor sa schneider	8
38341	dr m sutcliffe	3
12295	professor a penn	12
44626	professor a incecik	3
8754	professor dbr kenning	3
14765	professor ce snape	8
7937	professor g hutchings	9
5300	professor n fleck	3
4332	professor s donnelly	1
30719	professor t martin	1
-122094	dr r shuttleworth	2
25230	professor sa billings	1
14993	professor pk stansby	2
9409	professor m leschziner	6
33041	dr c morley	2
14060	professor ns scott	1
12350	professor kc persaud	2
6120	professor m gordon	1
44789	professor pr raithby	7
4136	professor b derby	11
11579	professor jr nicholls	10
1216	professor sj bending	5
1352	professor h bhadeshia	4
1509	professor m blamire	3
25929	dr z barber	1
7022	professor s hayden	3
49257	professor g sankar	7
23065	professor cj schofield	3
41001	professor kj roberts	4
12161	professor nw paton	2
44685	professor p watson	15
11861	professor t oreszczyn	4
16157	professor jr tyrer	3
15901	professor dg toll	1
34860	professor g leggett	7
29791	professor re critoph	4
14612	professor cg smith	3
10686	dr s mcvitie	4
13313	professor k ridgway	6
51098	professor n peake	1
5975	professor kd glazebrook	4
10318	professor r maull	6
15793	dr c thornton	3
10276	professor aj masters	4
7979	professor th hyde	4
21686	professor l hanzo	3
42975	professor j marrow	2
50835	professor p steadman	3
50614	dr g white	1
46155	dr rb hammond	1
48972	professor rm ashley	1
2388	professor d butler	2
44159	professor m leach	1
4572	professor k durose	1
5004	professor j evans	3
16783	professor m weller	4
45006	professor cc wilson	8
5779	professor p gaydecki	6
56407	professor k althoefer	3
591	professor g attard	1
3216	dr d collison	4
48291	professor m fitzpatrick	1
17379	professor p withers	23
29058	professor pn bartlett	8
7875	professor sir c humphreys	6
106	professor ah aghvami	3
42822	professor re morris	2
13767	professor a ryan	5
34838	professor iw hamley	4
7510	professor rg holdich	2
36749	professor a tabor	1
53866	professor m barnes	2
7713	professor jak howard	1
58058	professor p radaelli	7
60514	professor aj florence	16
31961	professor c pulham	3
21901	professor j clare	3
26927	professor m sumner	2
41598	professor rjk wood	3
12031	professor c parini	2
8523	professor r jones	1
10186	professor s marshall	4
62734	professor rs langley	6
21769	professor p maini	3
37273	professor d reay	4
37305	professor j clayden	3
506	professor g asher	1
59415	professor s boussakta	2
44684	professor dl bader	1
42906	professor g pan	2
15671	professor d thomas	3
15681	professor hr thomas	5
4579	professor s durucan	1
40650	professor k chen	7
16561	professor j wark	4
50168	professor jm reese	3
74102	professor p nelson	8
12687	professor w powrie	14
32038	professor s hailes	10
2803	professor m charlton	1
2132	professor p bruce	8
3386	professor f coton	1
9859	professor s macchietto	2
102972	professor n shah	28
40596	professor e pistikopoulos	3
11061	professor t monteiro	1
7360	professor cj hinde	4
42684	professor s tsang	3
9691	professor gg lonzarich	1
61635	dr i hepburn	2
2031	professor bm brown	3
7956	professor d hutchison	7
9444	professor c lewis	2
6201	professor wg graham	1
55324	professor jm allwood	9
10807	professor gj michaelson	1
37967	professor ns braithwaite	2
12321	professor a pericleous	2
1080	professor m beach	6
58408	professor k dautenhahn	1
6702	professor g hancock	2
10482	professor ja mcdermid	4
10843	professor mj miles	3
45280	professor j knight	4
1210	professor mr belmont	4
6605	professor s hall	2
11315	professor g mullineux	1
30942	professor d howard	1
4140	professor j derrick	1
1488	professor g blair	16
8936	professor j kittler	3
9985	professor p maguire	4
10928	professor wi milne	6
298	professor g amaratunga	3
45310	professor p hu	8
4871	professor sj elston	1
14902	professor ha spikes	2
42027	dr r green	1
11552	professor me newton	3
52847	professor x ni	3
10491	professor p mcdonald	3
4597	professor me dyer	1
21890	professor j morrison	3
627	professor h awbi	2
45429	professor jw bradley	6
21646	professor p dawson	4
16037	professor p tsakiropoulos	5
16679	professor j watts	2
8919	professor a kirkland	4
32178	professor a movchan	7
31756	professor s caddick	1
6974	professor d hawkes	4
6588	professor eah hall	5
2126	professor d bruce	3
10612	professor s mclaughlin	8
11453	dr k neailey	3
24520	professor j fisher	5
35749	professor e ingham	5
14826	professor j soraghan	3
55612	dr s collins	2
9965	professor pa madden	5
4088	professor r deeth	2
12292	sir jb pendry	3
13969	professor p sawyer	5
45752	professor r kerswell	3
21578	professor c greaves	2
11973	dr j padget	3
43140	professor m batty	5
12398	professor d pham	3
13929	professor aj saul	2
41055	professor d savic	2
28022	professor r gaizauskas	3
42485	professor a alavi	3
52344	professor m sprik	6
47793	professor m butler	2
42246	professor i fesenko	2
12204	professor mc payne	12
45	professor gj ackland	5
17349	professor re winpenny	5
6728	professor c hankin	10
41799	professor y yang	1
51123	professor baj glowacki	1
2208	professor nr buenfeld	3
835	professor c banks	5
26550	professor n tyler	12
11473	professor rj needs	4
16391	professor d wales	4
16509	professor aj walton	9
16172	professor i underwood	5
16033	professor jpm trusler	1
39835	professor kv horoshenkov	2
2683	professor p cawley	10
37796	professor m j s lowe	7
40837	professor p bowen	5
6408	professor aj griffiths	4
21853	professor t o'doherty	1
29756	professor s duncan	4
41641	professor t krauss	5
41812	professor ta birks	3
95123	professor m gaster	3
8772	professor p keogh	2
16932	professor i white	7
12308	professor r penty	11
8323	professor a jha	6
12208	professor sir dn payne	5
70341	professor j glass	9
73967	professor m clark	3
11300	professor b mulgrew	4
-486252	professor p russell	4
49734	professor s elliott	4
15299	professor e suli	2
14808	professor m somekh	4
72828	professor cm johnson	4
51893	professor m mahfouf	3
11369	professor af murray	2
15482	professor l tarassenko	5
1493	professor a blake	2
42124	professor da barrow	2
27774	professor b honary	3
3323	professor j cooper	7
8891	professor a kinloch	1
15755	professor ge thompson	12
43886	professor m giles	2
17161	professor p williams	5
7234	professor b heydecker	1
79518	professor sir jm brady	12
21216	professor j austin	5
1116	professor a becker	3
57710	professor sj mckenna	5
37987	professor s roberts	4
41955	professor e trucco	2
27579	professor s cochran	4
9148	professor d lane	5
41056	dr m dunnigan	2
29356	professor nr jennings	12
8369	professor p johnson	4
4705	professor dj edwards	2
44903	professor dc o'brien	2
56727	professor j shrimpton	4
16252	professor a vaughan	5
3414	professor jm coupland	1
-1866	dr s thoms	1
71403	professor j sienz	2
17558	professor cd wright	6
12453	professor g pickett	1
6489	professor am guenault	1
61145	professor r martinez-botas	2
21851	professor r cant	2
17333	professor a windle	3
12945	professor wm rainforth	10
9333	professor we lee	4
30005	professor js wilkinson	1
51845	professor m zervas	3
4633	professor rw eason	5
40395	professor d hewak	10
57632	professor pgr smith	2
69966	professor l zhang	3
15550	professor ra taylor	1
16070	professor aj turberfield	1
5480	professor am fox	3
11618	professor m niranjan	3
1799	professor ddc bradley	10
8834	professor ja kilner	1
1809	professor d bradley	2
21300	professor ph gaskell	3
36017	professor r cooper obe	6
823	professor jr banerjee	1
2390	professor r butler	3
5745	professor k garry	1
38559	mr ar mills	2
43946	professor k worden	8
56694	dr b sauer	6
53237	dr g smith	1
52957	professor aj mulholland	9
45542	professor a hilton	3
36580	professor d pym	3
35322	professor d watling	1
53039	professor j tisch	7
11780	professor w o'neill	5
52930	professor c molteni	5
5592	professor mi friswell	4
48095	professor h summers	8
38641	professor a m rucklidge	7
53018	professor sp morgan	3
45941	professor dj paul	8
52979	professor fhl essler	2
49008	professor p gardner	2
46128	professor d reid	10
53013	professor mr alexander	8
56821	professor r craster	7
50962	professor v falko	3
46202	professor j gauntlett	2
46006	professor k shakesheff	9
53021	professor f udrea	3
43161	professor t wright	2
46239	professor j nelson	7
45758	professor m nazarov	1
31161	professor h braden	10
5296	professor wr flavell	1
60067	professor p wright	1
7684	professor mj hounslow	1
89706	professor gp hammond	1
41984	professor s kalliadasis	7
7851	professor c hull	2
13903	professor d sannella	3
4996	professor de evans	3
2493	professor pj cameron	8
6874	professor pg harrison	2
39235	professor nj hitchin	2
13152	professor m reid	1
10222	professor pp martin	3
8305	professor m jerrum	3
14107	professor jm seddon	3
952	professor t barrett	1
10167	professor jh marsh	1
8056	professor cn ironside	2
30229	professor c cheeseman	3
39014	professor j robertson	4
17768	professor a zisserman	2
49479	professor s parsons	5
29187	professor a mount	6
32519	professor a nix	3
35858	professor s robson	1
43134	professor ga wiggins	4
9846	professor le macaskie	1
14056	professor k scott	7
27310	professor m padgett	13
4022	professor a day	2
21787	professor g pender	4
16716	professor rp webb	2
55335	professor m mueller	2
16982	professor t whittaker	1
72178	professor m edirisinghe	6
4962	professor jrg evans	2
14634	professor gh smith	1
38079	dr og harlen	2
72611	dr nj lawson	5
4014	mr ar dawson	2
729	professor cj baker	10
21767	professor k choi	3
43067	professor n. de n. donaldson	2
92833	professor a demosthenous	3
24189	professor w jones	5
507	professor mnr ashfold	3
38911	professor d harrison	1
43826	professor i samuel	7
31745	professor tf cootes	4
14892	professor j spencer	6
10622	professor t mcleish	3
3091	professor pd coates	5
7786	dr ma huckvale	3
70008	professor m lycett	3
21518	professor s salhi	1
24008	professor jm graham	2
12657	professor m pourkashanian	10
17184	professor a williams	3
32079	professor georgy makhviladze	2
368	professor bj andrews	1
9394	professor we leithead	2
3651	professor s culley	4
10640	professor c mcmahon	6
9591	professor b littlewood	5
28215	professor p ireland	2
69466	professor i gursul	2
12521	professor am pitts	1
29222	professor rmd brydson	1
17160	professor pr williams	7
22030	professor dj lurie	2
38228	professor it nabney	1
50637	professor pk woodward	2
127861	professor a forsyth	8
-2886	professor js shawe-taylor	10
38712	professor a kucernak	6
68130	professor np brandon	14
67244	professor nd sandham	6
42239	professor m singer	2
57930	professor m mirmehdi	4
31392	professor c roberts	3
3889	professor m davies	5
15619	professor s tendler	4
22135	dr d hughes	1
9162	professor rj langley	1
11292	professor d muir wood	2
25572	professor im ward	2
50716	professor j billingham	3
5822	professor m ghadiri	1
76361	professor nj young	3
15285	professor p styring	11
32006	professor p prangnell	6
12223	professor ar peaker	1
2307	professor a burns	3
32288	professor ja clark	4
22032	professor pwh chung	1
9121	professor c lambert	11
14540	professor m skolnick	6
54770	professor dm whittaker	2
643	professor b azzopardi	4
21436	professor ba shollock	3
29260	professor pk jimack	6
74214	professor ap mackenzie	3
11870	professor a orpen	2
10789	professor is metcalfe	12
21394	dr m hird	2
6070	professor jw goodby	1
15519	professor ca taylor	9
88227	dr i campbell	3
13717	professor cd rudd	3
36758	professor a long	6
2212	professor d bull	7
8857	professor j king	1
12988	professor v randle	1
29273	professor jp dear	4
5756	professor s garvey	3
2244	professor a bundy	1
38227	professor da cardwell	2
50661	professor j girkin	2
5656	professor j gajjar	7
6625	professor p hall	3
65739	professor g o roberts	4
27116	professor a etheridge	1
61977	professor sm dixon	7
8956	professor dw knight	2
17143	professor j williams	4
41029	professor l lin	2
5961	professor l gladden	9
15713	professor ej thomas	1
800	professor sir j ball	2
2583	professor j carr	10
16055	professor jv tucker	5
11057	professor g montague	1
29584	professor eb martin	1
34371	professor b hambly	2
17488	professor r woods	2
10417	professor jv mccanny	8
7940	professor d hutchins	3
11267	professor j mottram	3
6876	professor rf harrison	2
1732	professor a w bowman	1
7747	professor j howie	10
50928	mr g garrod	8
6372	professor sir m gregory	7
6882	professor r harrison	5
39084	professor aa west	8
4239	professor n dixon	1
13133	dr j reeve	3
68663	professor g landini	1
22017	professor a yakovlev	5
3343	professor j copas	1
37027	professor a sobolev	1
2022	professor ad brown	3
3618	professor j crowcroft	11
10387	professor d mcauley	14
36060	professor aj marshall	3
12408	professor c phillips	2
434	professor sp armes	5
38932	professor rj nichols	7
12352	professor gj pert	1
46430	professor s rose	1
4389	professor mt dove	2
41416	professor a shluger	7
6446	professor rw grimes	1
27178	professor m rosseinsky	11
42450	professor mw finnis	10
27204	professor at paxton	6
10566	professor ac mcintosh	2
49422	professor k richards	3
6378	dr ar greig	1
70153	professor j lawry	1
7938	professor i hutchings	1
21829	professor sj payne	4
9080	professor mz kwiatkowska	1
54555	professor m ryan	5
34519	professor r parkin	4
9960	professor hd macpherson	1
13517	dr pi rockett	1
8620	professor ak kar	2
16880	professor b wherrett	6
16823	professor ar west	5
7223	professor gf hewitt	6
35206	professor m fairweather	1
12025	professor cc pantelides	3
28301	dr ja halliday	5
31821	professor n jenkins	7
40612	professor g strbac	12
6048	professor m goldstein	3
13992	professor pa scarf	1
790	professor fg ball	5
6324	professor pj green	1
53511	professor s godsill	3
38841	professor g nason	1
16424	dr s walker	1
4762	professor s eisenbach	5
10226	professor rr martin	2
51118	professor pm hall	10
64694	professor y wang	1
41081	professor rs mackay	8
41423	professor r allen	7
35928	professor hm colquhoun	4
39732	professor jl driscoll	2
15348	professor ap sutton	4
34540	dr p bristowe	6
2652	professor i castro	1
13802	professor pj sadler	1
29315	professor maj chaplain	8
14726	professor ft smith	9
10636	dr d mclernon	5
21659	dr ka prior	5
5494	professor ct foxon	2
43529	professor sj sherwin	7
4012	dr p dawson	3
6057	professor n gomes	3
8483	professor mr jones	1
4553	professor mh dunn	6
42411	professor ja thomas	5
75923	dr t cornford	1
6705	dr p hancock	1
38101	professor a robins	3
15956	professor c toumazou	8
2867	professor pyk cheung	5
44434	professor r henderson	2
12034	professor d parish	1
56861	professor j clarkson	9
6007	professor c goble	1
71179	professor i horrocks	1
55347	dr k rietsch	1
40414	professor rs kalawsky	4
13417	professor s roberts	5
44916	professor aj wilkinson	7
731	professor hj baker	2
12400	professor adr phelps	1
45640	professor j pitt	1
15535	professor r taylor	1
40973	professor g lye	9
24451	professor d chadwick	5
38923	professor a atkinson	1
102	professor vk aggarwal	3
29262	professor a armstrong	1
50173	professor jm jones	6
54941	professor a gavriilidis	15
6200	professor njd graham	1
14109	professor k seddon	3
55631	professor dj procter	2
69411	professor n ghani	2
15984	dr c trager-cowan	9
52022	professor q shen	5
33120	professor d segal	3
8964	professor sir p knight	6
11136	professor h morgan	2
117837	professor p. g. tucker	4
8423	professor a jones	4
36938	professor j chambers	2
43470	professor p ashwin	10
61514	professor a haddad	1
21509	professor d macphee	1
50604	dr i masters	1
22007	professor t leighton	1
12133	professor ik partridge	4
60892	dr ag dutton	1
15555	professor s taylor	5
50024	professor p xiao	2
24398	professor ja yeomans	5
58845	professor w schwarzacher	1
2851	professor d cherns	2
69939	professor h sirringhaus	3
5587	professor sir r friend	5
49195	professor n greenham	2
21348	professor ca hunter	2
7963	professor jm hutson	4
56833	professor af lee	10
2953	professor jh clark	8
36455	professor r raval	3
14131	professor a sella	2
3262	professor p conway	12
11775	professor a o'neill	5
49153	professor p o'brien	4
27155	professor m shipman	2
24	professor c abell	3
14906	professor tp spiller	1
12558	professor m poliakoff	5
27411	professor s howdle	6
21338	professor ki booker-milburn	3
17345	professor cp winlove	1
44954	professor m lucas	2
11287	professor s muggleton	3
49796	professor r king	5
5067	professor ra falconer	2
11750	professor k o'grady	1
68422	dr a edkins	9
31979	professor a fokas	4
13540	professor cdf rogers	14
61541	professor l carr	10
6610	professor dame w hall	10
9831	professor sb lyon	1
34875	professor sd price	2
37719	professor jw polak	10
31516	professor r taylor	4
25203	professor p weightman	7
794	professor rc ball	6
-286983	professor n quirke	2
1051	professor p battle	2
38091	professor s blundell	5
49980	professor g finlayson	2
1801	professor m bradley	8
127902	professor rk allemann	6
34856	professor sjc irvine	1
35	professor s abramsky	3
8710	professor p kelly	9
5195	dr aj field	5
27351	professor t gallagher	3
41809	dr c williams	6
16199	professor d uttamchandani	9
34512	professor cr stone	5
5028	professor p ewart	5
27203	professor k choy	5
33125	professor dame a dowling	1
27069	professor r hand	1
21766	professor d robertson	5
34988	professor n davies	10
5570	professor p french	2
42722	professor n barltrop	1
5698	professor a gammerman	3
47801	professor v vovk	3
41039	professor a neville	4
30550	professor d gann	6
15129	professor ia stewart	3
225	professor d allen	3
73396	professor c soutis	5
