Id	Label	Num
27096	dr ua jayasooriya	0	
668	professor jp badyal	5	
30023	professor pn sharratt	0	
5750	professor j garside	0	
32459	professor w zimmerman	9	
29963	professor r davey	0	
32659	professor j cilliers	0	
5869	professor a gibson	0	
4995	professor b evans	0	
27824	professor r tafazolli	6	
14632	professor g smith	0	
1932	professor g briggs	0	
4267	professor pj dobson	9	
6475	professor c grovenor	8	
27886	professor p wilshaw	1	
27648	professor p grant	14	
44914	professor h assender	3	
27182	professor p burn	0	
42061	professor j titchmarsh	0	
43492	professor k o'reilly	0	
77862	professor gad briggs	6	
43651	professor ph regan	0	
5798	professor w gelletly	0	
32119	dr e morton	0	
62129	professor pj sellin	0	
9479	professor s ley	4	
10327	professor p mawby	5	
41412	professor s wilks	0	
39394	professor r kalin	0	
70446	dr t elliot	0	
57587	dr r worden	0	
37633	professor ep raynes	0	
71035	professor cv brown	1	
24092	professor j alty	0	
47097	dr r knott	0	
10488	professor sir j mcdonald	0	
10585	professor s mckee	0	
56385	dr c michie	0	
96678	professor a beezer	0	
70796	dr j mitchell	0	
3251	professor j connor	0	
23868	professor j mitchell	0	
27197	professor jd woollins	2	
44216	professor s parsons	1	
117229	professor r stuetz	0	
15080	professor t stephenson	0	
27780	professor sj judd	0	
69656	dr pb kirby	0	
15074	professor d stephenson	3	
44687	professor rw whatmore	0	
32023	professor dm haddleton	0	
9383	professor d leigh	1	
16702	professor jmr weaver	0	
34596	professor l shao	2	
52145	dr dw etheridge	0	
61608	dr m gadi	0	
21429	dr p harrison	0	
46033	professor dh gregory	2	
3672	professor na cumpsty	0	
7469	professor h hodson	0	
3999	professor wn dawes	0	
66583	dr m edmundo	0	
55413	dr s daniel	0	
67989	professor s pott	0	
66924	dr lj cummings	0	
-142307	miss rs garcia	0	
67118	dr a chefles	0	
61323	professor dr bowler	6	
6086	dr cj goodman	0	
12009	professor re palmer	2	
27733	professor k kendall	5	
7617	professor e hope	0	
3156	professor d cole-hamilton	5	
7253	professor bj hickey	5	
-214011	professor gc stevens	0	
13332	professor ds riley	0	
