Source,Target,Type,Weight,Val
30023,5750,Undirected,1.0,214817
30023,32459,Undirected,1.0,214817
30023,29963,Undirected,1.0,214817
30023,32659,Undirected,1.0,214817
5750,32459,Undirected,1.0,214817
5750,29963,Undirected,1.0,214817
5750,32659,Undirected,1.0,214817
32459,29963,Undirected,1.0,214817
32459,32659,Undirected,1.0,214817
29963,32659,Undirected,1.0,214817
4995,27824,Undirected,3.0,476170
14632,1932,Undirected,1.0,7863900
14632,4267,Undirected,1.0,7863900
14632,6475,Undirected,4.0,8108422
14632,27886,Undirected,2.0,7948800
14632,27648,Undirected,1.0,7863900
14632,44914,Undirected,1.0,7863900
14632,27182,Undirected,1.0,7863900
14632,42061,Undirected,1.0,7863900
14632,43492,Undirected,1.0,7863900
14632,77862,Undirected,1.0,7863900
1932,4267,Undirected,1.0,7863900
1932,6475,Undirected,1.0,7863900
1932,27886,Undirected,1.0,7863900
1932,27648,Undirected,1.0,7863900
1932,44914,Undirected,1.0,7863900
1932,27182,Undirected,1.0,7863900
1932,42061,Undirected,1.0,7863900
1932,43492,Undirected,1.0,7863900
1932,77862,Undirected,1.0,7863900
4267,6475,Undirected,1.0,7863900
4267,27886,Undirected,1.0,7863900
4267,27648,Undirected,1.0,7863900
4267,44914,Undirected,1.0,7863900
4267,27182,Undirected,1.0,7863900
4267,42061,Undirected,1.0,7863900
4267,43492,Undirected,1.0,7863900
4267,77862,Undirected,1.0,7863900
6475,27886,Undirected,1.0,7863900
6475,27648,Undirected,1.0,7863900
6475,44914,Undirected,1.0,7863900
6475,27182,Undirected,1.0,7863900
6475,42061,Undirected,1.0,7863900
6475,43492,Undirected,1.0,7863900
6475,77862,Undirected,1.0,7863900
27886,27648,Undirected,1.0,7863900
27886,44914,Undirected,1.0,7863900
27886,27182,Undirected,1.0,7863900
27886,42061,Undirected,1.0,7863900
27886,43492,Undirected,1.0,7863900
27886,77862,Undirected,1.0,7863900
27648,44914,Undirected,1.0,7863900
27648,27182,Undirected,1.0,7863900
27648,42061,Undirected,1.0,7863900
27648,43492,Undirected,1.0,7863900
27648,77862,Undirected,1.0,7863900
44914,27182,Undirected,1.0,7863900
44914,42061,Undirected,1.0,7863900
44914,43492,Undirected,1.0,7863900
44914,77862,Undirected,1.0,7863900
27182,42061,Undirected,1.0,7863900
27182,43492,Undirected,1.0,7863900
27182,77862,Undirected,1.0,7863900
42061,43492,Undirected,1.0,7863900
42061,77862,Undirected,1.0,7863900
43492,77862,Undirected,1.0,7863900
43651,5798,Undirected,4.0,2318095
43651,32119,Undirected,2.0,404089
43651,62129,Undirected,2.0,404089
5798,32119,Undirected,2.0,404089
5798,62129,Undirected,1.0,149175
32119,62129,Undirected,2.0,464512
10327,41412,Undirected,2.0,317546
39394,70446,Undirected,2.0,518526
39394,57587,Undirected,2.0,518526
70446,57587,Undirected,1.0,129779
37633,71035,Undirected,1.0,33453
24092,47097,Undirected,1.0,88764
10488,10585,Undirected,1.0,54513
10488,56385,Undirected,2.0,75705
10585,56385,Undirected,1.0,54513
96678,70796,Undirected,1.0,26190
96678,3251,Undirected,1.0,26190
96678,23868,Undirected,1.0,26190
70796,3251,Undirected,1.0,26190
70796,23868,Undirected,1.0,26190
3251,23868,Undirected,1.0,26190
44216,117229,Undirected,2.0,449114
44216,15080,Undirected,1.0,26946
44216,27780,Undirected,4.0,582854
117229,15080,Undirected,1.0,26946
117229,27780,Undirected,2.0,449114
15080,27780,Undirected,7.0,1000097
69656,15074,Undirected,1.0,82285
69656,44687,Undirected,2.0,224037
15074,44687,Undirected,1.0,82285
32023,9383,Undirected,1.0,62867
34596,52145,Undirected,1.0,107500
34596,61608,Undirected,1.0,107500
52145,61608,Undirected,1.0,107500
21429,46033,Undirected,1.0,109014
3672,7469,Undirected,1.0,70441
3672,3999,Undirected,1.0,70441
7469,3999,Undirected,3.0,304826
6321,49125,Undirected,2.0,145450
1254,-116900,Undirected,6.0,1101364
34745,14115,Undirected,1.0,191458
34745,23127,Undirected,4.0,1078640
14115,23127,Undirected,2.0,884175
6148,11734,Undirected,1.0,141149
6148,23989,Undirected,1.0,141149
11734,23989,Undirected,1.0,141149
29126,4568,Undirected,2.0,135048
183,59521,Undirected,2.0,248225
183,732,Undirected,2.0,248225
59521,732,Undirected,2.0,248225
21233,42809,Undirected,3.0,252622
9479,12432,Undirected,1.0,25000
9479,13790,Undirected,1.0,25000
12432,13790,Undirected,1.0,25000
13790,9479,Undirected,1.0,40000
16440,2220,Undirected,1.0,258969
16440,16398,Undirected,1.0,258969
2220,16398,Undirected,3.0,1739047
14354,13756,Undirected,1.0,23591
14354,25194,Undirected,1.0,23591
13756,25194,Undirected,2.0,102192
27848,14113,Undirected,2.0,541706
13885,4575,Undirected,1.0,63382
11076,7072,Undirected,1.0,190977
42474,42271,Undirected,1.0,285249
42474,43422,Undirected,1.0,285249
42271,43422,Undirected,1.0,285249
42432,74866,Undirected,3.0,799552
42432,1108,Undirected,3.0,799552
74866,1108,Undirected,8.0,1399305
48775,51949,Undirected,1.0,8475
11954,13542,Undirected,1.0,56333
21378,21399,Undirected,3.0,364552
21378,3113,Undirected,1.0,189731
21399,3113,Undirected,1.0,189731
42759,45257,Undirected,1.0,126394
15236,8138,Undirected,1.0,168357
