Source	Target	Type	Weight
30023	5750	Undirected	1.0
30023	29963	Undirected	1.0
5750	32459	Undirected	1.0
5750	32659	Undirected	1.0
32459	32659	Undirected	1.0
4995	27824	Undirected	3.0
14632	4267	Undirected	1.0
14632	27886	Undirected	2.0
14632	44914	Undirected	1.0
14632	42061	Undirected	1.0
14632	77862	Undirected	1.0
1932	6475	Undirected	1.0
1932	27648	Undirected	1.0
1932	27182	Undirected	1.0
1932	43492	Undirected	1.0
4267	6475	Undirected	1.0
4267	27648	Undirected	1.0
4267	27182	Undirected	1.0
4267	43492	Undirected	1.0
6475	27886	Undirected	1.0
6475	44914	Undirected	1.0
6475	42061	Undirected	1.0
6475	77862	Undirected	1.0
27886	44914	Undirected	1.0
27886	42061	Undirected	1.0
27886	77862	Undirected	1.0
27648	27182	Undirected	1.0
27648	43492	Undirected	1.0
44914	27182	Undirected	1.0
44914	43492	Undirected	1.0
27182	42061	Undirected	1.0
27182	77862	Undirected	1.0
42061	77862	Undirected	1.0
43651	5798	Undirected	4.0
43651	62129	Undirected	2.0
5798	62129	Undirected	1.0
10327	41412	Undirected	2.0
39394	57587	Undirected	2.0
37633	71035	Undirected	1.0
10488	10585	Undirected	1.0
10585	56385	Undirected	1.0
96678	3251	Undirected	1.0
70796	3251	Undirected	1.0
3251	23868	Undirected	1.0
44216	15080	Undirected	1.0
117229	15080	Undirected	1.0
15080	27780	Undirected	7.0
69656	44687	Undirected	2.0
32023	9383	Undirected	1.0
34596	61608	Undirected	1.0
21429	46033	Undirected	1.0
3672	3999	Undirected	1.0
6321	49125	Undirected	2.0
34745	14115	Undirected	1.0
14115	23127	Undirected	2.0
6148	23989	Undirected	1.0
29126	4568	Undirected	2.0
183	732	Undirected	2.0
21233	42809	Undirected	3.0
9479	13790	Undirected	1.0
13790	9479	Undirected	1.0
16440	16398	Undirected	1.0
14354	13756	Undirected	1.0
13756	25194	Undirected	2.0
13885	4575	Undirected	1.0
42474	42271	Undirected	1.0
42271	43422	Undirected	1.0
42432	1108	Undirected	3.0
48775	51949	Undirected	1.0
21378	21399	Undirected	3.0
21399	3113	Undirected	1.0
15236	8138	Undirected	1.0
15236	6646	Undirected	2.0
8138	6646	Undirected	1.0
22235	60726	Undirected	1.0
60726	9310	Undirected	1.0
36435	68066	Undirected	1.0
34631	10554	Undirected	1.0
10554	22187	Undirected	1.0
4417	10455	Undirected	1.0
13437	33374	Undirected	1.0
25191	48653	Undirected	1.0
25191	39935	Undirected	1.0
25191	63562	Undirected	1.0
25191	63564	Undirected	1.0
48653	39935	Undirected	1.0
48653	63562	Undirected	1.0
48653	63564	Undirected	1.0
51120	63552	Undirected	1.0
51120	63563	Undirected	1.0
39935	63552	Undirected	1.0
39935	63563	Undirected	1.0
