Id	Label	Num	Val
17191	williams, professor e	6	692551
37350	james, mr s	1	141117
12136	partridge, professor d	5	819786
5440	foster, mr m	2	366436
11844	oliver, mr t	6	748287
28447	ziolkowski, professor a	2	198874
6736	hannah, dr jm	1	168295
42143	mills, mr j	1	120600
68579	edwards, professor j	2	148946
4629	earnshaw, professor e	7	858861
65711	reay, professor d	3	374405
51845	zervas, professor m	5	2763365
16225	van isacker, dr p	2	922640
9891	macgregor, professor sj	6	709168
25572	ward, professor im	23	3097074
13406	roberts, dr js	5	757252
37339	rust, professor c	1	94925
1029	batchelor, professor r	1	28032
65512	edwards, professor d	1	167973
17241	wills, professor m	8	660107
13626	ross, dr j	2	274542
29580	pearce, mr d	1	219337
8088	islam, professor ms	5	222390
46001	birkin, dr pr	1	102687
21333	lawrence, professor n	3	252919
16956	whiteman, dr j	1	137645
54515	abell, professor js	21	11008511
98	affrossman, dr s	5	353685
28303	dunne, dr pe	1	134777
13962	savory, dr e	1	52056
7183	hepburn, dr a	5	292382
12985	randell, professor b	1	5888
34229	bright, mr j	1	123660
16257	vaughan, professor nd	6	2281129
31961	pulham, professor c	4	1505763
7370	hines, dr e	3	393821
14393	siddiqui, dr s	5	893706
44632	french, dr m	2	420786
31907	spink, dr a	1	126658
16535	ward, professor ni	2	157512
16306	vincent, professor c	4	524235
44213	collins, professor m	1	176652
14536	skipper, mr m	1	76589
83558	hoare, professor sir c	12	795338
27890	see, dr c	9	1190725
14252	shaw, professor b	4	411217
44682	voice, dr a	1	73903
64390	rushton, mr s	2	437328
7833	hughes, mr w	1	60883
27992	kirby, dr g	2	385645
71634	croudace, professor i	1	52054
35587	han, dr t	1	195525
48605	farnan, dr i	1	1221420
40596	pistikopoulos, professor e	2	248706
17155	williams, dr p	1	59813
9177	lappert, professor mf	7	782920
2092	brown, professor c	1	391061
22220	van santen, mr p	1	97633
3735	d'inverno, professor r	1	66220
13881	sanderson, dr m	1	228383
4413	downing, dr o	2	211522
8517	jones, professor h	10	2108803
88227	campbell, dr i	6	190606
26893	stack, professor m	2	175694
32084	hill, dr k	1	23485
372	andrews, professor ge	10	1554541
10190	marshall, mr c	1	93010
2106	brown, professor p	10	466260
3274	cook, professor mj	7	663696
32387	kara, dr m	2	223386
59145	roy, professor r	1	184515
48397	macintosh, professor a	1	135923
10578	mckeag, dr d	2	218138
837	banks, professor s	4	536845
26863	carroll, mr d	2	249318
37352	mccarthy, professor i	7	374206
34249	mcclelland, mr d	1	115257
8239	jefferson, dr c	3	191023
69197	roper, dr m	1	51112
13742	russell, professor a	7	332836
27115	byatt-smith, dr j	2	118150
33827	inder, dr r	1	604834
13387	roberts, dr a	1	42309
13688	rowley, dr d	1	92262
1856	brandon, professor p	11	1682887
9183	larkin, dr m	4	726609
4572	durose, professor k	3	162916
55392	stockenhuber, dr m	2	98106
54036	larsen, mr n	1	42359
117229	stuetz, professor r	3	501710
84896	soper, professor a	1	50785
12188	paul, professor m	8	429045
11472	needham, professor r	2	270284
35946	robb, dr da	1	112952
34701	davis, mr tj	1	9645
22133	hill, dr r	1	51081
28643	orange, mr g	2	161282
58883	howes, mrs j f	1	87851
6102	goodwin, dr j	1	124361
24530	white, professor r	1	142437
43925	ball, mr r	8	1220039
491	asenov, professor ama	8	7939329
58355	morris, dr dt	1	65067
53411	grant, professor mh	1	120002
11915	ottewill, professor r	5	359538
34674	phylaktou, dr hn	1	118679
15360	swain, professor s	6	384058
36935	laurenson, dr d	3	371480
30813	christofides, professor n	1	104020
-1481	efstathiou, professor p	1	77709
15213	storey, professor pj	4	1679419
37975	christou, dr v	1	99215
66105	breese, dr m	2	968241
30483	backhouse, professor c	10	1994758
37796	lowe, professor m j s	7	1275879
3126	coggins, professor j r	2	207204
53466	barrar, professor p	4	414399
49750	neely, professor d	1	298685
58565	briarty, dr l	1	143956
10005	main, dr p	1	259000
4861	ellwood, professor d	1	41873
16960	whitfield, professor a	2	175706
803	ballance, dr d	3	401604
