Id	Label	Num	Val
10640	mcmahon, professor c	13	2070388
1121	beckett, dr p	1	183313
48599	keane, dr m	3	332791
4181	dickens, mr j	1	60947
41872	wann, professor jp	4	776471
44737	oldham, dr m	1	145764
60892	dutton, dr ag	3	160333
32175	glass, dr g	3	358670
16460	waller, mr m	1	219771
12283	pelter, professor a	4	713261
398	appa, dr gm	1	33301
16715	webb, dr p	1	230458
37161	karwatzki, dr j	1	60041
45178	kinniment, professor d	8	4837861
14063	scott, professor rh	9	411577
3013	clary, professor d	13	1420611
13428	roberts, mr pa	1	102138
-45486	bate, professor ps	1	524098
27514	langley, mr s	1	54043
11216	morrow, professor pj	1	92014
28736	kenny, dr b	1	56424
14600	smith, dr a	4	515327
480	arthur, professor f	1	126179
48716	sadri, dr f	1	203442
39831	chen, dr y	2	134104
41924	byrne, dr jv	1	184041
9121	lambert, professor c	11	917833
1323	betts, mr a	1	73806
15798	thornton, dr s	1	89450
50765	tabakov, dr s	1	123706
1399	binnie, professor dm	1	74793
42822	morris, professor re	8	611891
4190	dickinson, dr d	1	14170
12153	paterson, professor i	9	28736323
17345	winlove, professor cp	1	226445
10538	mcgrath, professor r	4	11840870
143	aitchison, professor c	5	443565
2550	capper, mr g	1	55729
26077	weston, dr w	4	340818
15054	steiner, dr e	2	243745
29785	gilbert, professor d	1	40202
7436	hodby, dr j	4	1292337
31616	mayhew, dr ca	1	148202
27529	tomes, dr a	1	117723
1192	bell, mr r	3	170288
12979	rand, professor b	14	1694918
16737	webster, professor mf	7	948101
29579	jones, mr m	2	283833
11315	mullineux, professor g	10	1374772
21427	james, dr r	3	126057
15138	stewart, dr w	2	188600
426	arcoumanis, professor c	15	1645637
-89644	lee, professor j	6	469812
15660	thomas, dr a	1	128941
32627	kelsall, professor rw	4	741820
12533	platts, dr kw	5	2229350
14671	smith, professor p	7	577749
27734	johnson, dr c	2	308394
26744	macnish, mr c	2	246526
5107	farrugia, dr l j	3	341727
38262	shield, professor bm	4	387323
-250362	collier, professor c	1	258449
7823	hughes, professor t	5	611675
14887	spence, professor a	8	718413
2278	burgess, professor iw	7	739538
39935	alm, dr n	1	251765
251	allen, professor h	3	270995
49339	davis, professor c	3	287500
36392	atlar, professor m	3	205363
5293	flanagan, professor r	5	472852
11019	moir, dr t	2	208681
12864	puttick, professor k	1	25265
6966	hausermann, dr d	2	33900
12287	pemble, professor m	9	721547
86279	craine, mr jf	1	67787
5818	gerratt, dr j	4	149007
13556	rogers, professor lcg	7	297837
16776	welch, professor p	1	141652
93796	siebert, dr j	5	821760
21364	hagon, dr p	1	110029
12426	phillips, professor tn	4	296375
7077	hearn, professor ge	9	876968
49267	lee, professor pd	8	1268963
29780	ruddock, professor l	1	51997
67509	nilsson, professor lja	1	107860
5954	girgis, professor n	3	321449
3401	coulouris, professor g	4	387562
42727	leary, professor ij	3	59578
67997	malcolm, dr g	1	51657
48363	nazarenko, professor s	1	6000
8177	james, professor j	2	266953
34857	logemann, professor h	1	112342
21304	briddon, dr p	2	114174
5702	gani, professor d	11	665534
29576	hunter, mr j	1	129274
36834	hardalupas, professor i	4	257800
7713	howard, professor jak	16	2393452
6086	goodman, dr cj	2	474165
7793	hudson, dr mj	1	48254
28149	cox, professor s	2	209960
51385	mcgoldrick, professor pj	1	136094
13368	ritchie, professor jm	1	281285
89039	williams, dr s	2	188507
35172	mackenzie, dr r	3	233098
36613	ress, professor p	2	69372
6701	hancock, professor e	7	908615
7234	heydecker, professor b	15	1660204
13200	rezazadeh, professor aa	6	426236
28247	hancock, mr m	1	183885
2395	butler, dr m	2	124367
14021	schofield, professor a	1	101098
7839	hughes, professor d	2	98470
74831	kohl, dr p	1	51943
16327	vogwell, dr j	1	60777
53128	heard, dr pj	1	238230
15737	thompson, professor ij	8	4353476
70469	noroozi, professor s	1	70846
11379	murray, mr g	2	482483
17384	witting, professor p	2	112899
41230	zhang, professor t	3	259270
11518	newell, dr j	1	93943
15713	thomas, professor ej	13	1414447
14735	smith, professor j	1	127772
4600	dyer, professor p	9	659902
8224	jeans, mr t	1	140053
17179	williams, mr k	1	25000
37783	harris, dr j	5	12901291
10394	mcbride, professor j	5	748332
9244	lawrenson, mr b	4	604164
56536	istepanian, dr r	2	51857
10320	maunder, dr e	1	100532
117	ahmad, dr sr	2	113987
54603	russell, dr p	2	69479
16338	vukusic, dr j	1	114633
32354	cooke, professor pn	3	675861
7164	henini, professor m	11	6009016
6534	gwilliam, professor r	3	277835
36585	steenman-clark, dr l	1	76634
2727	chambers, professor b	2	275884
41903	ruban, professor a	3	246830
50451	tiddy, professor gjt	10	1085220
15553	taylor, professor rn	6	911905
4842	ellis, mr c	2	1030754
36735	mckeowan, dr d	1	138018
1447	bissell, professor pr	4	226837
63398	chapman, dr d	1	254158
38107	tobyn, dr m	2	362794
2726	chambers, dr a	6	597933
44632	french, dr m	2	420786
16030	truman, professor a	6	235115
1113	beck, dr mb	3	100140
24038	atkinson, professor r	11	997425
5570	french, professor p	6	1285301
11606	nicole, dr da	4	854534
39090	cleaver, dr j	3	274203
11000	mitra, professor g	3	385569
15232	strang, dr r	2	144642
3758	daltaban, dr t	2	305717
39693	prica, dr m	1	5123
29058	bartlett, professor pn	9	889703
8452	jones, dr g	2	125602
16932	white, professor i	36	4409051
10307	matthews, professor f	9	1373998
-417231	mackay, dr r	1	126125
2333	burstein, professor gt	2	261899
11321	mulvey, professor r	3	276537
2357	bushby, professor rj	10	1119053
10656	mcnally, mr g	4	350552
64980	yusuf, professor y	1	47971
68854	stergioulas, dr l	1	54877
15816	threadgill, professor md	1	3000
47139	gilbert, professor m	3	290955
44356	lawson, dr s	2	242441
21809	britton, mrs c	2	82917
35290	glockling, dr j	2	164204
5869	gibson, professor a	16	3457470
16597	waterfall, dr r	8	971315
11421	nalluri, dr c	4	464809
15517	taylor, professor amp	2	275676
94351	mcclatchey, professor r	2	218746
4575	durrani, professor t	13	1256596
42394	hobson, professor d	1	81820
15616	templeman, professor a	1	140310
32809	mcowan, professor pw	2	106053
21713	clement, professor r	1	32657
5156	fenton, professor n	8	1154479
4335	donovan, dr k	2	208205
53392	christensen, professor k	1	227612
2780	chapman, professor aj	2	160605
3027	cleaver, dr j	3	484743
50087	slater, mr f	1	143927
24878	moss, professor i	1	86710
10830	migliorato, professor p	2	293382
69598	elliott, professor c	1	52245
42157	targett, professor d	4	224591
1534	blood, professor p	17	1549282
48335	hughes, professor ad	1	14689
26320	isaacs, professor n	1	176961
-89760	medyckyj-scott, dr d	1	72167
69827	clarke, professor pj	2	114722
69224	lawson, dr s	1	336353
