> Researchers in each community

> Community 1 (41)

- mckendrick, professor kg
- ashley, professor rm
- kapelan, professor z
- heathwaite, professor al
- mcdonald, professor a
- horoshenkov, professor kv
- priest, dr f
- butler, professor d
- tait, professor s
- whitehead, professor p
- glendinning, professor s
- waters, professor h
- boxall, professor j
- jeffrey, professor p
- costen, dr ml
- quinn, dr p
- packman, mr j
- christie, professor r
- saul, professor aj
- savic, professor d
- wheater, professor hs
- wherrett, professor b
- kay, professor d
- lerner, professor dn
- crouch, professor r
- thorne, professor cr
- beven, professor k
- greenaway, professor ah
- thornton, dr sf
- cluckie, professor i
- graham, professor njd
- clarke, professor bg
- michael, ms h
- parkin, dr g
- khu, professor s
- walters, professor ga
- sharp, dr e
- banwart, professor s
- banfill, professor pf
- wilson, dr r
- pender, professor g

> Community 2 (46)

- bialek, professor jw
- jenkins, professor n
- pal, professor b
- sayle, dr dc
- galindo, dr a
- islam, professor ms
- williams, professor b w
- skinner, professor sj
- dunn, dr rw
- bauen, dr aw
- milanovic, professor jv
- ault, dr g
- infield, professor d
- anderson, professor d
- atkinson, professor a
- hammond, professor gp
- brandon, professor np
- leithead, professor we
- finney, professor sj
- mcarthur, professor s
- bell, professor krw
- bruce, professor p
- jackson, professor g
- slater, professor p
- astolfi, professor a
- burt, professor gm
- galloway, dr s
- hart, professor d
- wang, professor h
- mcdonald, professor sir j
- kucernak, professor a
- limebeer, professor d
- shah, professor n
- adjiman, professor cs
- strbac, professor g
- aggarwal, professor rk
- lovell, mr kv
- leach, professor m
- kirschen, professor d
- parker, professor sc
- kilner, professor ja
- pantelides, professor cc
- green, professor t
- fletcher, professor je
- lewis, dr dw
- vinter, professor rb

> Community 3 (49)

- pemble, professor m
- carmalt, professor c
- burrows, professor a
- field, professor r
- bull, dr sd
- cronin, professor l
- haslam, dr sm
- whitby, professor rj
- feizi, professor t
- carmalt, dr c
- burke, professor ek
- landa-silva, dr jd
- garibaldi, professor jm
- frost, professor cg
- willis, professor m
- hirst, professor jd
- kendall, professor g
- raithby, professor pr
- mahon, dr mf
- russell, professor d
- tsang, professor s
- hall, professor pj
- briggs, professor gad
- williams, professor jm
- fairbanks, professor aj
- crocker, professor pr
- whittlesey, professor m
- rayner, professor cm
- robertson, dr n
- weller, professor a
- parkin, professor ip
- krasnogor, professor n
- schroeder, professor slm
- kohn, dr r
- dell, professor a
- alexander, professor c
- flitsch, professor s
- turnbull, professor je
- petrovic, professor s
- whitaker, professor jbc
- khlobystov, professor a
- ardavan, professor a
- davis, professor b
- davidson, professor mg
- benjamin, professor sc
- molloy, professor kc
- hutchins, professor m
- cowling, professor pi
- sheel, professor d

> Community 4 (42)

- ma, professor l
- wisnom, professor m
- hogg, dr aj
- pierce, professor sg
- macneil, dr k
- thompson, dr d
- williams, professor p
- leen, professor s
- barry, miss l
- alcock, dr j
- hayward, professor g
- jones, professor jm
- frapwell, mrs h
- thomson, professor r
- oakey, professor j
- gachagan, professor a
- dupont, dr v
- hallett, professor sr
- pavier, professor mj
- truman, professor ce
- wilcox, professor pd
- hyde, professor th
- lopez bernal, professor a
- bull, professor d
- bond, professor ip
- pourkashanian, professor m
- dixon, professor sm
- michaelides, dr k
- williams, professor a
- weaver, professor pm
- thorpe, ms a
- billson, dr dr
- hall, professor l
- stuart, ms g
- redmill, dr d
- potter, professor k
- hutchins, professor d
- smith, professor d
- fitzwalter, ms j
- drinkwater, professor b
- allen, professor gc
- canagarajah, professor n

> Community 5 (72)

- jennings, professor nr
- stevens, professor rd
- premier, professor gc
- scotchford, dr ca
- becker, professor a
- jayasinghe, dr s
- shakesheff, professor k
- cates, professor m
- gurd, professor jr
- grant, professor dm
- fernandes, dr aaa
- marenduzzo, dr d
- ratchev, professor sm
- george, professor m
- lester, professor e
- frey, professor jg
- brass, professor a
- pickering, professor sj
- wheeler, professor p
- williams, dr aj
- foord, professor j
- rogers, professor y
- coveney, professor pv
- clare, professor j
- guo, professor zx
- harris, professor ir
- moreau, professor l
- jones, professor mo
- hall, professor dame w
- blake, dr r
- mccartney, professor dg
- sutton, professor ap
- walker, professor gs
- horrocks, professor i
- sumner, professor m
- jackman, professor rb
- schraefel, professor m
- carr, professor l
- buchan, professor ie
- benford, professor s
- skipper, professor n
- de roure, professor d
- howdle, professor s
- rudd, professor cd
- sattler, professor u
- edirisinghe, professor m
- shipway, professor ph
- saffari, professor n
- kalawsky, professor rs
- poliakoff, professor m
- shadbolt, professor n
- hursthouse, professor m
- warrior, professor na
- greenhalgh, professor c
- luck, professor m
- asher, professor g
- long, professor a
- paton, professor nw
- gindy, professor n
- rodden, professor t
- pickles, dr sm
- essex, professor jw
- ellerby, dr m
- evans, professor jrg
- jones, dr ia
- stride, professor e
- brooks, dr r
- goble, professor c
- clifford, dr mj
- pettifer, dr s
- edwards, professor p
- brooke, dr j
