> Researchers in each community

> Community 1 (46)

- bryant, dr p
- miguel, professor ij
- gunn-moore, professor fj
- sibbett, professor w
- frank, dr t
- ruxton, mrs h
- goodman, mrs m
- alexander, mrs la
- coleman, professor a
- samuel, professor i
- sorel, professor m
- arnold, professor j
- padgett, professor m
- cuschieri, professor sir a
- clarke, dr ml
- reid, professor d
- vezza, dr m
- olsen, dr l
- whitelaw, mr a
- gent, professor ip
- jentzsch, dr i
- franke-arnold, dr s
- vassalos, professor d
- riches, professor ac
- miller, professor a
- mcneil, mr i
- dholakia, professor k
- hutchings, professor dc
- iordanova, professor d
- ruskuc, professor n
- wheeler, professor s
- de la rue, emeritus professor r
- ballance, dr d
- hammond, professor k
- galbraith, professor i
- townson, dr jr
- smith, dr b
- brown, dr cta
- krauss, professor t
- linton, professor s
- barnett, professor s
- clark, professor pj
- courtial, dr jk
- green, ms f
- ironside, professor cn
- campbell, dr pa

> Community 2 (41)

- ma, professor l
- wisnom, professor m
- simms, dr nj
- hogg, dr aj
- pierce, professor sg
- macneil, dr k
- thompson, dr d
- williams, professor p
- barry, miss l
- alcock, dr j
- hayward, professor g
- jones, professor jm
- frapwell, mrs h
- thomson, professor r
- oakey, professor j
- gachagan, professor a
- dupont, dr v
- hallett, professor sr
- pavier, professor mj
- truman, professor ce
- wilcox, professor pd
- lopez bernal, professor a
- bull, professor d
- bond, professor ip
- pourkashanian, professor m
- dixon, professor sm
- michaelides, dr k
- williams, professor a
- weaver, professor pm
- thorpe, ms a
- billson, dr dr
- hall, professor l
- stuart, ms g
- redmill, dr d
- potter, professor k
- hutchins, professor d
- smith, professor d
- fitzwalter, ms j
- drinkwater, professor b
- allen, professor gc
- canagarajah, professor n

> Community 3 (41)

- mckendrick, professor kg
- ashley, professor rm
- kapelan, professor z
- heathwaite, professor al
- mcdonald, professor a
- horoshenkov, professor kv
- priest, dr f
- butler, professor d
- tait, professor s
- whitehead, professor p
- glendinning, professor s
- waters, professor h
- boxall, professor j
- jeffrey, professor p
- costen, dr ml
- quinn, dr p
- packman, mr j
- christie, professor r
- saul, professor aj
- savic, professor d
- wheater, professor hs
- wherrett, professor b
- kay, professor d
- lerner, professor dn
- crouch, professor r
- thorne, professor cr
- beven, professor k
- greenaway, professor ah
- thornton, dr sf
- cluckie, professor i
- graham, professor njd
- clarke, professor bg
- michael, ms h
- parkin, dr g
- khu, professor s
- walters, professor ga
- sharp, dr e
- banwart, professor s
- banfill, professor pf
- wilson, dr r
- pender, professor g

> Community 4 (57)

- pemble, professor m
- carmalt, professor c
- burrows, professor a
- field, professor r
- bull, dr sd
- cronin, professor l
- sayle, dr dc
- haslam, dr sm
- islam, professor ms
- plucinski, dr p
- whitby, professor rj
- feizi, professor t
- carmalt, dr c
- burke, professor ek
- landa-silva, dr jd
- garibaldi, professor jm
- frost, professor cg
- willis, professor m
- hirst, professor jd
- kendall, professor g
- raithby, professor pr
- mahon, dr mf
- russell, professor d
- tsang, professor s
- hall, professor pj
- briggs, professor gad
- bruce, professor p
- williams, professor jm
- slater, professor p
- fairbanks, professor aj
- crocker, professor pr
- whittlesey, professor m
- rayner, professor cm
- robertson, dr n
- weller, professor a
- parkin, professor ip
- krasnogor, professor n
- schroeder, professor slm
- kohn, dr r
- lapkin, professor a
- dell, professor a
- alexander, professor c
- flitsch, professor s
- turnbull, professor je
- petrovic, professor s
- whitaker, professor jbc
- khlobystov, professor a
- parker, professor sc
- ardavan, professor a
- davis, professor b
- davidson, professor mg
- benjamin, professor sc
- molloy, professor kc
- lewis, dr dw
- hutchins, professor m
- cowling, professor pi
- sheel, professor d

> Community 5 (41)

- premier, professor gc
- scotchford, dr ca
- becker, professor a
- jayasinghe, dr s
- shakesheff, professor k
- grant, professor dm
- ratchev, professor sm
- george, professor m
- leen, professor s
- lester, professor e
- pickering, professor sj
- wheeler, professor p
- williams, dr aj
- foord, professor j
- clare, professor j
- guo, professor zx
- harris, professor ir
- jones, professor mo
- mccartney, professor dg
- walker, professor gs
- sumner, professor m
- jackman, professor rb
- skipper, professor n
- hyde, professor th
- howdle, professor s
- rudd, professor cd
- edirisinghe, professor m
- shipway, professor ph
- saffari, professor n
- poliakoff, professor m
- warrior, professor na
- asher, professor g
- long, professor a
- gindy, professor n
- ellerby, dr m
- evans, professor jrg
- jones, dr ia
- stride, professor e
- brooks, dr r
- clifford, dr mj
- edwards, professor p
