Source	Target	Type	Weight	Val
103930	8120	Undirected	1.0	28355
8120	119222	Undirected	1.0	28355
118918	88913	Undirected	1.0	18112
118918	82256	Undirected	1.0	18112
118918	7247	Undirected	1.0	18112
118918	643	Undirected	1.0	18112
88913	82256	Undirected	1.0	18112
88913	7247	Undirected	1.0	18112
88913	643	Undirected	1.0	18112
36776	34646	Undirected	1.0	18112
36776	27986	Undirected	1.0	18112
82256	34646	Undirected	1.0	18112
82256	27986	Undirected	1.0	18112
34646	7247	Undirected	1.0	18112
34646	643	Undirected	1.0	18112
7247	643	Undirected	1.0	18112
-144863	-163086	Undirected	1.0	55176
51807	1598	Undirected	2.0	2066724
51807	50460	Undirected	1.0	1861156
51807	54484	Undirected	2.0	2296433
66808	51595	Undirected	1.0	1861156
66808	37692	Undirected	1.0	1861156
1598	51595	Undirected	2.0	2296433
1598	37692	Undirected	2.0	2296433
51595	50460	Undirected	1.0	1861156
51595	54484	Undirected	2.0	2296433
50460	54484	Undirected	1.0	1861156
58669	15868	Undirected	2.0	4587840
58669	40973	Undirected	2.0	7414303
58669	109447	Undirected	2.0	4587840
58669	38108	Undirected	3.0	10501002
15868	16532	Undirected	2.0	4587840
15868	4558	Undirected	1.0	1501141
15868	26575	Undirected	1.0	1501141
15868	31050	Undirected	3.0	4947982
16532	4558	Undirected	1.0	1501141
16532	26575	Undirected	1.0	1501141
16532	31050	Undirected	2.0	4587840
40973	109447	Undirected	1.0	1501141
40973	38108	Undirected	2.0	7414303
4558	109447	Undirected	1.0	1501141
4558	38108	Undirected	1.0	1501141
109447	26575	Undirected	1.0	1501141
109447	31050	Undirected	2.0	4587840
26575	31050	Undirected	1.0	1501141
11484	69861	Undirected	3.0	12446414
11484	30396	Undirected	1.0	6936103
11484	49479	Undirected	1.0	6936103
11484	23871	Undirected	1.0	6936103
69861	30395	Undirected	1.0	6936103
69861	45	Undirected	2.0	10715698
69861	13968	Undirected	1.0	6936103
69861	31961	Undirected	1.0	6936103
30395	45	Undirected	1.0	6936103
30395	13968	Undirected	1.0	6936103
30395	31961	Undirected	1.0	6936103
30396	49479	Undirected	1.0	6936103
30396	23871	Undirected	1.0	6936103
45	49479	Undirected	1.0	6936103
45	23871	Undirected	1.0	6936103
49479	13968	Undirected	2.0	7111984
49479	31961	Undirected	2.0	7111984
13968	31961	Undirected	1.0	6936103
1176	70390	Undirected	1.0	4045790
1176	29799	Undirected	1.0	4045790
1176	2973	Undirected	1.0	4045790
1176	372	Undirected	5.0	6317901
1176	37763	Undirected	3.0	4916358
70390	29799	Undirected	1.0	4045790
70390	2973	Undirected	1.0	4045790
70390	372	Undirected	1.0	4045790
70390	37763	Undirected	1.0	4045790
10342	50628	Undirected	1.0	4045790
10342	16631	Undirected	1.0	4045790
10342	35263	Undirected	1.0	4045790
29799	50628	Undirected	1.0	4045790
29799	16631	Undirected	1.0	4045790
29799	35263	Undirected	1.0	4045790
50628	2973	Undirected	1.0	4045790
50628	372	Undirected	1.0	4045790
50628	37763	Undirected	1.0	4045790
2973	372	Undirected	1.0	4045790
2973	37763	Undirected	1.0	4045790
16631	35263	Undirected	1.0	4045790
372	35263	Undirected	1.0	4045790
35263	37763	Undirected	1.0	4045790
8936	12378	Undirected	1.0	2056360
17146	49125	Undirected	2.0	333174
17146	37263	Undirected	1.0	75000
17146	48452	Undirected	2.0	333174
17146	11031	Undirected	2.0	333174
17146	71061	Undirected	4.0	1211668
49125	50725	Undirected	3.0	448799
49125	1949	Undirected	2.0	190625
49125	42725	Undirected	2.0	333174
49125	17139	Undirected	1.0	75000
49125	55264	Undirected	3.0	448799
50725	1949	Undirected	2.0	190625
50725	42725	Undirected	3.0	807881
50725	17139	Undirected	1.0	75000
50725	55264	Undirected	5.0	1327293
37263	48452	Undirected	3.0	710634
37263	11031	Undirected	1.0	75000
37263	71061	Undirected	2.0	167032
1949	48452	Undirected	2.0	190625
1949	11031	Undirected	2.0	190625
1949	71061	Undirected	1.0	75000
48452	42725	Undirected	3.0	807881
48452	17139	Undirected	1.0	75000
48452	55264	Undirected	6.0	1258611
42725	17139	Undirected	1.0	75000
42725	55264	Undirected	4.0	923506
11031	71061	Undirected	3.0	807881
17139	71061	Undirected	1.0	75000
71061	55264	Undirected	2.0	158702
15576	-23699	Undirected	1.0	81815
10667	70786	Undirected	1.0	26691
70786	70787	Undirected	1.0	26691
44221	61581	Undirected	1.0	149377
44221	46116	Undirected	1.0	149377
44221	6857	Undirected	1.0	149377
61574	61581	Undirected	1.0	149377
61574	46116	Undirected	1.0	149377
61574	6857	Undirected	2.0	5271967
61581	7963	Undirected	1.0	149377
61581	46040	Undirected	1.0	149377
61581	7713	Undirected	1.0	149377
7963	46040	Undirected	1.0	149377
7963	7713	Undirected	1.0	149377
46116	6857	Undirected	1.0	149377
46040	6857	Undirected	1.0	149377
6857	7713	Undirected	1.0	149377
16264	22102	Undirected	1.0	13000
4405	11308	Undirected	1.0	68841
4405	36819	Undirected	1.0	68841
11308	36819	Undirected	1.0	68841
42975	32006	Undirected	1.0	50000
42975	17379	Undirected	2.0	462027
32006	4136	Undirected	1.0	50000
32006	17722	Undirected	1.0	50000
4136	17722	Undirected	2.0	487689
21314	12600	Undirected	1.0	39950
1080	57066	Undirected	1.0	149035
12573	9043	Undirected	1.0	104470
12573	8428	Undirected	1.0	104470
12573	42401	Undirected	2.0	491346
9043	71098	Undirected	1.0	104470
9043	7204	Undirected	1.0	104470
9043	37709	Undirected	1.0	104470
71098	7204	Undirected	1.0	104470
71098	37709	Undirected	1.0	104470
8428	42401	Undirected	1.0	104470
7204	42401	Undirected	1.0	104470
42401	37709	Undirected	1.0	104470
42474	43422	Undirected	2.0	224736
69656	15074	Undirected	1.0	82285
15074	44687	Undirected	2.0	141279
8273	48442	Undirected	1.0	149652
8693	48442	Undirected	1.0	149652
48442	25203	Undirected	1.0	149652
11291	9000	Undirected	1.0	124065
11291	10049	Undirected	1.0	124065
11291	5107	Undirected	1.0	124065
14898	11321	Undirected	1.0	124065
14898	37690	Undirected	1.0	124065
9000	11321	Undirected	1.0	124065
9000	37690	Undirected	1.0	124065
11321	10049	Undirected	1.0	124065
11321	5107	Undirected	1.0	124065
10049	5107	Undirected	1.0	124065
2126	89284	Undirected	2.0	712598
89284	45655	Undirected	1.0	48851
33271	34745	Undirected	1.0	142297
42725	70095	Undirected	1.0	115625
42725	49125	Undirected	1.0	115625
42725	1949	Undirected	1.0	115625
42725	11031	Undirected	5.0	1065519
70095	12642	Undirected	1.0	115625
70095	50725	Undirected	1.0	115625
70095	48452	Undirected	1.0	115625
70095	17146	Undirected	1.0	115625
70095	55264	Undirected	1.0	115625
12642	50725	Undirected	1.0	115625
12642	48452	Undirected	1.0	115625
12642	17146	Undirected	1.0	115625
12642	55264	Undirected	1.0	115625
49125	11031	Undirected	3.0	448799
50725	48452	Undirected	4.0	852586
50725	1484	Undirected	1.0	115625
1949	1484	Undirected	1.0	115625
48452	11031	Undirected	4.0	923506
11031	17146	Undirected	2.0	590332
11031	55264	Undirected	4.0	923506
1484	55264	Undirected	1.0	115625
7389	13526	Undirected	1.0	144525
93270	13526	Undirected	2.0	221055
13526	4088	Undirected	1.0	144525
32116	15990	Undirected	1.0	955589
32116	16172	Undirected	1.0	955589
32116	22008	Undirected	1.0	955589
32116	73370	Undirected	1.0	955589
16248	15990	Undirected	1.0	955589
16248	16172	Undirected	1.0	955589
16248	22008	Undirected	1.0	955589
16248	73370	Undirected	1.0	955589
15990	5922	Undirected	1.0	955589
15990	37633	Undirected	1.0	955589
15990	43858	Undirected	1.0	955589
15990	74097	Undirected	1.0	955589
5922	37633	Undirected	1.0	955589
5922	43858	Undirected	1.0	955589
5922	74097	Undirected	1.0	955589
16172	22008	Undirected	1.0	955589
16172	73370	Undirected	1.0	955589
37633	22008	Undirected	1.0	955589
37633	73370	Undirected	1.0	955589
22008	43858	Undirected	1.0	955589
22008	74097	Undirected	1.0	955589
43858	74097	Undirected	1.0	955589
59145	69316	Undirected	1.0	318505
69316	40975	Undirected	1.0	318505
77463	39316	Undirected	1.0	201183
6811	1396	Undirected	1.0	391833
76828	2419	Undirected	1.0	961096
76174	52545	Undirected	2.0	574072
52545	77943	Undirected	1.0	534923
42440	16290	Undirected	1.0	416675
16290	783	Undirected	1.0	416675
39732	2545	Undirected	8.0	981411
2545	44683	Undirected	10.0	1405053
39732	44683	Undirected	12.0	1531557
45547	85810	Undirected	1.0	83009
39404	6406	Undirected	1.0	77635
76588	76672	Undirected	1.0	508586
110493	-16231	Undirected	2.0	717579
7702	-196766	Undirected	1.0	183560
-196766	2715	Undirected	1.0	183560
7713	58252	Undirected	6.0	2052731
61357	53153	Undirected	1.0	61997
55311	91639	Undirected	1.0	4450
91639	81429	Undirected	1.0	4450
54748	110077	Undirected	1.0	5740
30005	34895	Undirected	2.0	739809
30005	4941	Undirected	1.0	86363
40395	34895	Undirected	1.0	86363
40395	4941	Undirected	1.0	86363
34895	59852	Undirected	1.0	86363
34895	51307	Undirected	1.0	86363
59852	51307	Undirected	1.0	86363
91615	72084	Undirected	1.0	2950714
91615	29233	Undirected	1.0	2950714
72084	14808	Undirected	2.0	3021128
72084	13851	Undirected	1.0	2950714
14808	13851	Undirected	1.0	2950714
55294	11612	Undirected	1.0	44438
34552	56833	Undirected	1.0	77350
74687	3850	Undirected	1.0	63109
87721	4170	Undirected	4.0	827051
87721	105169	Undirected	3.0	333806
44531	18869	Undirected	2.0	446905
4170	18869	Undirected	2.0	446905
18869	105169	Undirected	2.0	280382
87721	18869	Undirected	3.0	880129
-3391	-37778	Undirected	1.0	125436
82611	445	Undirected	3.0	385879
77540	21323	Undirected	1.0	60077
3896	14993	Undirected	1.0	347526
3896	4477	Undirected	1.0	347526
14993	4477	Undirected	1.0	347526
68959	76291	Undirected	2.0	640505
76291	-415492	Undirected	2.0	640505
16440	13368	Undirected	1.0	96432
7918	80335	Undirected	2.0	446954
7918	3414	Undirected	3.0	1330942
80335	101021	Undirected	1.0	425305
80335	126212	Undirected	1.0	425305
101021	126212	Undirected	1.0	425305
77266	56688	Undirected	1.0	170951
57250	15715	Undirected	1.0	176798
57250	70017	Undirected	1.0	176798
15715	70017	Undirected	1.0	176798
83912	9723	Undirected	1.0	421050
83912	10032	Undirected	1.0	421050
9723	10032	Undirected	1.0	421050
44531	76625	Undirected	1.0	4166515
44531	5948	Undirected	1.0	4166515
44531	225	Undirected	1.0	4166515
76625	3262	Undirected	1.0	4166515
76625	30486	Undirected	1.0	4166515
76625	11780	Undirected	1.0	4166515
3262	30486	Undirected	3.0	18954317
3262	11780	Undirected	1.0	4166515
5948	225	Undirected	1.0	4166515
30486	225	Undirected	1.0	4166515
225	11780	Undirected	1.0	4166515
4770	83265	Undirected	1.0	282811
51630	83265	Undirected	1.0	282811
83265	83179	Undirected	1.0	282811
45429	-81214	Undirected	1.0	13314
17146	85160	Undirected	1.0	258174
17146	42725	Undirected	2.0	333174
17146	89626	Undirected	1.0	258174
17146	110554	Undirected	1.0	258174
85160	50725	Undirected	2.0	732881
85160	42725	Undirected	2.0	732881
85160	42529	Undirected	2.0	732881
85160	11031	Undirected	2.0	732881
85160	110554	Undirected	1.0	258174
49125	48452	Undirected	4.0	574574
49125	110554	Undirected	1.0	258174
50725	44789	Undirected	1.0	258174
50725	89626	Undirected	3.0	1136668
50725	110554	Undirected	1.0	258174
48452	44789	Undirected	1.0	258174
48452	89626	Undirected	2.0	732881
48452	71061	Undirected	4.0	1211668
42725	89626	Undirected	2.0	732881
42725	71061	Undirected	3.0	807881
44789	11031	Undirected	2.0	400187
44789	110554	Undirected	1.0	258174
42529	89626	Undirected	2.0	732881
42529	55264	Undirected	2.0	732881
42529	71061	Undirected	2.0	732881
89626	55264	Undirected	3.0	1136668
89626	71061	Undirected	3.0	1136668
55264	110554	Undirected	1.0	258174
110554	71061	Undirected	1.0	258174
50725	17146	Undirected	4.0	1182001
85160	89626	Undirected	3.0	1136668
85160	17146	Undirected	2.0	878494
85160	71061	Undirected	3.0	1136668
89626	3790	Undirected	1.0	403787
55264	17146	Undirected	2.0	878494
55264	71061	Undirected	4.0	1782681
17146	3790	Undirected	1.0	403787
33883	2126	Undirected	1.0	663747
33883	78940	Undirected	1.0	663747
33883	27155	Undirected	1.0	663747
33883	89284	Undirected	1.0	663747
2126	3146	Undirected	2.0	921153
2126	9583	Undirected	1.0	663747
2126	11076	Undirected	1.0	663747
3146	78940	Undirected	1.0	663747
3146	27155	Undirected	1.0	663747
3146	89284	Undirected	1.0	663747
78940	9583	Undirected	1.0	663747
78940	11076	Undirected	1.0	663747
78940	43131	Undirected	1.0	663747
9583	11076	Undirected	1.0	663747
9583	43131	Undirected	1.0	663747
27155	89284	Undirected	1.0	663747
11076	89284	Undirected	1.0	663747
89284	43131	Undirected	1.0	663747
53674	82388	Undirected	3.0	303241
82388	29766	Undirected	1.0	4000
30396	58058	Undirected	1.0	116586
32184	22007	Undirected	1.0	291774
32184	32186	Undirected	1.0	291774
22007	26632	Undirected	1.0	291774
22007	81417	Undirected	1.0	291774
26632	81417	Undirected	1.0	291774
17379	8714	Undirected	1.0	19600
8714	-55699	Undirected	1.0	19600
16533	21348	Undirected	1.0	297744
16533	3146	Undirected	1.0	297744
10076	21348	Undirected	1.0	297744
10076	3146	Undirected	1.0	297744
21348	434	Undirected	1.0	297744
21348	82213	Undirected	1.0	297744
434	82213	Undirected	1.0	297744
14472	21338	Undirected	1.0	555530
14472	-25040	Undirected	1.0	555530
21338	-25040	Undirected	1.0	555530
1429	66225	Undirected	1.0	31120
66225	67002	Undirected	1.0	31120
40092	6327	Undirected	1.0	239377
40092	61373	Undirected	1.0	239377
81294	6327	Undirected	1.0	239377
81294	61373	Undirected	1.0	239377
6327	10005	Undirected	1.0	239377
6327	21442	Undirected	1.0	239377
10005	21442	Undirected	1.0	239377
-8873	-8737	Undirected	1.0	251730
6605	10195	Undirected	1.0	432598
109496	-198610	Undirected	1.0	98772
14032	5735	Undirected	1.0	121050
