Source	Target	Type	Weight	Val
1	155	Undirected	2.0	1600958
1	222	Undirected	1.0	100020
155	222	Undirected	1.0	100020
1	55	Undirected	2.0	3914468
1	85	Undirected	4.0	7588630
1	153	Undirected	1.0	3768933
55	85	Undirected	2.0	4764013
55	153	Undirected	1.0	3768933
85	153	Undirected	1.0	3768933
1	45	Undirected	1.0	477780
1	102	Undirected	2.0	1050359
1	132	Undirected	1.0	477780
45	102	Undirected	2.0	985455
45	132	Undirected	2.0	637236
102	132	Undirected	1.0	477780
1	109	Undirected	4.0	3121660
1	143	Undirected	2.0	2320538
109	143	Undirected	3.0	2418350
1	2	Undirected	9.0	3719996
1	60	Undirected	5.0	1225284
2	60	Undirected	5.0	1225284
1	136	Undirected	1.0	289011
1	138	Undirected	1.0	289011
136	138	Undirected	25.0	33613660
1	43	Undirected	2.0	2073517
2	43	Undirected	4.0	2568070
2	85	Undirected	1.0	1500938
2	155	Undirected	1.0	1500938
43	85	Undirected	1.0	1500938
43	155	Undirected	1.0	1500938
85	155	Undirected	1.0	1500938
1	130	Undirected	1.0	493563
109	130	Undirected	6.0	6454938
2	102	Undirected	2.0	970003
43	102	Undirected	2.0	970003
1	79	Undirected	1.0	307559
79	109	Undirected	1.0	307559
1	163	Undirected	3.0	946937
1	187	Undirected	2.0	544759
163	187	Undirected	3.0	888826
1	92	Undirected	1.0	402178
92	163	Undirected	1.0	402178
1	105	Undirected	1.0	1023446
2	55	Undirected	2.0	244076
55	60	Undirected	5.0	5080737
2	188	Undirected	1.0	98541
2	216	Undirected	1.0	98541
55	188	Undirected	14.0	26949442
55	216	Undirected	2.0	5840177
188	216	Undirected	2.0	5840177
2	101	Undirected	4.0	1566605
43	101	Undirected	2.0	768943
2	109	Undirected	1.0	1363268
2	128	Undirected	1.0	1363268
2	130	Undirected	1.0	1363268
2	136	Undirected	1.0	1363268
109	128	Undirected	1.0	1363268
109	136	Undirected	7.0	14467820
128	130	Undirected	8.0	33242345
128	136	Undirected	3.0	1963592
130	136	Undirected	2.0	2449178
2	90	Undirected	4.0	8693316
2	143	Undirected	1.0	4279853
90	143	Undirected	6.0	7595937
2	59	Undirected	1.0	99395
59	101	Undirected	1.0	99395
2	76	Undirected	1.0	837467
76	101	Undirected	2.0	1349858
2	54	Undirected	8.0	11681616
54	90	Undirected	7.0	12721107
2	217	Undirected	2.0	4895324
2	95	Undirected	1.0	279240
2	168	Undirected	1.0	279240
2	169	Undirected	1.0	279240
95	168	Undirected	6.0	2396747
95	169	Undirected	2.0	405235
168	169	Undirected	4.0	8631918
2	53	Undirected	1.0	722190
2	215	Undirected	1.0	722190
53	215	Undirected	4.0	10889736
53	217	Undirected	5.0	13295660
215	217	Undirected	8.0	18137248
43	54	Undirected	1.0	397424
54	102	Undirected	2.0	1166963
2	83	Undirected	1.0	4918
