Source	Target	Type	Weight	Val
2	3	Undirected	9.0	3719996
2	45	Undirected	2.0	2073517
2	57	Undirected	2.0	3914468
2	62	Undirected	5.0	1225284
2	87	Undirected	4.0	7588630
2	107	Undirected	1.0	1023446
2	111	Undirected	4.0	3121660
2	138	Undirected	1.0	289011
2	145	Undirected	2.0	2320538
2	157	Undirected	2.0	1600958
2	165	Undirected	3.0	946937
2	224	Undirected	1.0	100020
3	45	Undirected	4.0	2568070
3	56	Undirected	8.0	11681616
3	61	Undirected	1.0	99395
3	62	Undirected	5.0	1225284
3	87	Undirected	1.0	1500938
3	92	Undirected	4.0	8693316
3	103	Undirected	4.0	1566605
3	111	Undirected	1.0	1363268
3	132	Undirected	1.0	1363268
3	145	Undirected	1.0	4279853
3	170	Undirected	1.0	279240
3	190	Undirected	1.0	98541
3	218	Undirected	1.0	98541
3	219	Undirected	2.0	4895324
5	46	Undirected	2.0	1268185
5	56	Undirected	11.0	11360653
5	110	Undirected	1.0	1218040
5	120	Undirected	24.0	14190064
5	134	Undirected	26.0	17762102
5	135	Undirected	4.0	8868828
5	136	Undirected	28.0	24811734
5	155	Undirected	10.0	13519529
5	157	Undirected	13.0	14735366
5	203	Undirected	13.0	18610395
6	18	Undirected	5.0	27674019
6	19	Undirected	7.0	20807442
6	26	Undirected	2.0	3397665
6	31	Undirected	7.0	4119461
6	34	Undirected	14.0	34952742
6	35	Undirected	7.0	14899087
6	36	Undirected	9.0	11024521
6	71	Undirected	2.0	9806399
6	73	Undirected	2.0	1023588
6	79	Undirected	4.0	1855199
6	98	Undirected	6.0	7860875
6	99	Undirected	3.0	14996153
6	108	Undirected	3.0	11903494
6	111	Undirected	19.0	19551621
6	129	Undirected	3.0	5386214
6	131	Undirected	3.0	6171103
6	138	Undirected	5.0	14362004
6	141	Undirected	2.0	10175729
6	160	Undirected	4.0	11111182
6	193	Undirected	1.0	564726
6	203	Undirected	3.0	13168026
6	206	Undirected	4.0	4642892
6	215	Undirected	2.0	7686709
7	150	Undirected	1.0	506361
8	47	Undirected	1.0	1581410
9	52	Undirected	1.0	6358107
9	70	Undirected	1.0	6358107
9	154	Undirected	1.0	6358107
10	14	Undirected	1.0	1975496
10	18	Undirected	6.0	6536600
10	23	Undirected	1.0	4782908
10	42	Undirected	6.0	2360562
10	43	Undirected	3.0	5321637
10	47	Undirected	4.0	15159594
10	49	Undirected	14.0	6931002
10	52	Undirected	5.0	14855164
10	57	Undirected	7.0	25067641
10	59	Undirected	2.0	4003142
10	67	Undirected	1.0	559077
10	71	Undirected	4.0	2575792
10	81	Undirected	3.0	6092254
10	92	Undirected	2.0	10472194
10	96	Undirected	27.0	41022206
10	105	Undirected	6.0	5666353
10	107	Undirected	35.0	65100381
10	108	Undirected	22.0	45713140
10	110	Undirected	34.0	55526686
10	129	Undirected	2.0	10472194
10	135	Undirected	3.0	9674434
10	140	Undirected	1.0	98669
10	141	Undirected	3.0	15255102
10	147	Undirected	1.0	100348
10	150	Undirected	7.0	6765276
10	152	Undirected	15.0	52207651
