Id	Label	Num	Val
1	acoustics	23	15766542	
2	aerodynamics	50	51110961	
3	algebra & geometry	131	69459955	
4	analytical science	90	145977721	
5	artificial intelligence	146	231826208	
6	assess/remediate contamination	3	4534982	
7	asymmetric chemistry	11	13640958	
8	atoms & ions	13	6214215	
9	biochemical engineering	6	18986493	
10	bioelectronic devices	5	22042473	
11	bioenergy	29	31787943	
12	bioinformatics	16	52029825	
13	biological & medicinal chem.	29	45503257	
14	biomaterials	81	101030647	
15	biomechanics & rehabilitation	47	62830082	
16	biomedical neuroscience	18	29394374	
17	biophysics	45	44234268	
18	bioprocess engineering	19	29798746	
19	building ops & management	33	67993377	
20	carbon capture & storage	34	36659546	
21	catalysis & applied catalysis	124	116914672	
22	catalysis & enzymology	2	689340	
23	cells	2	6116997	
24	chemical biology	38	64182393	
25	chemical structure	52	57198101	
26	chemical synthetic methodology	72	101788856	
27	civil engineering materials	31	19613822	
28	climate & climate change	3	1750258	
29	co-ordination chemistry	38	25587639	
30	coastal & waterway engineering	31	22329706	
31	cognitive psychology	7	3369386	
32	cognitive science appl. in ict	7	7657173	
33	cold atomic species	23	30906872	
34	combustion	33	27342322	
35	complex fluids & soft solids	54	51883688	
36	complexity science	38	77295542	
37	comput./corpus linguistics	14	6931002	
38	computer graphics & visual.	36	68214771	
39	computer sys. & architecture	52	60302509	
40	condensed matter physics	82	97207707	
41	construction ops & management	13	24891070	
42	continuum mechanics	57	56547841	
43	control engineering	43	66051915	
44	criminal law & criminology	3	5019737	
45	criminology	5	5080147	
46	design & testing technology	40	63777809	
47	design engineering	36	54318218	
48	design of process systems	52	97558106	
49	design processes	14	22405461	
50	development (biosciences)	5	2325834	
51	digital art & design	4	18465875	
52	digital arts htp	2	12062042	
53	digital signal processing	61	74370433	
54	displays	3	11749150	
55	drug formulation & delivery	34	55765735	
56	economics	3	11015140	
57	electric motor & drive systems	13	11263500	
58	electrochemical science & eng.	31	30783229	
59	electromagnetics	3	6188182	
60	electronic devices & subsys.	72	123197049	
61	energy - conventional	20	37659404	
62	energy - marine & hydropower	27	34863003	
63	energy - nuclear	79	77162994	
64	energy efficiency	100	150990954	
65	energy storage	65	71775478	
66	eng. dynamics & tribology	30	36426390	
67	environment & health	2	568459	
68	fluid dynamics	61	51953657	
69	food processing	4	7452606	
70	food structure/composition	3	5141921	
71	fuel cell technologies	28	41944010	
72	fundamentals of computing	175	140728848	
73	fusion	9	190002289	
74	gas & solution phase reactions	40	47267022	
75	genomics	5	24454128	
76	governance	2	1097691	
77	ground engineering	33	32605304	
78	heat & mass transfer	27	37435379	
79	high performance computing	27	8615102	
80	human communication in ict	23	26806703	
81	human-computer interactions	147	193369943	
82	image & vision computing	74	116964229	
