Source,Target,Type,Weight
1,26,Undirected,1.0
1,118,Undirected,1.0
1,170,Undirected,2.0
1,171,Undirected,1.0
26,118,Undirected,17.0
26,170,Undirected,17.0
26,171,Undirected,12.0
118,170,Undirected,21.0
118,171,Undirected,12.0
170,171,Undirected,30.0
1,138,Undirected,1.0
1,140,Undirected,1.0
138,140,Undirected,123.0
2,157,Undirected,14.0
2,224,Undirected,1.0
157,224,Undirected,1.0
2,57,Undirected,10.0
2,62,Undirected,9.0
2,87,Undirected,21.0
2,126,Undirected,3.0
2,155,Undirected,9.0
57,62,Undirected,24.0
57,87,Undirected,10.0
57,126,Undirected,36.0
57,155,Undirected,8.0
62,87,Undirected,5.0
62,126,Undirected,55.0
62,155,Undirected,4.0
87,126,Undirected,13.0
87,155,Undirected,9.0
126,155,Undirected,5.0
2,127,Undirected,6.0
2,132,Undirected,10.0
2,190,Undirected,1.0
57,127,Undirected,37.0
57,132,Undirected,10.0
57,190,Undirected,52.0
87,127,Undirected,33.0
87,132,Undirected,54.0
87,190,Undirected,6.0
126,127,Undirected,177.0
126,132,Undirected,20.0
126,190,Undirected,30.0
127,132,Undirected,81.0
127,155,Undirected,12.0
127,190,Undirected,39.0
132,155,Undirected,3.0
132,190,Undirected,6.0
155,190,Undirected,3.0
57,157,Undirected,4.0
62,157,Undirected,6.0
87,157,Undirected,13.0
155,157,Undirected,133.0
2,203,Undirected,2.0
57,203,Undirected,9.0
87,203,Undirected,3.0
126,157,Undirected,9.0
126,203,Undirected,20.0
155,203,Undirected,119.0
157,203,Undirected,115.0
2,47,Undirected,1.0
2,104,Undirected,31.0
2,134,Undirected,2.0
47,104,Undirected,2.0
47,134,Undirected,4.0
104,134,Undirected,1.0
2,108,Undirected,4.0
87,108,Undirected,8.0
108,127,Undirected,35.0
108,132,Undirected,35.0
2,111,Undirected,9.0
2,145,Undirected,5.0
111,145,Undirected,9.0
2,3,Undirected,50.0
3,62,Undirected,10.0
2,138,Undirected,1.0
2,140,Undirected,1.0
2,217,Undirected,2.0
3,217,Undirected,9.0
2,45,Undirected,39.0
3,45,Undirected,48.0
3,87,Undirected,13.0
3,157,Undirected,12.0
45,87,Undirected,13.0
45,157,Undirected,10.0
2,209,Undirected,2.0
3,209,Undirected,2.0
45,209,Undirected,4.0
87,209,Undirected,3.0
157,209,Undirected,2.0
2,103,Undirected,2.0
3,103,Undirected,9.0
45,103,Undirected,7.0
87,103,Undirected,1.0
103,157,Undirected,1.0
3,104,Undirected,38.0
45,104,Undirected,38.0
87,104,Undirected,3.0
104,157,Undirected,5.0
111,132,Undirected,39.0
2,102,Undirected,2.0
102,111,Undirected,24.0
102,132,Undirected,5.0
102,217,Undirected,30.0
111,217,Undirected,6.0
132,217,Undirected,3.0
2,46,Undirected,2.0
2,219,Undirected,1.0
46,87,Undirected,11.0
46,102,Undirected,1.0
46,111,Undirected,2.0
46,219,Undirected,1.0
87,102,Undirected,2.0
87,111,Undirected,22.0
87,219,Undirected,1.0
102,219,Undirected,37.0
111,219,Undirected,22.0
2,56,Undirected,8.0
2,164,Undirected,2.0
3,56,Undirected,38.0
3,164,Undirected,2.0
45,56,Undirected,15.0
45,164,Undirected,2.0
56,104,Undirected,15.0
56,164,Undirected,3.0
104,164,Undirected,5.0
2,92,Undirected,9.0
3,92,Undirected,25.0
3,145,Undirected,8.0
45,92,Undirected,43.0
45,145,Undirected,4.0
92,104,Undirected,11.0
92,145,Undirected,26.0
104,145,Undirected,4.0
56,87,Undirected,2.0
56,92,Undirected,34.0
87,92,Undirected,2.0
2,30,Undirected,1.0
3,30,Undirected,1.0
30,45,Undirected,8.0
30,56,Undirected,1.0
30,92,Undirected,1.0
30,104,Undirected,3.0
2,149,Undirected,1.0
2,165,Undirected,6.0
2,200,Undirected,1.0
3,46,Undirected,4.0
3,149,Undirected,6.0
3,165,Undirected,2.0
3,200,Undirected,2.0
45,46,Undirected,2.0
45,149,Undirected,2.0
45,165,Undirected,3.0
45,200,Undirected,1.0
46,56,Undirected,15.0
46,92,Undirected,19.0
46,104,Undirected,4.0
46,149,Undirected,21.0
46,164,Undirected,1.0
46,165,Undirected,15.0
46,200,Undirected,1.0
56,149,Undirected,18.0
56,165,Undirected,5.0
56,200,Undirected,9.0
92,149,Undirected,23.0
92,164,Undirected,1.0
92,165,Undirected,10.0
92,200,Undirected,11.0
104,149,Undirected,5.0
104,165,Undirected,2.0
104,200,Undirected,4.0
149,164,Undirected,1.0
149,165,Undirected,10.0
149,200,Undirected,3.0
164,165,Undirected,1.0
164,200,Undirected,19.0
165,200,Undirected,1.0
2,84,Undirected,3.0
3,84,Undirected,10.0
45,84,Undirected,1.0
84,104,Undirected,3.0
2,86,Undirected,1.0
2,208,Undirected,1.0
3,86,Undirected,1.0
3,208,Undirected,4.0
45,86,Undirected,3.0
45,208,Undirected,3.0
86,104,Undirected,2.0
86,208,Undirected,82.0
104,208,Undirected,1.0
2,61,Undirected,2.0
3,61,Undirected,3.0
3,127,Undirected,8.0
45,61,Undirected,4.0
45,127,Undirected,8.0
56,61,Undirected,5.0
56,127,Undirected,6.0
61,92,Undirected,3.0
61,104,Undirected,4.0
61,127,Undirected,52.0
92,127,Undirected,8.0
104,127,Undirected,1.0
2,17,Undirected,1.0
3,17,Undirected,1.0
17,45,Undirected,9.0
17,92,Undirected,1.0
17,104,Undirected,1.0
2,85,Undirected,1.0
3,85,Undirected,12.0
45,85,Undirected,16.0
85,103,Undirected,39.0
85,104,Undirected,1.0
103,104,Undirected,3.0
2,81,Undirected,3.0
2,107,Undirected,2.0
61,81,Undirected,13.0
61,84,Undirected,6.0
61,107,Undirected,8.0
61,108,Undirected,7.0
61,111,Undirected,9.0
61,132,Undirected,24.0
81,84,Undirected,6.0
81,107,Undirected,2.0
81,108,Undirected,7.0
81,111,Undirected,10.0
81,127,Undirected,77.0
81,132,Undirected,9.0
84,107,Undirected,2.0
84,108,Undirected,6.0
84,111,Undirected,5.0
84,127,Undirected,26.0
84,132,Undirected,21.0
107,108,Undirected,69.0
107,111,Undirected,10.0
107,127,Undirected,10.0
107,132,Undirected,6.0
108,111,Undirected,31.0
111,127,Undirected,21.0
2,110,Undirected,1.0
81,110,Undirected,16.0
84,110,Undirected,1.0
108,110,Undirected,25.0
110,111,Undirected,7.0
110,127,Undirected,30.0
110,132,Undirected,7.0
2,189,Undirected,3.0
165,189,Undirected,4.0
2,5,Undirected,1.0
2,120,Undirected,1.0
2,135,Undirected,1.0
2,136,Undirected,1.0
5,56,Undirected,64.0
5,120,Undirected,78.0
5,134,Undirected,82.0
5,135,Undirected,20.0
5,136,Undirected,96.0
5,155,Undirected,64.0
5,157,Undirected,69.0
5,165,Undirected,1.0
5,189,Undirected,1.0
5,203,Undirected,67.0
56,120,Undirected,59.0
56,134,Undirected,68.0
56,135,Undirected,20.0
56,136,Undirected,60.0
56,155,Undirected,112.0
56,157,Undirected,81.0
56,189,Undirected,3.0
56,203,Undirected,71.0
120,134,Undirected,62.0
120,135,Undirected,26.0
120,136,Undirected,61.0
120,155,Undirected,59.0
120,157,Undirected,60.0
120,165,Undirected,1.0
120,189,Undirected,1.0
120,203,Undirected,54.0
134,135,Undirected,20.0
134,136,Undirected,70.0
134,155,Undirected,77.0
134,157,Undirected,90.0
134,165,Undirected,1.0
134,189,Undirected,1.0
134,203,Undirected,73.0
135,136,Undirected,20.0
135,155,Undirected,20.0
135,157,Undirected,22.0
135,165,Undirected,2.0
135,189,Undirected,1.0
135,203,Undirected,30.0
136,155,Undirected,60.0
136,157,Undirected,62.0
136,165,Undirected,1.0
136,189,Undirected,1.0
136,203,Undirected,51.0
155,165,Undirected,1.0
155,189,Undirected,1.0
