Source	Target	Type	Weight
1	24	Undirected	1.0
1	161	Undirected	2.0
24	111	Undirected	17.0
24	162	Undirected	12.0
111	162	Undirected	12.0
1	131	Undirected	1.0
131	133	Undirected	123.0
2	209	Undirected	1.0
2	53	Undirected	10.0
2	83	Undirected	21.0
2	147	Undirected	9.0
53	83	Undirected	10.0
53	147	Undirected	8.0
58	119	Undirected	55.0
83	119	Undirected	13.0
119	147	Undirected	5.0
83	147	Undirected	9.0
2	178	Undirected	1.0
53	120	Undirected	37.0
53	178	Undirected	52.0
83	125	Undirected	54.0
119	120	Undirected	177.0
119	178	Undirected	30.0
120	147	Undirected	12.0
125	147	Undirected	3.0
147	178	Undirected	3.0
2	149	Undirected	14.0
58	83	Undirected	5.0
83	149	Undirected	13.0
2	119	Undirected	3.0
53	190	Undirected	9.0
119	149	Undirected	9.0
147	149	Undirected	133.0
2	44	Undirected	1.0
2	127	Undirected	2.0
44	127	Undirected	4.0
2	103	Undirected	4.0
2	125	Undirected	10.0
103	120	Undirected	35.0
120	125	Undirected	81.0
106	137	Undirected	9.0
2	58	Undirected	9.0
2	3	Undirected	50.0
2	131	Undirected	1.0
2	202	Undirected	2.0
2	42	Undirected	39.0
3	83	Undirected	13.0
42	83	Undirected	13.0
3	42	Undirected	48.0
2	195	Undirected	2.0
3	195	Undirected	2.0
42	195	Undirected	4.0
149	195	Undirected	2.0
42	149	Undirected	10.0
3	149	Undirected	12.0
83	99	Undirected	3.0
2	106	Undirected	9.0
2	97	Undirected	2.0
97	125	Undirected	5.0
106	125	Undirected	39.0
2	204	Undirected	1.0
43	97	Undirected	1.0
43	204	Undirected	1.0
83	106	Undirected	22.0
97	106	Undirected	24.0
2	52	Undirected	8.0
2	156	Undirected	2.0
3	99	Undirected	38.0
42	99	Undirected	38.0
52	156	Undirected	3.0
2	87	Undirected	9.0
2	137	Undirected	5.0
42	87	Undirected	43.0
87	99	Undirected	11.0
99	137	Undirected	4.0
3	52	Undirected	38.0
52	83	Undirected	2.0
52	99	Undirected	15.0
2	99	Undirected	31.0
42	52	Undirected	15.0
2	157	Undirected	6.0
3	43	Undirected	4.0
3	141	Undirected	6.0
3	157	Undirected	2.0
42	43	Undirected	2.0
42	156	Undirected	2.0
43	52	Undirected	15.0
43	99	Undirected	4.0
43	156	Undirected	1.0
43	187	Undirected	1.0
52	141	Undirected	18.0
52	187	Undirected	9.0
87	156	Undirected	1.0
87	187	Undirected	11.0
99	156	Undirected	5.0
141	156	Undirected	1.0
141	187	Undirected	3.0
156	187	Undirected	19.0
3	87	Undirected	25.0
87	137	Undirected	26.0
80	99	Undirected	3.0
2	194	Undirected	1.0
3	194	Undirected	4.0
42	194	Undirected	3.0
82	194	Undirected	82.0
2	57	Undirected	2.0
3	57	Undirected	3.0
42	57	Undirected	4.0
52	57	Undirected	5.0
52	120	Undirected	6.0
57	99	Undirected	4.0
87	120	Undirected	8.0
2	16	Undirected	1.0
16	42	Undirected	9.0
16	99	Undirected	1.0
2	98	Undirected	2.0
42	81	Undirected	16.0
81	98	Undirected	39.0
98	99	Undirected	3.0
2	80	Undirected	3.0
57	77	Undirected	13.0
57	102	Undirected	8.0
57	106	Undirected	9.0
57	125	Undirected	24.0
77	102	Undirected	2.0
77	106	Undirected	10.0
77	125	Undirected	9.0
80	103	Undirected	6.0
80	120	Undirected	26.0
102	103	Undirected	69.0
102	120	Undirected	10.0
103	106	Undirected	31.0
106	120	Undirected	21.0
2	120	Undirected	6.0
77	80	Undirected	6.0
77	120	Undirected	77.0
103	105	Undirected	25.0
105	106	Undirected	7.0
105	125	Undirected	7.0
157	177	Undirected	4.0
2	113	Undirected	1.0
2	129	Undirected	1.0
2	190	Undirected	2.0
5	127	Undirected	82.0
5	129	Undirected	96.0
5	149	Undirected	69.0
5	177	Undirected	1.0
52	113	Undirected	59.0
52	128	Undirected	20.0
52	147	Undirected	112.0
52	157	Undirected	5.0
113	127	Undirected	62.0
113	129	Undirected	61.0
113	149	Undirected	60.0
113	177	Undirected	1.0
127	128	Undirected	20.0
127	147	Undirected	77.0
