Source	Target	Type	Weight
1	26	Undirected	1.0
1	138	Undirected	1.0
1	170	Undirected	2.0
2	3	Undirected	50.0
2	17	Undirected	1.0
2	30	Undirected	1.0
2	45	Undirected	39.0
2	47	Undirected	1.0
2	56	Undirected	8.0
2	57	Undirected	10.0
2	62	Undirected	9.0
2	81	Undirected	3.0
2	85	Undirected	1.0
2	87	Undirected	21.0
2	92	Undirected	9.0
2	102	Undirected	2.0
2	103	Undirected	2.0
2	104	Undirected	31.0
2	108	Undirected	4.0
2	111	Undirected	9.0
2	126	Undirected	3.0
2	127	Undirected	6.0
2	132	Undirected	10.0
2	136	Undirected	1.0
2	140	Undirected	1.0
2	145	Undirected	5.0
2	155	Undirected	9.0
2	157	Undirected	14.0
2	165	Undirected	6.0
2	189	Undirected	3.0
2	203	Undirected	2.0
2	209	Undirected	2.0
2	218	Undirected	1.0
2	220	Undirected	1.0
3	10	Undirected	1.0
3	13	Undirected	2.0
3	26	Undirected	1.0
3	28	Undirected	5.0
3	45	Undirected	48.0
3	46	Undirected	4.0
3	47	Undirected	3.0
3	55	Undirected	6.0
3	56	Undirected	38.0
3	61	Undirected	3.0
3	62	Undirected	10.0
3	78	Undirected	5.0
3	84	Undirected	10.0
3	85	Undirected	12.0
3	87	Undirected	13.0
3	92	Undirected	25.0
3	97	Undirected	12.0
3	102	Undirected	2.0
3	103	Undirected	9.0
3	104	Undirected	38.0
3	110	Undirected	3.0
3	111	Undirected	10.0
3	124	Undirected	2.0
3	127	Undirected	8.0
3	129	Undirected	5.0
3	130	Undirected	14.0
3	132	Undirected	11.0
3	138	Undirected	9.0
3	145	Undirected	8.0
3	149	Undirected	6.0
3	155	Undirected	4.0
3	157	Undirected	12.0
3	165	Undirected	2.0
3	170	Undirected	12.0
3	171	Undirected	12.0
3	182	Undirected	3.0
3	190	Undirected	4.0
3	203	Undirected	2.0
3	205	Undirected	2.0
3	208	Undirected	4.0
3	215	Undirected	1.0
3	217	Undirected	9.0
3	219	Undirected	33.0
3	225	Undirected	3.0
4	6	Undirected	3.0
5	46	Undirected	2.0
5	56	Undirected	64.0
5	85	Undirected	1.0
5	96	Undirected	5.0
5	110	Undirected	7.0
5	120	Undirected	78.0
5	127	Undirected	7.0
5	134	Undirected	82.0
5	135	Undirected	20.0
5	136	Undirected	96.0
5	155	Undirected	64.0
5	157	Undirected	69.0
5	203	Undirected	67.0
5	213	Undirected	8.0
6	15	Undirected	1.0
6	16	Undirected	9.0
6	18	Undirected	7.0
6	19	Undirected	10.0
6	21	Undirected	7.0
6	26	Undirected	9.0
6	28	Undirected	4.0
6	30	Undirected	5.0
6	31	Undirected	22.0
6	34	Undirected	20.0
6	35	Undirected	31.0
6	36	Undirected	27.0
6	39	Undirected	11.0
6	45	Undirected	4.0
6	47	Undirected	4.0
6	55	Undirected	1.0
6	61	Undirected	2.0
6	63	Undirected	2.0
6	64	Undirected	2.0
6	71	Undirected	21.0
6	73	Undirected	7.0
6	79	Undirected	16.0
6	81	Undirected	12.0
6	85	Undirected	5.0
6	86	Undirected	6.0
6	87	Undirected	5.0
6	95	Undirected	8.0
6	96	Undirected	3.0
6	98	Undirected	18.0
6	99	Undirected	5.0
6	107	Undirected	2.0
6	108	Undirected	10.0
6	110	Undirected	9.0
6	111	Undirected	57.0
6	119	Undirected	3.0
6	123	Undirected	5.0
6	126	Undirected	7.0
6	127	Undirected	13.0
6	129	Undirected	31.0
6	130	Undirected	10.0
6	131	Undirected	32.0
6	138	Undirected	33.0
6	140	Undirected	6.0
6	141	Undirected	9.0
6	145	Undirected	5.0
6	150	Undirected	1.0
6	152	Undirected	4.0
6	155	Undirected	5.0
6	158	Undirected	3.0
6	159	Undirected	3.0
6	160	Undirected	30.0
6	162	Undirected	17.0
6	167	Undirected	5.0
6	174	Undirected	1.0
6	188	Undirected	1.0
6	190	Undirected	4.0
6	193	Undirected	2.0
6	200	Undirected	2.0
6	203	Undirected	10.0
6	206	Undirected	7.0
6	209	Undirected	3.0
6	210	Undirected	3.0
6	213	Undirected	3.0
6	215	Undirected	9.0
6	224	Undirected	3.0
7	150	Undirected	1.0
8	41	Undirected	8.0
8	47	Undirected	8.0
8	74	Undirected	8.0
8	93	Undirected	4.0
8	203	Undirected	2.0
8	208	Undirected	2.0
8	224	Undirected	5.0
9	22	Undirected	2.0
9	69	Undirected	2.0
9	70	Undirected	2.0
9	108	Undirected	2.0
9	148	Undirected	2.0
9	214	Undirected	2.0
10	14	Undirected	4.0
10	18	Undirected	18.0
10	22	Undirected	10.0
10	23	Undirected	2.0
10	28	Undirected	2.0
10	35	Undirected	3.0
10	42	Undirected	7.0
10	43	Undirected	4.0
10	47	Undirected	22.0
10	49	Undirected	17.0
10	50	Undirected	5.0
10	52	Undirected	46.0
10	53	Undirected	14.0
10	54	Undirected	6.0
10	57	Undirected	38.0
10	58	Undirected	14.0
10	59	Undirected	14.0
10	62	Undirected	23.0
10	64	Undirected	9.0
10	70	Undirected	1.0
10	71	Undirected	22.0
10	76	Undirected	5.0
10	79	Undirected	1.0
10	81	Undirected	20.0
10	85	Undirected	11.0
10	92	Undirected	5.0
10	95	Undirected	1.0
10	96	Undirected	93.0
10	104	Undirected	1.0
10	105	Undirected	33.0
10	107	Undirected	145.0
10	108	Undirected	101.0
10	110	Undirected	127.0
10	111	Undirected	12.0
10	116	Undirected	6.0
10	123	Undirected	2.0
10	124	Undirected	9.0
10	126	Undirected	8.0
10	127	Undirected	13.0
10	129	Undirected	6.0
10	133	Undirected	2.0
10	135	Undirected	10.0
10	138	Undirected	12.0
10	139	Undirected	12.0
10	140	Undirected	7.0
10	141	Undirected	8.0
10	146	Undirected	40.0
10	147	Undirected	15.0
10	148	Undirected	10.0
10	150	Undirected	21.0
10	152	Undirected	121.0
10	153	Undirected	17.0
10	154	Undirected	6.0
10	155	Undirected	8.0
10	157	Undirected	9.0
10	160	Undirected	9.0
10	162	Undirected	7.0
10	172	Undirected	1.0
10	173	Undirected	2.0
10	176	Undirected	3.0
10	182	Undirected	7.0
10	184	Undirected	8.0
10	188	Undirected	42.0
10	190	Undirected	49.0
10	192	Undirected	8.0
10	194	Undirected	5.0
10	195	Undirected	6.0
10	196	Undirected	13.0
10	200	Undirected	45.0
10	203	Undirected	63.0
10	209	Undirected	1.0
10	210	Undirected	5.0
10	217	Undirected	27.0
10	218	Undirected	7.0
10	219	Undirected	5.0
10	220	Undirected	12.0
10	224	Undirected	7.0
11	17	Undirected	7.0
11	47	Undirected	1.0
11	61	Undirected	1.0
11	63	Undirected	2.0
11	86	Undirected	1.0
11	103	Undirected	1.0
