Id	Label	Num
1	accelerator r&d	4
2	acoustics	77
3	aerodynamics	168
4	ageing: chemistry/biochemistry	3
5	algebra & geometry	226
6	analytical science	197
7	animal organisms	8
8	applied arts htp	2
9	artificial intelligence	376
10	assess/remediate contamination	14
11	asymmetric chemistry	20
12	atoms & ions	24
13	behavioural & experimental eco	4
14	biochemical engineering	29
15	bioelectronic devices	18
16	bioenergy	139
17	bioinformatics	36
18	biological & medicinal chem.	56
19	biomaterials	211
20	biomechanics & rehabilitation	148
21	biomedical neuroscience	55
22	biomedical sciences	2
23	bionanoscience	3
24	biophysics	118
25	bioprocess engineering	57
26	building ops & management	131
27	carbon capture & storage	139
28	catalysis & applied catalysis	281
29	catalysis & enzymology	2
30	cells	3
31	chemical biology	61
32	chemical structure	127
33	chemical synthetic methodology	114
34	civil engineering materials	70
35	climate & climate change	26
36	co-ordination chemistry	62
37	coal technology	2
38	coastal & waterway engineering	88
39	cognitive psychology	12
40	cognitive science appl. in ict	11
41	cold atomic species	33
42	combustion	132
43	complex fluids & soft solids	149
44	complexity science	194
45	composition	3
46	comput./corpus linguistics	17
47	computational linguistics	5
48	computer graphics & visual.	115
49	computer sys. & architecture	110
50	condensed matter physics	167
51	construction ops & management	39
52	continuum mechanics	190
53	control engineering	138
54	criminal law & criminology	25
55	criminology	26
56	data handling & storage	4
57	design & testing technology	153
58	design engineering	136
59	design of process systems	179
60	design processes	94
61	development (biosciences)	11
62	development geography	8
63	developmental psychology	3
64	diamond light source	4
65	digital art & design	5
66	digital arts htp	4
67	digital signal processing	167
68	displays	9
69	drug formulation & delivery	114
70	earth & environmental	8
71	earth engineering	6
72	economics	29
73	education	24
74	electric motor & drive systems	40
75	electrochemical science & eng.	71
76	electromagnetics	13
77	electronic devices & subsys.	215
78	energy - conventional	85
79	energy - marine & hydropower	83
80	energy - nuclear	198
81	energy efficiency	406
82	energy storage	221
83	eng. dynamics & tribology	114
84	environment & health	5
85	environmental economics	3
86	environmental planning	27
87	fluid dynamics	134
88	food processing	25
89	food structure/composition	15
90	fuel cell technologies	134
91	fundamentals of computing	311
92	fusion	34
93	gas & solution phase reactions	123
94	genomics	12
95	geohazards	10
96	governance	4
97	ground engineering	133
98	heat & mass transfer	104
99	high performance computing	82
100	human communication in ict	98
101	human geography (general)	27
102	human-computer interactions	387
103	image & vision computing	221
104	industrial-org/occupational	4
105	information & knowledge mgmt	456
106	instrumentation eng. & dev.	192
107	intelligent & expert systems	20
108	international law	4
109	knowledge management	9
110	land - ocean interactions	24
111	lasers & optics	91
112	light-matter interactions	54
113	logic & combinatorics	104
114	macro-molecular delivery	10
115	macroeconomics	6
116	magnetism/magnetic phenomena	141
117	management & business studies	74
118	manufact. business strategy	30
119	manufact. enterprise ops& mgmt	282
120	manufacturing machine & plant	585
121	marketing	8
122	materials characterisation	551
123	materials processing	319
124	materials synthesis & growth	539
125	materials testing & eng.	185
126	mathematical & statistic psych	14
127	mathematical analysis	153
128	mathematical aspects of or	72
129	mathematical physics	106
130	mech. & fluid power transmiss.	4
131	med.instrument.device& equip.	479
132	media & communication studies	13
133	medical imaging	206
134	medical science & disease	144
135	mental health	3
136	microeconomic theory	6
137	microsystems	155
138	mobile computing	144
139	modelling & simul. of it sys.	48
140	multimedia	23
141	multiphase flow	59
142	music & acoustic technology	45
143	musical performance	3
144	networks & distributed systems	345
145	new & emerging comp. paradigms	19
146	new media/web-based studies	12
147	non-linear systems mathematics	209
148	novel industrial products	3
149	numerical analysis	218
150	oil & gas extraction	19
151	optical communications	66
152	optical devices & subsystems	162
153	optical phenomena	41
154	optoelect. devices & circuits	198
155	organisational studies	16
156	parallel computing	28
157	particle technology	81
158	pavement engineering	6
159	physical organic chemistry	57
160	plant physiology	2
161	plasmas - laser & fusion	76
162	plasmas - technological	34
163	political geography	12
164	pollution	2
165	population ecology	8
166	power electronics	11
167	power sys man, prot & control	33
168	power systems plant	34
169	protein chemistry	2
170	protein folding / misfolding	4
171	psychology	36
172	quantum fluids & solids	35
173	quantum optics & information	136
174	reactor engineering	55
175	regional & extreme weather	6
176	rf & microwave technology	181
177	rheology	22
178	robotics & autonomy	215
179	scattering & spectroscopy	13
180	science & technology studies	8
181	separation processes	50
182	social anthropology	6
183	social policy	10
184	social psychology	18
185	social stats., comp. & methods	24
186	sociology	27
187	software engineering	185
188	soil science	12
189	solar technology	177
190	statistics & appl. probability	333
191	structural engineering	101
192	surfaces & interfaces	91
193	survey & monitoring	10
194	sustainable energy networks	282
195	sustainable energy vectors	145
196	synthetic biology	103
197	system on chip	16
198	theoretical biology	24
199	time-based media htp	2
200	tissue engineering	139
201	tools for the biosciences	7
202	transport ops & management	172
203	underwater engineering	14
204	urban & land management	230
205	vision & senses - ict appl.	67
206	vlsi design	16
207	waste management	25
208	waste minimisation	21
209	water engineering	156
210	wind power	44
