Source	Target	Type	Weight	Val
2	45	Undirected	2.0	2073517
2	62	Undirected	4.0	1079749
2	104	Undirected	1.0	477780
2	132	Undirected	1.0	493563
2	145	Undirected	2.0	2320538
2	165	Undirected	1.0	402178
2	189	Undirected	2.0	544759
3	2	Undirected	4.0	1139309
3	62	Undirected	5.0	1225284
3	103	Undirected	3.0	1033991
3	130	Undirected	1.0	1363268
3	145	Undirected	1.0	4279853
3	170	Undirected	1.0	279240
3	217	Undirected	1.0	722190
5	120	Undirected	9.0	9766524
5	135	Undirected	4.0	8868828
5	136	Undirected	8.0	3327927
5	155	Undirected	4.0	8868828
5	157	Undirected	8.0	5766084
5	203	Undirected	10.0	14538922
6	34	Undirected	7.0	22507735
6	36	Undirected	2.0	1699730
6	73	Undirected	2.0	1023588
6	79	Undirected	3.0	1225297
6	98	Undirected	3.0	1911187
6	111	Undirected	7.0	5024479
6	129	Undirected	2.0	5163950
6	138	Undirected	3.0	12464542
6	160	Undirected	4.0	11111182
6	193	Undirected	1.0	564726
6	203	Undirected	2.0	10175729
6	215	Undirected	1.0	505264
8	47	Undirected	1.0	1581410
9	148	Undirected	1.0	6358107
10	7	Undirected	1.0	506361
10	43	Undirected	2.0	4883132
10	57	Undirected	1.0	4930858
10	59	Undirected	1.0	2027646
10	81	Undirected	1.0	5032504
10	96	Undirected	6.0	14977555
10	105	Undirected	3.0	5225456
10	107	Undirected	15.0	31413326
10	108	Undirected	11.0	13872147
10	110	Undirected	20.0	40175677
10	141	Undirected	2.0	11314086
10	150	Undirected	4.0	5080409
10	152	Undirected	7.0	32829451
10	153	Undirected	4.0	11972569
10	182	Undirected	2.0	1129607
10	190	Undirected	12.0	15337243
10	200	Undirected	9.0	8240413
10	203	Undirected	9.0	26230026
10	217	Undirected	4.0	3068489
12	6	Undirected	1.0	708512
12	36	Undirected	3.0	10491045
13	119	Undirected	2.0	1391381
14	58	Undirected	1.0	1975496
14	152	Undirected	1.0	1975496
15	63	Undirected	2.0	6123065
15	127	Undirected	1.0	4424686
16	35	Undirected	1.0	4884594
16	99	Undirected	1.0	5468668
16	138	Undirected	2.0	5708678
16	160	Undirected	1.0	7190025
16	162	Undirected	3.0	16333795
17	45	Undirected	1.0	931604
17	63	Undirected	4.0	763014
17	85	Undirected	1.0	2690768
17	167	Undirected	1.0	314946
17	193	Undirected	1.0	109027
18	6	Undirected	4.0	22177598
18	10	Undirected	3.0	1508955
18	34	Undirected	4.0	21140818
18	99	Undirected	2.0	10289092
18	107	Undirected	2.0	673794
18	138	Undirected	2.0	12643107
18	141	Undirected	2.0	10175729
18	174	Undirected	1.0	5468668
18	190	Undirected	2.0	673794
18	213	Undirected	3.0	15644397
18	217	Undirected	1.0	721298
19	18	Undirected	3.0	17357174
