Id	Label	Num		Val
1	accelerator r&d	1	1927885	
2	acoustics	23	15766542	
3	aerodynamics	50	51110961	
4	ageing: chemistry/biochemistry	1	475926	
5	algebra & geometry	131	69459955	
6	analytical science	90	145977721	
7	animal behaviour	1	506361	
8	animal organisms	1	1581410	
9	applied arts htp	1	6358107	
10	artificial intelligence	146	231826208	
11	assess/remediate contamination	3	4534982	
12	asymmetric chemistry	11	13640958	
13	atoms & ions	13	6214215	
14	behavioural & experimental eco	1	1975496	
15	biochemical engineering	6	18986493	
16	bioelectronic devices	5	22042473	
17	bioenergy	29	31787943	
18	bioinformatics	16	52029825	
19	biological & medicinal chem.	29	45503257	
20	biological membranes	1	2215	
21	biomaterials	81	101030647	
22	biomechanics & rehabilitation	47	62830082	
23	biomedical neuroscience	18	29394374	
24	biomedical sciences	1	188407	
25	bionanoscience	1	1999639	
26	biophysics	45	44234268	
27	bioprocess engineering	19	29798746	
28	building ops & management	33	67993377	
29	carbohydrate chemistry	1	920060	
30	carbon capture & storage	34	36659546	
31	catalysis & applied catalysis	124	116914672	
32	catalysis & enzymology	2	689340	
33	cells	2	6116997	
34	chemical biology	38	64182393	
35	chemical structure	52	57198101	
36	chemical synthetic methodology	72	101788856	
37	civil engineering materials	31	19613822	
38	climate & climate change	3	1750258	
39	co-ordination chemistry	38	25587639	
40	coal technology	1	6550555	
41	coastal & waterway engineering	31	22329706	
42	cognitive psychology	7	3369386	
43	cognitive science appl. in ict	7	7657173	
44	cold atomic species	23	30906872	
45	combustion	33	27342322	
46	complex fluids & soft solids	54	51883688	
47	complexity science	38	77295542	
48	composition	1	5971211	
49	comput./corpus linguistics	14	6931002	
50	computational linguistics	1	340421	
51	computational methods & tools	1	98603	
52	computer graphics & visual.	36	68214771	
53	computer sys. & architecture	52	60302509	
54	condensed matter physics	82	97207707	
55	construction ops & management	13	24891070	
56	continuum mechanics	57	56547841	
57	control engineering	43	66051915	
58	criminal law & criminology	3	5019737	
59	criminology	5	5080147	
60	data handling & storage	1	742513	
61	design & testing technology	40	63777809	
62	design engineering	36	54318218	
63	design of process systems	52	97558106	
64	design processes	14	22405461	
65	development (biosciences)	5	2325834	
66	development geography	1	241076	
67	developmental psychology	1	559077	
68	diamond light source	1	1436518	
69	digital art & design	4	18465875	
70	digital arts htp	2	12062042	
71	digital signal processing	61	74370433	
72	displays	3	11749150	
73	drug formulation & delivery	34	55765735	
74	earth & environmental	1	1581410	
