Source,Target,Type,Weight,Val
73,74,Undirected,79.0,76106498
73,75,Undirected,105.0,75793187
73,121,Undirected,24.0,16525798
74,75,Undirected,44.0,72732561
74,121,Undirected,3.0,11243140
75,121,Undirected,3.0,11243140
4,74,Undirected,1.0,7863900
4,98,Undirected,1.0,7863900
74,98,Undirected,22.0,54826992
16,21,Undirected,12.0,1203405
4,63,Undirected,10.0,1655634
41,60,Undirected,2.0,136764
41,90,Undirected,7.0,3590598
41,112,Undirected,4.0,1852161
60,90,Undirected,9.0,1223210
60,112,Undirected,1.0,88764
90,112,Undirected,4.0,2089778
14,50,Undirected,10.0,1057866
2,29,Undirected,2.0,188921
91,93,Undirected,8.0,774471
34,88,Undirected,6.0,348689
20,21,Undirected,10.0,5897413
63,73,Undirected,16.0,4353547
7,15,Undirected,1.0,78422
4,121,Undirected,2.0,95195
1,2,Undirected,4.0,630320
63,121,Undirected,15.0,5396822
16,121,Undirected,13.0,8986470
16,73,Undirected,8.0,2471431
37,52,Undirected,2.0,265825
32,63,Undirected,16.0,6425038
63,65,Undirected,11.0,2382740
87,90,Undirected,17.0,2205769
8,21,Undirected,1.0,563165
66,121,Undirected,3.0,1374194
124,132,Undirected,5.0,699157
63,66,Undirected,8.0,3653074
128,130,Undirected,9.0,691614
8,73,Undirected,2.0,1307971
99,124,Undirected,9.0,1295160
20,63,Undirected,14.0,4753675
20,73,Undirected,14.0,3669188
11,20,Undirected,9.0,1698530
11,45,Undirected,3.0,360522
11,56,Undirected,4.0,626996
11,63,Undirected,6.0,1372661
20,45,Undirected,2.0,261522
20,56,Undirected,10.0,4334429
45,56,Undirected,4.0,477740
45,63,Undirected,2.0,261522
56,63,Undirected,4.0,860238
50,58,Undirected,3.0,394618
50,72,Undirected,1.0,165687
58,72,Undirected,1.0,165687
50,135,Undirected,1.0,81513
21,56,Undirected,8.0,1157017
50,107,Undirected,1.0,118528
16,29,Undirected,4.0,318619
16,104,Undirected,1.0,128664
29,104,Undirected,1.0,128664
11,16,Undirected,3.0,378953
11,30,Undirected,1.0,203179
16,30,Undirected,2.0,272562
63,88,Undirected,4.0,703901
63,100,Undirected,1.0,256362
88,100,Undirected,10.0,1977882
73,98,Undirected,20.0,26427018
73,91,Undirected,2.0,283359
73,119,Undirected,16.0,1669019
21,63,Undirected,4.0,531864
63,135,Undirected,1.0,49643
21,73,Undirected,6.0,1816909
37,74,Undirected,3.0,1268996
11,21,Undirected,15.0,4372887
20,32,Undirected,6.0,2163450
35,128,Undirected,1.0,76051
61,129,Undirected,2.0,270290
58,117,Undirected,1.0,149915
14,58,Undirected,1.0,122092
14,22,Undirected,5.0,185892
32,73,Undirected,38.0,46794612
63,94,Undirected,1.0,127422
8,20,Undirected,6.0,4212768
33,101,Undirected,3.0,382251
71,92,Undirected,1.0,53359
69,75,Undirected,6.0,649431
45,51,Undirected,8.0,1410293
47,50,Undirected,4.0,1378557
6,133,Undirected,1.0,43047
60,87,Undirected,8.0,1492984
73,104,Undirected,4.0,670111
35,129,Undirected,2.0,227613
50,73,Undirected,2.0,317402
53,88,Undirected,33.0,3480729
16,63,Undirected,1.0,528227
53,58,Undirected,9.0,1160568
53,115,Undirected,1.0,112131
58,115,Undirected,1.0,112131
29,58,Undirected,1.0,40516
69,73,Undirected,26.0,4506769
111,117,Undirected,2.0,64634
14,53,Undirected,1.0,92956
52,73,Undirected,8.0,1141934
47,124,Undirected,6.0,1045381
117,135,Undirected,7.0,1046941
35,64,Undirected,4.0,310530
35,50,Undirected,2.0,129644
50,64,Undirected,1.0,79139
46,88,Undirected,2.0,165680
46,93,Undirected,2.0,165680
88,93,Undirected,4.0,409997
90,95,Undirected,6.0,779285
62,118,Undirected,7.0,1241621
95,98,Undirected,23.0,9886111
52,76,Undirected,19.0,3528412
44,74,Undirected,1.0,137087
61,64,Undirected,3.0,406500
55,99,Undirected,2.0,262673
55,118,Undirected,4.0,496641
99,118,Undirected,9.0,2324898
30,32,Undirected,8.0,6353718
30,73,Undirected,12.0,4625456
30,121,Undirected,2.0,852583
32,121,Undirected,2.0,607058
17,19,Undirected,1.0,104794
17,20,Undirected,1.0,104794
19,20,Undirected,1.0,104794
36,118,Undirected,3.0,467987
103,116,Undirected,3.0,1609462
32,75,Undirected,18.0,38569284
47,74,Undirected,12.0,42839800
47,98,Undirected,11.0,33584965
3,77,Undirected,8.0,4729570
3,61,Undirected,1.0,104794
3,114,Undirected,1.0,104794
61,114,Undirected,1.0,104794
3,68,Undirected,4.0,62229
29,45,Undirected,2.0,305844
29,100,Undirected,1.0,146794
45,100,Undirected,3.0,409274
5,55,Undirected,2.0,198449
39,118,Undirected,4.0,795781
58,100,Undirected,3.0,177051
30,100,Undirected,3.0,276192
34,53,Undirected,3.0,226218
3,91,Undirected,9.0,4777275
50,112,Undirected,2.0,163468
96,98,Undirected,13.0,8279973
61,62,Undirected,2.0,645515
69,74,Undirected,6.0,641376
44,51,Undirected,5.0,589276
66,73,Undirected,8.0,2309854
12,81,Undirected,2.0,668880
36,134,Undirected,1.0,63601
50,130,Undirected,12.0,1281510
63,76,Undirected,3.0,457562
66,67,Undirected,1.0,151220
22,94,Undirected,2.0,132251
62,78,Undirected,2.0,393709
24,29,Undirected,7.0,676366
44,136,Undirected,1.0,74561
22,57,Undirected,2.0,229264
11,36,Undirected,1.0,235213
57,94,Undirected,7.0,869116
45,54,Undirected,11.0,1083328
2,93,Undirected,1.0,161768
95,124,Undirected,4.0,1594156
88,117,Undirected,2.0,197393
77,79,Undirected,8.0,2376631
21,75,Undirected,10.0,1782196
63,74,Undirected,8.0,10994459
74,100,Undirected,4.0,1017652
77,93,Undirected,5.0,177156
76,94,Undirected,3.0,614723
5,118,Undirected,4.0,343187
35,71,Undirected,1.0,422746
61,128,Undirected,3.0,236831
47,112,Undirected,6.0,7788813
36,90,Undirected,2.0,316754
36,99,Undirected,2.0,316754
90,99,Undirected,2.0,316754
90,118,Undirected,4.0,622402
62,87,Undirected,5.0,697738
41,68,Undirected,1.0,119591
16,51,Undirected,1.0,247451
65,104,Undirected,2.0,244905
61,127,Undirected,1.0,131372
14,36,Undirected,4.0,239615
51,107,Undirected,2.0,442129
33,70,Undirected,3.0,299435
13,73,Undirected,1.0,309846
13,74,Undirected,1.0,309846
4,45,Undirected,2.0,292621
66,98,Undirected,5.0,3674461
22,33,Undirected,1.0,14360
14,33,Undirected,3.0,1094089
95,112,Undirected,5.0,593109
22,73,Undirected,18.0,2144281
33,37,Undirected,1.0,85613
2,14,Undirected,2.0,227858
45,73,Undirected,5.0,712448
20,121,Undirected,5.0,772920
36,37,Undirected,10.0,12876365
36,39,Undirected,12.0,11487933
37,39,Undirected,8.0,10508136
103,104,Undirected,1.0,50157
95,96,Undirected,11.0,2788213
16,54,Undirected,3.0,337855
7,16,Undirected,7.0,1247577
23,29,Undirected,3.0,1028050
16,75,Undirected,6.0,610013
16,38,Undirected,2.0,223607
73,117,Undirected,2.0,356397
94,134,Undirected,1.0,69153
73,112,Undirected,3.0,294159
94,117,Undirected,1.0,125809
7,28,Undirected,1.0,62647
79,91,Undirected,4.0,2373903
16,100,Undirected,2.0,246344
16,111,Undirected,9.0,1173905
8,56,Undirected,5.0,3115095
61,63,Undirected,2.0,418814
29,54,Undirected,1.0,120879
29,75,Undirected,2.0,214924
54,75,Undirected,5.0,508859
70,78,Undirected,1.0,589321
14,64,Undirected,2.0,121076
52,94,Undirected,9.0,862856
8,63,Undirected,1.0,182594
13,18,Undirected,1.0,583330
13,30,Undirected,1.0,583330
13,53,Undirected,1.0,583330
18,30,Undirected,1.0,583330
18,53,Undirected,1.0,583330
30,53,Undirected,1.0,583330
50,99,Undirected,1.0,86481
3,34,Undirected,3.0,2387514
3,120,Undirected,1.0,77689
34,120,Undirected,2.0,128158
118,121,Undirected,1.0,205451
50,53,Undirected,4.0,306052
50,88,Undirected,4.0,214578
74,93,Undirected,2.0,98945
22,64,Undirected,1.0,198747
45,76,Undirected,1.0,224210
73,76,Undirected,10.0,1595326
3,79,Undirected,13.0,2724169
100,113,Undirected,6.0,593450
20,102,Undirected,10.0,1403079
30,35,Undirected,1.0,177303
88,94,Undirected,11.0,1371283
41,85,Undirected,1.0,1500000
85,90,Undirected,1.0,1500000
85,112,Undirected,1.0,1500000
63,129,Undirected,4.0,428914
24,48,Undirected,2.0,296266
29,48,Undirected,2.0,296266
22,36,Undirected,3.0,81128
72,76,Undirected,5.0,1325907
73,107,Undirected,1.0,107855
26,62,Undirected,1.0,10059
64,118,Undirected,1.0,270265
14,48,Undirected,1.0,77824
8,32,Undirected,1.0,24378
36,119,Undirected,1.0,121025
37,119,Undirected,1.0,121025
50,132,Undirected,2.0,137898
36,76,Undirected,1.0,172472
44,129,Undirected,2.0,191844
54,74,Undirected,4.0,296203
39,70,Undirected,1.0,67065
27,110,Undirected,1.0,364720
70,71,Undirected,6.0,1148541
74,119,Undirected,13.0,1387155
75,119,Undirected,9.0,1172251
29,63,Undirected,3.0,478234
29,66,Undirected,1.0,182239
53,100,Undirected,5.0,561087
50,134,Undirected,4.0,561483
29,38,Undirected,1.0,287420
58,94,Undirected,1.0,76411
12,126,Undirected,4.0,4205876
24,84,Undirected,1.0,49274
34,73,Undirected,2.0,73985
54,117,Undirected,1.0,160475
54,123,Undirected,1.0,160475
117,123,Undirected,1.0,160475
34,91,Undirected,8.0,2470779
88,91,Undirected,1.0,28830
38,99,Undirected,1.0,260542
52,93,Undirected,1.0,126799
76,93,Undirected,1.0,126799
64,65,Undirected,2.0,218257
30,113,Undirected,15.0,1685793
63,92,Undirected,3.0,944519
8,66,Undirected,9.0,7729299
29,50,Undirected,6.0,997769
38,100,Undirected,4.0,918280
32,109,Undirected,5.0,1110608
29,53,Undirected,1.0,48536
2,53,Undirected,4.0,400936
62,71,Undirected,2.0,471473
62,90,Undirected,5.0,721098
71,90,Undirected,1.0,296229
93,99,Undirected,2.0,513695
133,135,Undirected,5.0,167112
69,109,Undirected,1.0,4800
16,94,Undirected,2.0,349809
56,88,Undirected,1.0,111064
37,60,Undirected,5.0,454615
37,63,Undirected,8.0,1059506
60,63,Undirected,5.0,454615
75,128,Undirected,3.0,156459
74,76,Undirected,7.0,2084672
50,74,Undirected,2.0,343654
50,119,Undirected,4.0,486277
52,129,Undirected,3.0,376878
30,74,Undirected,22.0,2150387
47,132,Undirected,3.0,8719264
51,54,Undirected,1.0,70421
51,74,Undirected,2.0,156332
96,124,Undirected,1.0,169991
55,62,Undirected,2.0,22670
106,108,Undirected,2.0,553516
42,74,Undirected,3.0,215530
44,108,Undirected,1.0,199005
51,108,Undirected,1.0,199005
54,73,Undirected,2.0,737221
