Source	Target	Type	Weight	Val
71	72	Undirected	79.0	76106498
71	117	Undirected	24.0	16525798
72	117	Undirected	3.0	11243140
4	72	Undirected	1.0	7863900
72	95	Undirected	22.0	54826992
4	61	Undirected	10.0	1655634
39	86	Undirected	7.0	3590598
58	86	Undirected	9.0	1223210
86	108	Undirected	4.0	2089778
2	27	Undirected	2.0	188921
32	84	Undirected	6.0	348689
61	71	Undirected	16.0	4353547
4	117	Undirected	2.0	95195
61	117	Undirected	15.0	5396822
16	71	Undirected	8.0	2471431
35	50	Undirected	2.0	265825
30	61	Undirected	16.0	6425038
61	63	Undirected	11.0	2382740
120	127	Undirected	5.0	699157
123	125	Undirected	9.0	691614
8	71	Undirected	2.0	1307971
18	61	Undirected	14.0	4753675
10	18	Undirected	9.0	1698530
10	54	Undirected	4.0	626996
18	42	Undirected	2.0	261522
42	54	Undirected	4.0	477740
54	61	Undirected	4.0	860238
10	61	Undirected	6.0	1372661
61	64	Undirected	8.0	3653074
56	70	Undirected	1.0	165687
19	54	Undirected	8.0	1157017
16	27	Undirected	4.0	318619
27	101	Undirected	1.0	128664
10	28	Undirected	1.0	203179
61	84	Undirected	4.0	703901
84	97	Undirected	10.0	1977882
18	71	Undirected	14.0	3669188
19	61	Undirected	4.0	531864
71	73	Undirected	105.0	75793187
10	19	Undirected	15.0	4372887
33	123	Undirected	1.0	76051
56	113	Undirected	1.0	149915
14	20	Undirected	5.0	185892
61	91	Undirected	1.0	127422
8	18	Undirected	6.0	4212768
69	89	Undirected	1.0	53359
14	48	Undirected	10.0	1057866
44	48	Undirected	4.0	1378557
71	101	Undirected	4.0	670111
48	71	Undirected	2.0	317402
16	61	Undirected	1.0	528227
96	120	Undirected	9.0	1295160
56	111	Undirected	1.0	112131
67	71	Undirected	26.0	4506769
14	51	Undirected	1.0	92956
44	120	Undirected	6.0	1045381
113	130	Undirected	7.0	1046941
33	48	Undirected	2.0	129644
48	62	Undirected	1.0	79139
43	84	Undirected	2.0	165680
84	90	Undirected	4.0	409997
86	92	Undirected	6.0	779285
92	95	Undirected	23.0	9886111
50	74	Undirected	19.0	3528412
72	73	Undirected	44.0	72732561
