Source	Target	Type	Weight	Val
76	77	Undirected	79.0	76106498
76	125	Undirected	24.0	16525798
77	125	Undirected	3.0	11243140
4	77	Undirected	1.0	7863900
77	102	Undirected	22.0	54826992
4	66	Undirected	10.0	1655634
42	93	Undirected	7.0	3590598
63	93	Undirected	9.0	1223210
93	116	Undirected	4.0	2089778
2	30	Undirected	2.0	188921
35	91	Undirected	6.0	348689
66	76	Undirected	16.0	4353547
4	125	Undirected	2.0	95195
66	125	Undirected	15.0	5396822
17	76	Undirected	8.0	2471431
38	54	Undirected	2.0	265825
33	66	Undirected	16.0	6425038
66	68	Undirected	11.0	2382740
128	136	Undirected	5.0	699157
132	134	Undirected	9.0	691614
8	76	Undirected	2.0	1307971
21	66	Undirected	14.0	4753675
11	21	Undirected	9.0	1698530
11	59	Undirected	4.0	626996
21	46	Undirected	2.0	261522
46	59	Undirected	4.0	477740
59	66	Undirected	4.0	860238
11	66	Undirected	6.0	1372661
66	69	Undirected	8.0	3653074
61	75	Undirected	1.0	165687
22	59	Undirected	8.0	1157017
17	30	Undirected	4.0	318619
30	108	Undirected	1.0	128664
11	31	Undirected	1.0	203179
66	91	Undirected	4.0	703901
91	104	Undirected	10.0	1977882
21	76	Undirected	14.0	3669188
22	66	Undirected	4.0	531864
76	78	Undirected	105.0	75793187
11	22	Undirected	15.0	4372887
36	132	Undirected	1.0	76051
61	121	Undirected	1.0	149915
15	23	Undirected	5.0	185892
66	98	Undirected	1.0	127422
8	21	Undirected	6.0	4212768
74	96	Undirected	1.0	53359
15	52	Undirected	10.0	1057866
48	52	Undirected	4.0	1378557
76	108	Undirected	4.0	670111
52	76	Undirected	2.0	317402
17	66	Undirected	1.0	528227
103	128	Undirected	9.0	1295160
61	119	Undirected	1.0	112131
72	76	Undirected	26.0	4506769
15	55	Undirected	1.0	92956
48	128	Undirected	6.0	1045381
121	139	Undirected	7.0	1046941
36	52	Undirected	2.0	129644
52	67	Undirected	1.0	79139
47	91	Undirected	2.0	165680
91	97	Undirected	4.0	409997
93	99	Undirected	6.0	779285
99	102	Undirected	23.0	9886111
54	79	Undirected	19.0	3528412
77	78	Undirected	44.0	72732561
103	122	Undirected	9.0	2324898
31	76	Undirected	12.0	4625456
33	76	Undirected	38.0	46794612
21	33	Undirected	6.0	2163450
20	21	Undirected	1.0	104794
107	120	Undirected	3.0	1609462
48	77	Undirected	12.0	42839800
3	80	Undirected	8.0	4729570
3	118	Undirected	1.0	104794
3	71	Undirected	4.0	62229
30	104	Undirected	1.0	146794
5	57	Undirected	2.0	198449
61	104	Undirected	3.0	177051
31	104	Undirected	3.0	276192
52	116	Undirected	2.0	163468
57	103	Undirected	2.0	262673
45	53	Undirected	5.0	589276
12	84	Undirected	2.0	668880
52	134	Undirected	12.0	1281510
34	105	Undirected	3.0	382251
65	122	Undirected	7.0	1241621
65	81	Undirected	2.0	393709
45	140	Undirected	1.0	74561
11	37	Undirected	1.0	235213
46	56	Undirected	11.0	1083328
99	128	Undirected	4.0	1594156
80	82	Undirected	8.0	2376631
22	76	Undirected	6.0	1816909
77	104	Undirected	4.0	1017652
79	98	Undirected	3.0	614723
36	74	Undirected	1.0	422746
64	132	Undirected	3.0	236831
37	103	Undirected	2.0	316754
93	103	Undirected	2.0	316754
17	22	Undirected	12.0	1203405
93	122	Undirected	4.0	622402
17	53	Undirected	1.0	247451
64	131	Undirected	1.0	131372
53	111	Undirected	2.0	442129
3	95	Undirected	9.0	4777275
4	46	Undirected	2.0	292621
17	125	Undirected	13.0	8986470
23	76	Undirected	18.0	2144281
2	15	Undirected	2.0	227858
21	125	Undirected	5.0	772920
37	38	Undirected	10.0	12876365
38	40	Undirected	8.0	10508136
37	40	Undirected	12.0	11487933
99	100	Undirected	11.0	2788213
7	17	Undirected	7.0	1247577
24	30	Undirected	3.0	1028050
17	78	Undirected	6.0	610013
98	138	Undirected	1.0	69153
76	116	Undirected	3.0	294159
76	123	Undirected	16.0	1669019
17	115	Undirected	9.0	1173905
72	78	Undirected	6.0	649431
64	66	Undirected	2.0	418814
56	78	Undirected	5.0	508859
15	67	Undirected	2.0	121076
8	66	Undirected	1.0	182594
14	31	Undirected	1.0	583330
19	31	Undirected	1.0	583330
31	55	Undirected	1.0	583330
55	91	Undirected	33.0	3480729
68	108	Undirected	2.0	244905
77	97	Undirected	2.0	98945
46	76	Undirected	5.0	712448
3	82	Undirected	13.0	2724169
21	106	Undirected	10.0	1403079
31	36	Undirected	1.0	177303
91	98	Undirected	11.0	1371283
42	88	Undirected	1.0	1500000
88	93	Undirected	1.0	1500000
66	133	Undirected	4.0	428914
25	49	Undirected	2.0	296266
54	76	Undirected	8.0	1141934
46	53	Undirected	8.0	1410293
76	111	Undirected	1.0	107855
67	122	Undirected	1.0	270265
8	33	Undirected	1.0	24378
37	123	Undirected	1.0	121025
15	34	Undirected	3.0	1094089
45	133	Undirected	2.0	191844
40	73	Undirected	1.0	67065
28	114	Undirected	1.0	364720
73	74	Undirected	6.0	1148541
30	66	Undirected	3.0	478234
55	104	Undirected	5.0	561087
30	39	Undirected	1.0	287420
12	130	Undirected	4.0	4205876
25	87	Undirected	1.0	49274
35	76	Undirected	2.0	73985
56	127	Undirected	1.0	160475
52	138	Undirected	4.0	561483
66	77	Undirected	8.0	10994459
67	68	Undirected	2.0	218257
31	117	Undirected	15.0	1685793
66	96	Undirected	3.0	944519
8	69	Undirected	9.0	7729299
39	104	Undirected	4.0	918280
30	55	Undirected	1.0	48536
63	90	Undirected	8.0	1492984
65	93	Undirected	5.0	721098
97	103	Undirected	2.0	513695
137	139	Undirected	5.0	167112
17	98	Undirected	2.0	349809
38	66	Undirected	8.0	1059506
38	63	Undirected	5.0	454615
63	66	Undirected	5.0	454615
52	123	Undirected	4.0	486277
54	133	Undirected	3.0	376878
31	77	Undirected	22.0	2150387
53	77	Undirected	2.0	156332
100	128	Undirected	1.0	169991
25	30	Undirected	7.0	676366
43	77	Undirected	3.0	215530
100	102	Undirected	13.0	8279973
56	76	Undirected	2.0	737221
76	102	Undirected	20.0	26427018
90	93	Undirected	17.0	2205769
37	75	Undirected	6.0	7996491
40	75	Undirected	2.0	3558303
37	83	Undirected	2.0	2058701
38	83	Undirected	2.0	2058701
38	79	Undirected	7.0	1178262
8	114	Undirected	5.0	808266
95	97	Undirected	8.0	774471
6	66	Undirected	1.0	49710
27	135	Undirected	1.0	94143
52	91	Undirected	4.0	214578
62	78	Undirected	1.0	82472
52	68	Undirected	1.0	129844
137	138	Undirected	4.0	584936
75	77	Undirected	2.0	400371
75	138	Undirected	1.0	205553
35	95	Undirected	8.0	2470779
17	24	Undirected	3.0	313717
2	138	Undirected	1.0	187563
4	17	Undirected	1.0	177301
62	63	Undirected	3.0	395305
80	124	Undirected	1.0	600
36	65	Undirected	1.0	53502
102	123	Undirected	12.0	930456
77	123	Undirected	13.0	1387155
30	46	Undirected	2.0	305844
95	102	Undirected	1.0	95575
35	97	Undirected	7.0	612811
8	101	Undirected	3.0	175510
80	97	Undirected	5.0	177156
42	133	Undirected	2.0	311559
17	59	Undirected	1.0	71141
99	110	Undirected	1.0	230458
33	77	Undirected	10.0	35131969
33	78	Undirected	18.0	38569284
69	78	Undirected	2.0	2083924
69	102	Undirected	5.0	3674461
78	102	Undirected	12.0	31559362
33	69	Undirected	2.0	1027120
48	69	Undirected	1.0	966344
48	102	Undirected	11.0	33584965
36	45	Undirected	2.0	507891
36	42	Undirected	3.0	745306
42	45	Undirected	2.0	507891
40	65	Undirected	5.0	951445
40	122	Undirected	4.0	795781
23	79	Undirected	5.0	432572
123	126	Undirected	4.0	505989
47	77	Undirected	2.0	250277
23	38	Undirected	1.0	71763
38	77	Undirected	3.0	1268996
4	76	Undirected	3.0	297604
5	64	Undirected	2.0	307396
36	108	Undirected	1.0	60526
45	83	Undirected	3.0	243319
5	118	Undirected	2.0	51857
33	48	Undirected	4.0	15817855
48	78	Undirected	14.0	24756440
2	35	Undirected	1.0	114962
34	73	Undirected	3.0	299435
67	132	Undirected	4.0	1510289
46	77	Undirected	4.0	496867
48	76	Undirected	8.0	22961041
35	57	Undirected	2.0	2309825
35	82	Undirected	2.0	2309825
57	80	Undirected	2.0	2309825
57	95	Undirected	2.0	2309825
80	95	Undirected	10.0	4881491
82	129	Undirected	2.0	2309825
3	35	Undirected	3.0	2387514
35	129	Undirected	3.0	2360294
80	129	Undirected	2.0	2309825
3	81	Undirected	2.0	2263562
81	95	Undirected	3.0	2287562
34	67	Undirected	1.0	156423
67	139	Undirected	1.0	92650
2	68	Undirected	2.0	369405
38	90	Undirected	1.0	379691
34	65	Undirected	2.0	264829
65	74	Undirected	2.0	471473
52	66	Undirected	2.0	125846
66	83	Undirected	1.0	36021
118	133	Undirected	3.0	256736
7	22	Undirected	6.0	513194
11	76	Undirected	3.0	528749
37	52	Undirected	1.0	48000
31	66	Undirected	2.0	326664
66	137	Undirected	1.0	143956
23	122	Undirected	1.0	144748
60	122	Undirected	1.0	144748
99	116	Undirected	5.0	593109
22	24	Undirected	6.0	594305
53	127	Undirected	1.0	38495
15	123	Undirected	4.0	580782
4	22	Undirected	2.0	177314
11	78	Undirected	4.0	446989
7	11	Undirected	4.0	359062
22	46	Undirected	2.0	257195
76	79	Undirected	10.0	1595326
12	66	Undirected	1.0	114667
8	59	Undirected	5.0	3115095
21	59	Undirected	10.0	4334429
69	76	Undirected	8.0	2309854
52	132	Undirected	3.0	273624
56	77	Undirected	4.0	296203
33	113	Undirected	5.0	1110608
110	128	Undirected	3.0	497196
35	77	Undirected	4.0	434505
73	122	Undirected	2.0	712807
39	75	Undirected	3.0	928197
21	22	Undirected	10.0	5897413
41	97	Undirected	1.0	52668
95	109	Undirected	1.0	52668
35	66	Undirected	1.0	176276
36	54	Undirected	1.0	181246
54	83	Undirected	1.0	181246
104	117	Undirected	6.0	593450
55	121	Undirected	3.0	339231
31	68	Undirected	1.0	77062
48	66	Undirected	8.0	10629050
39	91	Undirected	3.0	810973
78	123	Undirected	9.0	1172251
23	37	Undirected	3.0	81128
2	55	Undirected	4.0	400936
30	91	Undirected	2.0	93758
37	77	Undirected	5.0	1314542
60	98	Undirected	7.0	869116
110	111	Undirected	1.0	345303
111	112	Undirected	2.0	400823
64	75	Undirected	1.0	204770
19	69	Undirected	1.0	144137
39	66	Undirected	1.0	195721
102	116	Undirected	2.0	2261279
48	116	Undirected	6.0	7788813
85	130	Undirected	1.0	52181
36	67	Undirected	4.0	310530
64	129	Undirected	1.0	51943
35	85	Undirected	1.0	50469
85	95	Undirected	1.0	50469
85	124	Undirected	3.0	204395
97	124	Undirected	1.0	50469
124	129	Undirected	1.0	50469
41	44	Undirected	1.0	51697
69	125	Undirected	3.0	1374194
66	95	Undirected	1.0	173280
121	138	Undirected	4.0	570481
23	78	Undirected	2.0	130314
4	91	Undirected	1.0	131194
66	113	Undirected	1.0	545597
54	132	Undirected	1.0	186840
72	101	Undirected	1.0	52230
35	55	Undirected	3.0	226218
77	98	Undirected	1.0	51015
59	69	Undirected	2.0	1790360
5	99	Undirected	1.0	195228
48	86	Undirected	1.0	195228
48	136	Undirected	3.0	8719264
99	136	Undirected	1.0	195228
17	46	Undirected	3.0	328912
52	55	Undirected	4.0	306052
87	98	Undirected	1.0	123512
95	107	Undirected	1.0	6000
57	122	Undirected	4.0	496641
31	33	Undirected	8.0	6353718
43	102	Undirected	3.0	335789
2	103	Undirected	3.0	421251
15	30	Undirected	4.0	473257
8	125	Undirected	2.0	1424307
78	99	Undirected	2.0	876768
59	106	Undirected	2.0	984928
64	134	Undirected	2.0	31836
66	108	Undirected	2.0	291187
22	123	Undirected	1.0	80330
48	110	Undirected	4.0	641335
3	57	Undirected	3.0	2348178
69	75	Undirected	2.0	212766
2	98	Undirected	1.0	72072
59	108	Undirected	2.0	285808
39	55	Undirected	4.0	699664
55	61	Undirected	9.0	1160568
81	122	Undirected	3.0	477187
55	66	Undirected	4.0	1519347
55	68	Undirected	4.0	1519347
45	98	Undirected	1.0	146138
77	100	Undirected	1.0	70309
122	134	Undirected	1.0	132831
33	101	Undirected	1.0	52410
54	125	Undirected	2.0	250204
74	75	Undirected	2.0	1258528
23	105	Undirected	2.0	250515
70	120	Undirected	1.0	21827
95	103	Undirected	1.0	375803
52	99	Undirected	1.0	50743
66	117	Undirected	1.0	182708
74	122	Undirected	1.0	104583
67	118	Undirected	1.0	223145
102	128	Undirected	3.0	1550193
49	52	Undirected	1.0	131705
32	93	Undirected	2.0	312828
102	136	Undirected	1.0	8400685
15	76	Undirected	1.0	79992
4	121	Undirected	3.0	241951
54	74	Undirected	3.0	1237811
54	98	Undirected	9.0	862856
59	76	Undirected	3.0	653709
10	25	Undirected	2.0	82757
66	100	Undirected	3.0	376132
46	52	Undirected	1.0	60008
82	95	Undirected	4.0	2373903
52	59	Undirected	1.0	60881
22	78	Undirected	10.0	1782196
23	100	Undirected	3.0	379895
53	76	Undirected	4.0	518847
42	116	Undirected	4.0	1852161
87	125	Undirected	2.0	222697
87	121	Undirected	2.0	222697
11	69	Undirected	1.0	212797
42	136	Undirected	1.0	134671
36	138	Undirected	1.0	42987
23	77	Undirected	1.0	160499
115	139	Undirected	1.0	68218
33	95	Undirected	3.0	233175
77	79	Undirected	7.0	2084672
25	52	Undirected	1.0	97528
35	71	Undirected	1.0	24000
71	81	Undirected	1.0	24000
6	60	Undirected	1.0	137642
42	66	Undirected	1.0	200750
69	107	Undirected	5.0	5294847
77	108	Undirected	2.0	214740
65	90	Undirected	5.0	697738
1	54	Undirected	1.0	240157
17	31	Undirected	2.0	272562
17	91	Undirected	2.0	112872
31	39	Undirected	1.0	69383
31	61	Undirected	1.0	69383
31	115	Undirected	1.0	69383
39	61	Undirected	5.0	769047
46	115	Undirected	1.0	69383
61	91	Undirected	1.0	69383
61	117	Undirected	1.0	69383
91	117	Undirected	3.0	288813
15	134	Undirected	6.0	1502395
30	59	Undirected	2.0	169305
7	78	Undirected	2.0	97165
74	79	Undirected	3.0	1237811
37	102	Undirected	1.0	386514
77	117	Undirected	5.0	533331
17	106	Undirected	1.0	26274
24	106	Undirected	1.0	26274
52	121	Undirected	1.0	91756
26	98	Undirected	1.0	62625
15	32	Undirected	1.0	952697
32	134	Undirected	1.0	952697
57	136	Undirected	1.0	2250
8	107	Undirected	1.0	3276584
76	97	Undirected	1.0	122433
21	78	Undirected	2.0	347378
