Id,Label,Num,Val
1,acoustics,8,1492933
2,aerodynamics,157,18337451
3,algebra & geometry,268,14900406
4,analytical science,135,22979378
5,artificial intelligence,133,16834515
6,assess/remediate contamination,42,4953719
7,asymmetric chemistry,187,12313075
8,atoms & ions,224,46364062
9,bioelectronic devices,1,49679
10,bioenergy,5,562963
11,biological & medicinal chem.,211,25235606
12,biomaterials,106,28736961
13,bioprocess engineering,2,893176
14,building ops & management,190,17788250
15,carbohydrate chemistry,24,1920505
16,catalysis & applied catalysis,288,41348790
17,catalysis & enzymology,1,104794
18,cells,2,727467
19,chemical biology,1,104794
20,chemical structure,253,40453029
21,chemical synthetic methodology,470,51412325
22,civil engineering materials,294,25079586
23,co-ordination chemistry,68,6228805
24,coal technology,23,1844856
25,coastal & waterway engineering,134,13981192
26,cognitive science appl. in ict,48,4200498
27,cold atomic species,3,480395
28,combinatorial chemistry,30,31979080
29,combustion,230,25241206
30,complex fluids & soft solids,181,25507581
31,computer graphics & visual.,21,3943981
32,condensed matter physics,372,95053530
33,construction ops & management,155,16333438
34,continuum mechanics,149,9277276
35,control engineering,144,17376770
36,design & testing technology,203,41945562
37,design engineering,201,36814905
38,design of process systems,121,34608994
39,design processes,102,23411382
40,development (biosciences),3,156308
41,digital signal processing,182,22004380
42,displays,29,4170045
43,drug formulation & delivery,1,51697
44,electric motor & drive systems,92,12038073
45,electrochemical science & eng.,129,15001993
46,electromagnetics,25,3082744
47,electronic devices & subsys.,131,66679316
48,energy - conventional,8,1599229
49,energy - nuclear,4,348634
50,energy efficiency,80,9621048
51,energy storage,28,3824556
52,eng. dynamics & tribology,268,29145433
53,fluid dynamics,121,14296939
54,fuel cell technologies,44,5698208
55,fundamentals of computing,197,21206545
56,gas & solution phase reactions,116,18223275
57,ground engineering,133,11986760
58,heat & mass transfer,73,7483859
59,human communication in ict,117,16907508
60,human-computer interactions,116,13686888
61,image & vision computing,227,31233662
62,information & knowledge mgmt,167,20543912
63,instrumentation eng. & dev.,479,86796767
64,intelligent & expert systems,49,6395361
65,intelligent measurement sys.,68,8550439
66,lasers & optics,183,40701092
67,light-matter interactions,2,173047
68,logic & combinatorics,58,1774069
69,magnetism/magnetic phenomena,116,10388905
70,manufact. business strategy,161,20137296
71,manufact. enterprise ops& mgmt,134,19340531
72,manufacturing machine & plant,125,31421846
73,materials characterisation,1437,250687834
74,materials processing,748,203166413
75,materials synthesis & growth,628,145266958
76,materials testing & eng.,188,28185972
77,mathematical analysis,212,10058459
78,mathematical aspects of or,37,5061582
79,mathematical physics,90,5859517
80,mech. & fluid power transmiss.,32,6860993
81,med.instrument.device& equip.,12,2352888
82,medical science & disease,4,256576
83,microsystems,6,732237
84,mining & minerals extraction,14,1292033
85,mobile computing,1,1500000
86,modelling & simul. of it sys.,1,51943
87,multimedia,56,7560581
88,multiphase flow,128,14152281
89,music & acoustic technology,3,535230
90,networks & distributed systems,228,28072961
91,non-linear systems mathematics,196,14789767
92,nuclear structure,105,56485878
93,numerical analysis,137,7901228
94,oil & gas extraction,93,11019413
95,optical communications,113,26182578
96,optical devices & subsystems,141,32936520
97,optical phenomena,34,4493384
98,optoelect. devices & circuits,264,105673619
99,parallel computing,143,19450475
100,particle technology,135,16776482
101,pavement engineering,25,2628005
102,physical organic chemistry,46,4441567
103,plasmas - laser & fusion,59,12421790
104,plasmas - technological,56,6505639
105,population ecology,1,52668
106,power electronics,41,5666961
107,power sys man, prot & control,44,5110041
108,power systems plant,39,4760209
109,quantum fluids & solids,57,9503058
110,quantum optics & information,8,1372472
111,reactor engineering,23,2635800
112,rf & microwave technology,184,31149929
113,rheology,50,5332002
114,robotics & autonomy,65,8514063
115,safety & reliability of plant,33,3330300
116,scattering & spectroscopy,7,1743101
117,separation processes,150,15390746
118,software engineering,279,35721229
119,solar technology,65,8448834
120,statistics & appl. probability,167,9415713
121,surfaces & interfaces,272,64912950
122,sustainable energy networks,4,505989
123,sustainable energy vectors,3,250025
124,system on chip,33,6091931
125,theoretical biology,7,2621923
126,tissue engineering,6,4297807
127,tools for the biosciences,1,131372
128,transport ops & management,185,16336183
129,underwater engineering,25,2526036
130,urban & land management,75,9099271
131,vision & senses - ict appl.,33,3475973
132,vlsi design,49,14850916
133,waste management,42,4825299
134,waste minimisation,108,13960979
135,water engineering,125,12927527
136,wind power,17,1563905
