Id	Label	Num	Val
1	acoustics	8	1492933	
2	aerodynamics	157	18337451	
3	algebra & geometry	268	14900406	
4	analytical science	135	22979378	
5	artificial intelligence	133	16834515	
6	assess/remediate contamination	42	4953719	
7	asymmetric chemistry	187	12313075	
8	atoms & ions	224	46364062	
9	bioenergy	5	562963	
10	biological & medicinal chem.	211	25235606	
11	biomaterials	106	28736961	
12	biomechanics & rehabilitation	2	208246	
13	bioprocess engineering	2	893176	
14	building ops & management	190	17788250	
15	carbohydrate chemistry	24	1920505	
16	catalysis & applied catalysis	288	41348790	
17	cells	2	727467	
18	chemical structure	253	40453029	
19	chemical synthetic methodology	470	51412325	
20	civil engineering materials	294	25079586	
21	co-ordination chemistry	68	6228805	
22	coal technology	23	1844856	
23	coastal & waterway engineering	134	13981192	
24	cognitive science appl. in ict	48	4200498	
25	cold atomic species	3	480395	
26	combinatorial chemistry	30	31979080	
27	combustion	230	25241206	
28	complex fluids & soft solids	181	25507581	
29	computer graphics & visual.	21	3943981	
30	condensed matter physics	372	95053530	
31	construction ops & management	155	16333438	
32	continuum mechanics	149	9277276	
33	control engineering	144	17376770	
34	design & testing technology	203	41945562	
35	design engineering	201	36814905	
36	design of process systems	121	34608994	
37	design processes	102	23411382	
38	development (biosciences)	3	156308	
39	digital signal processing	182	22004380	
40	displays	29	4170045	
41	electric motor & drive systems	92	12038073	
42	electrochemical science & eng.	129	15001993	
43	electromagnetics	25	3082744	
44	electronic devices & subsys.	131	66679316	
45	energy - conventional	8	1599229	
46	energy - marine & hydropower	2	178248	
47	energy - nuclear	4	348634	
48	energy efficiency	80	9621048	
49	energy storage	28	3824556	
50	eng. dynamics & tribology	268	29145433	
51	fluid dynamics	121	14296939	
52	fuel cell technologies	44	5698208	
53	fundamentals of computing	197	21206545	
54	gas & solution phase reactions	116	18223275	
55	ground engineering	133	11986760	
56	heat & mass transfer	73	7483859	
57	human communication in ict	117	16907508	
58	human-computer interactions	116	13686888	
59	image & vision computing	227	31233662	
60	information & knowledge mgmt	167	20543912	
61	instrumentation eng. & dev.	479	86796767	
62	intelligent & expert systems	49	6395361	
63	intelligent measurement sys.	68	8550439	
64	lasers & optics	183	40701092	
65	light-matter interactions	2	173047	
66	logic & combinatorics	58	1774069	
67	magnetism/magnetic phenomena	116	10388905	
68	manufact. business strategy	161	20137296	
69	manufact. enterprise ops& mgmt	134	19340531	
70	manufacturing machine & plant	125	31421846	
71	materials characterisation	1437	250687834	
72	materials processing	748	203166413	
73	materials synthesis & growth	628	145266958	
74	materials testing & eng.	188	28185972	
75	mathematical analysis	212	10058459	
76	mathematical aspects of or	37	5061582	
77	mathematical physics	90	5859517	
78	mech. & fluid power transmiss.	32	6860993	
79	med.instrument.device& equip.	12	2352888	
80	medical science & disease	4	256576	
81	microsystems	6	732237	
82	mining & minerals extraction	14	1292033	
83	multimedia	56	7560581	
84	multiphase flow	128	14152281	
85	music & acoustic technology	3	535230	
86	networks & distributed systems	228	28072961	
87	new & emerging comp. paradigms	10	717602	
88	non-linear systems mathematics	196	14789767	
89	nuclear structure	105	56485878	
90	numerical analysis	137	7901228	
91	oil & gas extraction	93	11019413	
92	optical communications	113	26182578	
93	optical devices & subsystems	141	32936520	
94	optical phenomena	34	4493384	
95	optoelect. devices & circuits	264	105673619	
96	parallel computing	143	19450475	
97	particle technology	135	16776482	
98	pavement engineering	25	2628005	
99	physical organic chemistry	46	4441567	
100	plasmas - laser & fusion	59	12421790	
101	plasmas - technological	56	6505639	
102	power electronics	41	5666961	
103	power sys man, prot & control	44	5110041	
104	power systems plant	39	4760209	
105	quantum fluids & solids	57	9503058	
106	quantum optics & information	8	1372472	
107	reactor engineering	23	2635800	
108	rf & microwave technology	184	31149929	
109	rheology	50	5332002	
110	robotics & autonomy	65	8514063	
111	safety & reliability of plant	33	3330300	
112	scattering & spectroscopy	7	1743101	
113	separation processes	150	15390746	
114	software engineering	279	35721229	
115	solar technology	65	8448834	
116	statistics & appl. probability	167	9415713	
117	surfaces & interfaces	272	64912950	
118	sustainable energy networks	4	505989	
119	sustainable energy vectors	3	250025	
120	system on chip	33	6091931	
121	theoretical biology	7	2621923	
122	tissue engineering	6	4297807	
123	transport ops & management	185	16336183	
124	underwater engineering	25	2526036	
125	urban & land management	75	9099271	
126	vision & senses - ict appl.	33	3475973	
127	vlsi design	49	14850916	
128	waste management	42	4825299	
129	waste minimisation	108	13960979	
130	water engineering	125	12927527	
131	wind power	17	1563905	
