Id	Label	Num
1	accelerator r&d	2
2	acoustics	28
3	aerodynamics	55
4	algebra & geometry	51
5	analytical science	70
6	applied arts htp	2
7	artificial intelligence	82
8	asymmetric chemistry	9
9	atoms & ions	6
10	biochemical engineering	9
11	bioelectronic devices	13
12	bioenergy	26
13	bioinformatics	12
14	biological & medicinal chem.	17
15	biomaterials	58
16	biomechanics & rehabilitation	31
17	biomedical neuroscience	7
18	bionanoscience	2
19	biophysics	45
20	bioprocess engineering	13
21	building ops & management	39
22	carbon capture & storage	33
23	catalysis & applied catalysis	90
24	catalysis & enzymology	2
25	chemical biology	21
26	chemical structure	54
27	chemical synthetic methodology	51
28	civil engineering materials	24
29	climate & climate change	4
30	co-ordination chemistry	24
31	coastal & waterway engineering	21
32	cognitive science appl. in ict	4
33	cold atomic species	8
34	combustion	48
35	complex fluids & soft solids	59
36	complexity science	42
37	composition	3
38	comput./corpus linguistics	3
39	computational linguistics	2
40	computer graphics & visual.	28
41	computer sys. & architecture	39
42	condensed matter physics	65
43	construction ops & management	17
44	continuum mechanics	67
45	control engineering	45
46	criminal law & criminology	2
47	criminology	3
48	design & testing technology	59
49	design engineering	42
50	design of process systems	74
51	design processes	17
52	developmental psychology	2
53	digital art & design	4
54	digital arts htp	3
55	digital signal processing	60
56	displays	5
57	drug formulation & delivery	31
58	economics	7
59	education	7
60	electric motor & drive systems	16
61	electrochemical science & eng.	31
62	electromagnetics	7
63	electronic devices & subsys.	100
64	energy - conventional	36
65	energy - marine & hydropower	29
66	energy - nuclear	56
67	energy efficiency	109
68	energy storage	66
69	eng. dynamics & tribology	44
70	environmental economics	2
71	environmental planning	6
72	fluid dynamics	46
73	food processing	3
74	food structure/composition	4
75	fuel cell technologies	47
76	fundamentals of computing	76
77	fusion	9
78	gas & solution phase reactions	65
79	genomics	7
80	ground engineering	33
81	heat & mass transfer	44
82	high performance computing	36
83	human communication in ict	26
84	human geography (general)	6
85	human-computer interactions	88
86	image & vision computing	67
87	information & knowledge mgmt	108
88	instrumentation eng. & dev.	75
89	intelligent & expert systems	10
90	knowledge management	2
91	land - ocean interactions	4
92	lasers & optics	41
93	light-matter interactions	18
94	logic & combinatorics	31
95	macroeconomics	3
96	magnetism/magnetic phenomena	56
97	management & business studies	20
98	manufact. business strategy	12
99	manufact. enterprise ops& mgmt	96
100	manufacturing machine & plant	202
101	marketing	2
102	materials characterisation	206
103	materials processing	118
104	materials synthesis & growth	194
105	materials testing & eng.	67
106	mathematical analysis	44
107	mathematical aspects of or	20
108	mathematical physics	37
109	med.instrument.device& equip.	102
110	media & communication studies	5
111	medical imaging	43
112	medical science & disease	37
113	microsystems	63
114	mobile computing	36
115	modelling & simul. of it sys.	9
116	multimedia	12
117	multiphase flow	25
118	music & acoustic technology	11
119	musical performance	3
120	networks & distributed systems	96
121	new & emerging comp. paradigms	5
122	new media/web-based studies	8
123	non-linear systems mathematics	60
124	novel industrial products	2
125	numerical analysis	59
126	oil & gas extraction	8
127	optical communications	31
128	optical devices & subsystems	68
129	optical phenomena	21
130	optoelect. devices & circuits	92
131	organisational studies	3
132	parallel computing	14
133	particle technology	32
134	pavement engineering	4
135	physical organic chemistry	22
136	plasmas - laser & fusion	26
137	plasmas - technological	10
138	political geography	3
139	population ecology	3
140	power electronics	7
141	power sys man, prot & control	8
142	power systems plant	19
143	psychology	9
144	quantum fluids & solids	16
145	quantum optics & information	46
146	reactor engineering	25
147	rf & microwave technology	57
148	rheology	5
149	robotics & autonomy	56
150	scattering & spectroscopy	8
151	science & technology studies	5
152	separation processes	28
153	social anthropology	3
154	social psychology	3
155	social stats., comp. & methods	7
156	sociology	6
157	software engineering	63
158	soil science	3
159	solar technology	61
160	statistics & appl. probability	91
161	structural engineering	32
162	surfaces & interfaces	45
163	sustainable energy networks	84
164	sustainable energy vectors	45
165	synthetic biology	20
166	system on chip	4
167	theoretical biology	9
168	time-based media htp	2
169	tissue engineering	36
170	transport ops & management	47
171	underwater engineering	3
172	urban & land management	55
173	vision & senses - ict appl.	17
174	vlsi design	4
175	waste management	9
176	waste minimisation	4
177	water engineering	40
178	wind power	17
