Source	Target	Type	Weight
43	54	Undirected	7.0
54	74	Undirected	8.0
44	162	Undirected	6.0
87	124	Undirected	1.0
87	164	Undirected	1.0
124	163	Undirected	1.0
124	200	Undirected	32.0
163	200	Undirected	1.0
59	144	Undirected	14.0
59	179	Undirected	26.0
144	179	Undirected	11.0
26	52	Undirected	16.0
26	98	Undirected	18.0
26	212	Undirected	39.0
52	98	Undirected	10.0
52	212	Undirected	16.0
81	199	Undirected	15.0
98	199	Undirected	24.0
199	212	Undirected	20.0
6	52	Undirected	1.0
6	98	Undirected	2.0
6	199	Undirected	1.0
26	107	Undirected	6.0
52	81	Undirected	13.0
81	98	Undirected	11.0
107	199	Undirected	1.0
35	98	Undirected	13.0
35	212	Undirected	8.0
98	212	Undirected	27.0
14	59	Undirected	11.0
14	116	Undirected	2.0
14	122	Undirected	6.0
25	26	Undirected	3.0
25	91	Undirected	4.0
25	121	Undirected	11.0
25	217	Undirected	2.0
26	91	Undirected	17.0
26	121	Undirected	4.0
26	217	Undirected	24.0
59	116	Undirected	3.0
59	122	Undirected	51.0
91	116	Undirected	1.0
91	122	Undirected	9.0
116	121	Undirected	4.0
116	217	Undirected	1.0
121	217	Undirected	7.0
6	14	Undirected	1.0
6	29	Undirected	15.0
6	34	Undirected	25.0
6	91	Undirected	6.0
6	204	Undirected	3.0
14	26	Undirected	15.0
14	34	Undirected	1.0
14	91	Undirected	15.0
14	217	Undirected	15.0
26	34	Undirected	1.0
26	204	Undirected	2.0
29	34	Undirected	20.0
29	91	Undirected	22.0
29	204	Undirected	11.0
32	34	Undirected	8.0
32	91	Undirected	2.0
32	204	Undirected	6.0
34	60	Undirected	2.0
34	107	Undirected	10.0
34	217	Undirected	2.0
60	107	Undirected	4.0
60	217	Undirected	3.0
91	204	Undirected	14.0
107	204	Undirected	3.0
204	217	Undirected	16.0
14	25	Undirected	7.0
14	60	Undirected	4.0
19	29	Undirected	14.0
19	59	Undirected	11.0
19	121	Undirected	17.0
25	29	Undirected	6.0
25	59	Undirected	23.0
29	32	Undirected	11.0
29	121	Undirected	27.0
32	59	Undirected	3.0
32	121	Undirected	3.0
59	60	Undirected	7.0
60	121	Undirected	14.0
121	122	Undirected	129.0
116	202	Undirected	1.0
24	51	Undirected	29.0
24	118	Undirected	23.0
51	100	Undirected	21.0
51	196	Undirected	21.0
100	196	Undirected	21.0
33	34	Undirected	25.0
33	124	Undirected	32.0
34	37	Undirected	20.0
34	126	Undirected	35.0
37	126	Undirected	18.0
59	160	Undirected	28.0
67	213	Undirected	21.0
124	126	Undirected	242.0
29	59	Undirected	71.0
29	81	Undirected	7.0
29	99	Undirected	45.0
29	125	Undirected	17.0
29	140	Undirected	40.0
34	59	Undirected	6.0
34	81	Undirected	2.0
34	99	Undirected	2.0
34	122	Undirected	3.0
34	140	Undirected	5.0
34	204	Undirected	5.0
59	94	Undirected	44.0
59	121	Undirected	34.0
59	204	Undirected	10.0
75	94	Undirected	8.0
75	121	Undirected	7.0
75	125	Undirected	7.0
75	140	Undirected	8.0
75	204	Undirected	2.0
81	99	Undirected	25.0
81	122	Undirected	24.0
81	126	Undirected	16.0
81	157	Undirected	4.0
94	99	Undirected	43.0
94	122	Undirected	8.0
94	126	Undirected	20.0
94	157	Undirected	3.0
99	121	Undirected	8.0
99	125	Undirected	4.0
99	140	Undirected	45.0
99	204	Undirected	4.0
121	126	Undirected	39.0
121	157	Undirected	14.0
122	125	Undirected	140.0
122	140	Undirected	15.0
122	204	Undirected	8.0
125	140	Undirected	4.0
125	204	Undirected	3.0
126	157	Undirected	44.0
140	157	Undirected	14.0
157	204	Undirected	2.0
77	122	Undirected	64.0
121	125	Undirected	69.0
37	59	Undirected	1.0
37	99	Undirected	1.0
59	99	Undirected	47.0
29	37	Undirected	13.0
103	106	Undirected	102.0
103	127	Undirected	5.0
104	106	Undirected	23.0
104	127	Undirected	24.0
106	122	Undirected	26.0
106	133	Undirected	36.0
122	133	Undirected	33.0
21	133	Undirected	10.0
42	114	Undirected	14.0
42	185	Undirected	3.0
114	185	Undirected	10.0
24	100	Undirected	20.0
51	118	Undirected	74.0
100	178	Undirected	2.0
118	196	Undirected	20.0
17	208	Undirected	9.0
80	124	Undirected	27.0
122	126	Undirected	72.0
124	125	Undirected	106.0
125	126	Undirected	68.0
126	155	Undirected	29.0
155	200	Undirected	4.0
19	82	Undirected	15.0
19	91	Undirected	15.0
19	122	Undirected	33.0
19	153	Undirected	13.0
28	82	Undirected	24.0
28	91	Undirected	22.0
28	122	Undirected	12.0
28	127	Undirected	18.0
28	208	Undirected	13.0
82	91	Undirected	24.0
82	122	Undirected	19.0
82	127	Undirected	14.0
82	208	Undirected	13.0
83	107	Undirected	14.0
83	124	Undirected	23.0
83	153	Undirected	13.0
91	107	Undirected	15.0
91	153	Undirected	13.0
107	122	Undirected	16.0
107	127	Undirected	27.0
107	208	Undirected	17.0
122	127	Undirected	56.0
124	127	Undirected	50.0
124	208	Undirected	28.0
127	208	Undirected	13.0
6	19	Undirected	7.0
6	35	Undirected	3.0
6	69	Undirected	7.0
6	82	Undirected	6.0
6	90	Undirected	3.0
6	104	Undirected	8.0
6	121	Undirected	5.0
6	126	Undirected	26.0
6	133	Undirected	19.0
6	162	Undirected	5.0
19	28	Undirected	15.0
19	69	Undirected	19.0
19	83	Undirected	13.0
19	104	Undirected	5.0
19	124	Undirected	52.0
19	133	Undirected	48.0
19	208	Undirected	50.0
28	58	Undirected	2.0
28	80	Undirected	3.0
28	90	Undirected	2.0
28	104	Undirected	3.0
28	121	Undirected	8.0
28	126	Undirected	19.0
28	153	Undirected	13.0
29	58	Undirected	3.0
29	80	Undirected	16.0
29	83	Undirected	3.0
29	94	Undirected	60.0
29	126	Undirected	48.0
29	162	Undirected	17.0
35	58	Undirected	1.0
35	80	Undirected	3.0
35	83	Undirected	4.0
35	91	Undirected	5.0
35	104	Undirected	4.0
35	121	Undirected	2.0
35	126	Undirected	4.0
35	133	Undirected	3.0
35	162	Undirected	2.0
58	69	Undirected	1.0
58	82	Undirected	3.0
58	90	Undirected	2.0
58	94	Undirected	1.0
58	107	Undirected	2.0
58	124	Undirected	5.0
58	127	Undirected	4.0
58	153	Undirected	1.0
58	208	Undirected	1.0
69	82	Undirected	1.0
69	90	Undirected	1.0
69	94	Undirected	2.0
69	107	Undirected	6.0
69	124	Undirected	22.0
69	127	Undirected	1.0
69	153	Undirected	1.0
69	208	Undirected	21.0
80	83	Undirected	3.0
80	91	Undirected	4.0
80	104	Undirected	3.0
80	121	Undirected	6.0
80	127	Undirected	13.0
80	153	Undirected	1.0
80	208	Undirected	1.0
82	90	Undirected	2.0
82	104	Undirected	3.0
82	121	Undirected	6.0
82	126	Undirected	16.0
82	153	Undirected	13.0
83	91	Undirected	13.0
83	121	Undirected	10.0
83	127	Undirected	33.0
83	208	Undirected	13.0
90	104	Undirected	3.0
90	121	Undirected	2.0
90	126	Undirected	1.0
90	133	Undirected	3.0
90	162	Undirected	2.0
91	94	Undirected	12.0
91	121	Undirected	10.0
91	127	Undirected	13.0
91	208	Undirected	14.0
94	121	Undirected	10.0
94	133	Undirected	2.0
94	162	Undirected	13.0
104	107	Undirected	24.0
104	124	Undirected	5.0
104	133	Undirected	18.0
104	208	Undirected	8.0
107	124	Undirected	28.0
107	153	Undirected	13.0
121	127	Undirected	17.0
121	153	Undirected	3.0
121	208	Undirected	8.0
124	153	Undirected	13.0
126	133	Undirected	22.0
126	162	Undirected	9.0
127	133	Undirected	15.0
133	153	Undirected	4.0
133	208	Undirected	40.0
153	208	Undirected	13.0
24	124	Undirected	29.0
67	104	Undirected	22.0
67	155	Undirected	25.0
104	147	Undirected	30.0
104	155	Undirected	7.0
147	154	Undirected	19.0
147	182	Undirected	46.0
154	182	Undirected	15.0
9	104	Undirected	57.0
9	182	Undirected	20.0
9	103	Undirected	83.0
9	141	Undirected	29.0
103	104	Undirected	44.0
103	147	Undirected	58.0
104	141	Undirected	10.0
133	141	Undirected	4.0
133	182	Undirected	3.0
141	182	Undirected	10.0
77	124	Undirected	33.0
77	157	Undirected	37.0
122	124	Undirected	62.0
19	126	Undirected	40.0
26	57	Undirected	17.0
26	147	Undirected	9.0
26	184	Undirected	15.0
57	147	Undirected	2.0
57	184	Undirected	19.0
67	147	Undirected	23.0
67	212	Undirected	1.0
147	212	Undirected	16.0
182	212	Undirected	1.0
61	133	Undirected	3.0
113	127	Undirected	11.0
34	162	Undirected	7.0
162	187	Undirected	2.0
6	107	Undirected	42.0
45	133	Undirected	13.0
45	150	Undirected	25.0
107	133	Undirected	26.0
107	152	Undirected	2.0
133	150	Undirected	13.0
136	150	Undirected	11.0
150	152	Undirected	80.0
33	94	Undirected	14.0
51	177	Undirected	16.0
118	177	Undirected	13.0
15	57	Undirected	2.0
15	77	Undirected	13.0
15	126	Undirected	1.0
15	155	Undirected	10.0
15	157	Undirected	13.0
57	68	Undirected	2.0
57	113	Undirected	5.0
57	154	Undirected	2.0
57	156	Undirected	2.0
57	182	Undirected	3.0
68	126	Undirected	1.0
68	155	Undirected	8.0
68	157	Undirected	8.0
77	113	Undirected	12.0
77	154	Undirected	13.0
77	156	Undirected	6.0
113	126	Undirected	7.0
113	155	Undirected	37.0
113	157	Undirected	30.0
126	154	Undirected	6.0
126	182	Undirected	23.0
154	156	Undirected	7.0
155	156	Undirected	21.0
155	182	Undirected	16.0
157	182	Undirected	8.0
3	53	Undirected	26.0
43	53	Undirected	12.0
53	100	Undirected	12.0
6	33	Undirected	26.0
6	157	Undirected	17.0
