Id,Label,Num
1,accelerator r&d,4
2,acoustics,55
3,aerodynamics,105
4,ageing: chemistry/biochemistry,1
5,algebra & geometry,112
6,analytical science,139
7,animal organisms,1
8,applied arts htp,2
9,artificial intelligence,188
10,assess/remediate contamination,10
11,asymmetric chemistry,14
12,atoms & ions,12
13,behavioural & experimental eco,1
14,biochemical engineering,20
15,bioelectronic devices,17
16,bioenergy,63
17,bioinformatics,22
18,biological & medicinal chem.,32
19,biomaterials,124
20,biomechanics & rehabilitation,83
21,biomedical neuroscience,24
22,biomedical sciences,2
23,bionanoscience,4
24,biophysics,81
25,bioprocess engineering,32
26,building ops & management,88
27,carbohydrate chemistry,1
28,carbon capture & storage,79
29,catalysis & applied catalysis,184
30,catalysis & enzymology,2
31,cells,2
32,chemical biology,45
33,chemical structure,93
34,chemical synthetic methodology,82
35,civil engineering materials,41
36,climate & climate change,8
37,co-ordination chemistry,47
38,coal technology,1
39,coastal & waterway engineering,43
40,cognitive psychology,5
41,cognitive science appl. in ict,10
42,cold atomic species,24
43,combustion,94
44,complex fluids & soft solids,104
45,complexity science,95
46,composition,3
47,comput./corpus linguistics,7
48,computational linguistics,2
49,computer graphics & visual.,65
50,computer sys. & architecture,80
51,condensed matter physics,118
52,construction ops & management,29
53,continuum mechanics,110
54,control engineering,88
55,criminal law & criminology,6
56,criminology,7
57,design & testing technology,107
58,design engineering,91
59,design of process systems,133
60,design processes,45
61,development (biosciences),3
62,development geography,1
63,developmental psychology,2
64,diamond light source,3
65,digital art & design,4
66,digital arts htp,3
67,digital signal processing,107
68,displays,8
69,drug formulation & delivery,68
70,earth & environmental,1
71,earth engineering,4
72,economics,11
73,education,12
74,electric motor & drive systems,28
75,electrochemical science & eng.,48
76,electromagnetics,13
77,electronic devices & subsys.,169
78,energy - conventional,55
79,energy - marine & hydropower,43
80,energy - nuclear,111
81,energy efficiency,211
82,energy storage,118
83,eng. dynamics & tribology,71
84,environment & health,2
85,environmental economics,3
86,environmental planning,17
87,evolution & populations,1
88,fluid dynamics,84
89,food processing,9
90,food structure/composition,8
91,fuel cell technologies,93
92,fundamentals of computing,178
93,fusion,24
94,gas & solution phase reactions,101
95,genomics,10
96,geohazards,2
97,governance,2
98,ground engineering,74
99,heat & mass transfer,80
100,high performance computing,67
101,human communication in ict,43
102,human geography (general),17
103,human-computer interactions,189
104,image & vision computing,130
105,industrial-org/occupational,3
106,information & knowledge mgmt,248
107,instrumentation eng. & dev.,129
108,intelligent & expert systems,15
109,international law,1
110,international relations theory,1
111,knowledge management,4
112,land - ocean interactions,8
113,lasers & optics,68
114,light-matter interactions,40
115,logic & combinatorics,57
116,macro-molecular delivery,6
117,macroeconomics,5
118,magnetism/magnetic phenomena,98
119,management & business studies,42
120,manufact. business strategy,14
121,manufact. enterprise ops& mgmt,194
122,manufacturing machine & plant,371
123,marketing,4
124,materials characterisation,403
125,materials processing,219
126,materials synthesis & growth,381
127,materials testing & eng.,121
128,mathematical & statistic psych,3
129,mathematical analysis,81
130,mathematical aspects of or,41
131,mathematical physics,72
132,mech. & fluid power transmiss.,2
133,med.instrument.device& equip.,229
134,media & communication studies,6
135,medical imaging,100
136,medical science & disease,76
137,mental health,1
138,microbiology,1
139,microeconomic theory,2
140,microsystems,115
141,mobile computing,73
142,modelling & simul. of it sys.,30
143,multimedia,16
144,multiphase flow,43
145,music & acoustic technology,26
146,musical performance,3
147,networks & distributed systems,191
148,new & emerging comp. paradigms,9
149,new media/web-based studies,9
150,non-linear systems mathematics,116
151,novel industrial products,3
152,numerical analysis,117
153,oil & gas extraction,13
154,optical communications,56
155,optical devices & subsystems,116
156,optical phenomena,32
157,optoelect. devices & circuits,156
158,organisational studies,11
159,parallel computing,21
160,particle technology,55
161,pavement engineering,3
162,physical organic chemistry,44
163,plant physiology,1
164,plant responses to environment,1
165,plasmas - laser & fusion,49
166,plasmas - technological,22
167,political geography,7
168,pollution,2
169,population ecology,7
170,power electronics,8
171,power sys man, prot & control,17
172,power systems plant,27
173,product design,1
174,protein chemistry,1
175,protein folding / misfolding,3
176,psychology,18
177,quantum fluids & solids,25
178,quantum optics & information,90
179,reactor engineering,37
180,regional & extreme weather,1
181,research approaches,1
182,rf & microwave technology,114
183,rheology,11
184,robotics & autonomy,112
185,scattering & spectroscopy,11
186,science & technology studies,8
187,separation processes,36
188,social anthropology,4
189,social policy,4
190,social psychology,9
191,social stats., comp. & methods,12
192,social theory,1
193,sociology,17
194,software engineering,118
195,soil science,4
196,solar technology,109
197,statistics & appl. probability,181
198,structural biology,1
199,structural engineering,58
200,surfaces & interfaces,67
201,survey & monitoring,2
202,sustainable energy networks,152
203,sustainable energy vectors,73
204,synthetic biology,59
205,system on chip,9
206,theoretical biology,15
207,time-based media htp,2
208,tissue engineering,77
209,tools for the biosciences,1
210,transport ops & management,83
211,underwater engineering,5
212,urban & land management,124
213,vision & senses - ict appl.,41
214,vlsi design,12
215,waste management,16
216,waste minimisation,10
217,water engineering,85
218,wind power,31
