Id	Label	Num
1	accelerator r&d	4
2	acoustics	55
3	aerodynamics	105
4	algebra & geometry	112
5	analytical science	139
6	applied arts htp	2
7	artificial intelligence	188
8	assess/remediate contamination	10
9	asymmetric chemistry	14
10	atoms & ions	12
11	biochemical engineering	20
12	bioelectronic devices	17
13	bioenergy	63
14	bioinformatics	22
15	biological & medicinal chem.	32
16	biomaterials	124
17	biomechanics & rehabilitation	83
18	biomedical neuroscience	24
19	biomedical sciences	2
20	bionanoscience	4
21	biophysics	81
22	bioprocess engineering	32
23	building ops & management	88
24	carbon capture & storage	79
25	catalysis & applied catalysis	184
26	catalysis & enzymology	2
27	cells	2
28	chemical biology	45
29	chemical structure	93
30	chemical synthetic methodology	82
31	civil engineering materials	41
32	climate & climate change	8
33	co-ordination chemistry	47
34	coastal & waterway engineering	43
35	cognitive psychology	5
36	cognitive science appl. in ict	10
37	cold atomic species	24
38	combustion	94
39	complex fluids & soft solids	104
40	complexity science	95
41	composition	3
42	comput./corpus linguistics	7
43	computational linguistics	2
44	computer graphics & visual.	65
45	computer sys. & architecture	80
46	condensed matter physics	118
47	construction ops & management	29
48	continuum mechanics	110
49	control engineering	88
50	criminal law & criminology	6
51	criminology	7
52	design & testing technology	107
53	design engineering	91
54	design of process systems	133
55	design processes	45
56	development (biosciences)	3
57	developmental psychology	2
58	diamond light source	3
59	digital art & design	4
60	digital arts htp	3
61	digital signal processing	107
62	displays	8
63	drug formulation & delivery	68
64	earth engineering	4
65	economics	11
66	education	12
67	electric motor & drive systems	28
68	electrochemical science & eng.	48
69	electromagnetics	13
70	electronic devices & subsys.	169
71	energy - conventional	55
72	energy - marine & hydropower	43
73	energy - nuclear	111
74	energy efficiency	211
75	energy storage	118
76	eng. dynamics & tribology	71
77	environment & health	2
78	environmental economics	3
79	environmental planning	17
80	fluid dynamics	84
81	food processing	9
82	food structure/composition	8
83	fuel cell technologies	93
84	fundamentals of computing	178
85	fusion	24
86	gas & solution phase reactions	101
87	genomics	10
88	geohazards	2
89	governance	2
90	ground engineering	74
91	heat & mass transfer	80
92	high performance computing	67
93	human communication in ict	43
94	human geography (general)	17
95	human-computer interactions	189
96	image & vision computing	130
97	industrial-org/occupational	3
98	information & knowledge mgmt	248
99	instrumentation eng. & dev.	129
100	intelligent & expert systems	15
101	knowledge management	4
102	land - ocean interactions	8
103	lasers & optics	68
104	light-matter interactions	40
105	logic & combinatorics	57
106	macro-molecular delivery	6
107	macroeconomics	5
108	magnetism/magnetic phenomena	98
109	management & business studies	42
110	manufact. business strategy	14
111	manufact. enterprise ops& mgmt	194
112	manufacturing machine & plant	371
113	marketing	4
114	materials characterisation	403
115	materials processing	219
116	materials synthesis & growth	381
117	materials testing & eng.	121
118	mathematical & statistic psych	3
119	mathematical analysis	81
120	mathematical aspects of or	41
121	mathematical physics	72
122	mech. & fluid power transmiss.	2
123	med.instrument.device& equip.	229
124	media & communication studies	6
125	medical imaging	100
126	medical science & disease	76
127	microeconomic theory	2
128	microsystems	115
129	mobile computing	73
130	modelling & simul. of it sys.	30
131	multimedia	16
132	multiphase flow	43
133	music & acoustic technology	26
134	musical performance	3
135	networks & distributed systems	191
136	new & emerging comp. paradigms	9
137	new media/web-based studies	9
138	non-linear systems mathematics	116
139	novel industrial products	3
140	numerical analysis	117
141	oil & gas extraction	13
142	optical communications	56
143	optical devices & subsystems	116
144	optical phenomena	32
145	optoelect. devices & circuits	156
146	organisational studies	11
147	parallel computing	21
148	particle technology	55
149	pavement engineering	3
150	physical organic chemistry	44
151	plasmas - laser & fusion	49
152	plasmas - technological	22
153	political geography	7
154	pollution	2
155	population ecology	7
156	power electronics	8
157	power sys man, prot & control	17
158	power systems plant	27
159	protein folding / misfolding	3
160	psychology	18
161	quantum fluids & solids	25
162	quantum optics & information	90
163	reactor engineering	37
164	rf & microwave technology	114
165	rheology	11
166	robotics & autonomy	112
167	scattering & spectroscopy	11
168	science & technology studies	8
169	separation processes	36
170	social anthropology	4
171	social policy	4
172	social psychology	9
173	social stats., comp. & methods	12
174	sociology	17
175	software engineering	118
176	soil science	4
177	solar technology	109
178	statistics & appl. probability	181
179	structural engineering	58
180	surfaces & interfaces	67
181	survey & monitoring	2
182	sustainable energy networks	152
183	sustainable energy vectors	73
184	synthetic biology	59
185	system on chip	9
186	theoretical biology	15
187	time-based media htp	2
188	tissue engineering	77
189	transport ops & management	83
190	underwater engineering	5
191	urban & land management	124
192	vision & senses - ict appl.	41
193	vlsi design	12
194	waste management	16
195	waste minimisation	10
196	water engineering	85
197	wind power	31
