"Algebra","Continuum Mechanics","9","£9,751,656.00"
"Algebra","Geometry & Topology","39","£22,142,116.00"
"Algebra","Logic and Combinatorics","16","£11,847,038.00"
"Algebra","Mathematical Analysis","17","£12,898,743.00"
"Algebra","Mathematical Aspects of Operational Research","4","£8,868,828.00"
"Algebra","Mathematical Physics","17","£13,268,366.00"
"Algebra","Non-Linear Systems","10","£13,519,529.00"
"Algebra","Number Theory","16","£13,551,232.00"
"Algebra","Numerical Analysis","11","£14,274,704.00"
"Algebra","Quantum Optics and Information","1","£298,236.00"
"Algebra","Statistics and Applied Probability","8","£13,220,069.00"
"Algebra","Theory of Computation","3","£1,517,354.00"
"Analytical Science","Biological Informatics","5","£16,883,587.00"
"Analytical Science","Biomaterials and Tissue Engineering","7","£12,115,438.00"
"Analytical Science","Biophysics and Soft Matter Physics","13","£16,430,818.00"
"Analytical Science","Catalysis","9","£5,760,514.00"
"Analytical Science","Chemical Biology and Biological Chemistry","23","£32,118,369.00"
"Analytical Science","Chemical Reaction Dynamics and Mechanisms","4","£6,299,367.00"
"Analytical Science","Chemical Structure","12","£7,687,669.00"
"Analytical Science","Clinical Technologies (excluding imaging)","9","£8,794,229.00"
"Analytical Science","Computational & Theoretical Chemistry","17","£17,538,420.00"
"Analytical Science","Condensed Matter: Electronic Structure","1","£187,803.00"
"Analytical Science","Condensed Matter: Magnetism and Magnetic Materials","3","£1,221,793.00"
"Analytical Science","Digital Signal Processing","2","£9,806,399.00"
"Analytical Science","Electrochemical Sciences","4","£1,327,460.00"
"Analytical Science","Engineering Design","1","£1,004,316.00"
"Analytical Science","Fluid Dynamics and Aerodynamics","3","£1,681,777.00"
"Analytical Science","Fuel Cell Technology","1","£23,578.00"
"Analytical Science","Functional Ceramics and Inorganics","3","£1,587,490.00"
"Analytical Science","Graphene and Carbon Nanotechnology","1","£23,578.00"
"Analytical Science","ICT Networks & Distributed Systems","1","£492,065.00"
"Analytical Science","Image and Vision Computing","2","£4,722,049.00"
"Analytical Science","Information Systems","1","£2,992,297.00"
"Analytical Science","Light Matter Interaction and Optical Phenomena","1","£204,437.00"
"Analytical Science","Materials Engineering - Ceramics","2","£1,208,753.00"
"Analytical Science","Materials For Energy Applications","2","£211,381.00"
"Analytical Science","Mathematical Analysis","1","£402,902.00"
"Analytical Science","Medical Imaging (inc medical image and vision computing)","11","£17,563,844.00"
"Analytical Science","Microsystems","3","£6,368,293.00"
"Analytical Science","Non-Linear Systems","2","£10,175,729.00"
"Analytical Science","Optical Communications","1","£461,854.00"
"Analytical Science","Optical Devices and Subsystems","4","£11,111,182.00"
"Analytical Science","Particle Technology","4","£7,840,366.00"
"Analytical Science","Polymer Materials","4","£5,008,057.00"
"Analytical Science","Process Systems: Components and Integration","3","£5,243,623.00"
"Analytical Science","Sensors and Instrumentation","12","£8,860,645.00"
"Analytical Science","Statistics and Applied Probability","3","£4,046,320.00"
"Analytical Science","Surface Science","3","£3,033,117.00"
"Analytical Science","Synthetic Coordination Chemistry","5","£2,736,612.00"
"Analytical Science","Synthetic Organic Chemistry","4","£2,943,772.00"
"Analytical Science","Synthetic Supramolecular Chemistry","7","£5,266,721.00"
"Analytical Science","Water Engineering","2","£1,144,954.00"
"Antihydrogen","Cold Atoms and Molecules","1","£693,517.00"
"Antihydrogen","Light Matter Interaction and Optical Phenomena","2","£1,391,381.00"
"Antihydrogen","Plasma and Lasers","2","£726,137.00"
"Antihydrogen","Plasmonics","1","£697,864.00"
"Antihydrogen","Quantum Optics and Information","1","£259,134.00"
"Architecture and Operating Systems","Artificial Intelligence Technologies","3","£2,822,851.00"
"Architecture and Operating Systems","Biological Informatics","1","£271,072.00"
"Architecture and Operating Systems","Complexity Science","2","£5,610,523.00"
"Architecture and Operating Systems","Databases","1","£2,203,028.00"
"Architecture and Operating Systems","Digital Signal Processing","1","£480,201.00"
"Architecture and Operating Systems","Fluid Dynamics and Aerodynamics","1","£280,147.00"
"Architecture and Operating Systems","Human-Computer Interaction","1","£39,455.00"
"Architecture and Operating Systems","ICT Networks & Distributed Systems","15","£27,721,288.00"
"Architecture and Operating Systems","Image and Vision Computing","2","£4,154,902.00"
"Architecture and Operating Systems","Information Systems","8","£11,029,386.00"
"Architecture and Operating Systems","Maths of Computing","7","£4,724,604.00"
"Architecture and Operating Systems","Medical Imaging (inc medical image and vision computing)","1","£98,669.00"
"Architecture and Operating Systems","Microelectronics Design","12","£24,428,231.00"
"Architecture and Operating Systems","Non CMOS Device Technology","1","£919,337.00"
"Architecture and Operating Systems","Pervasive and Ubiquitous Computing","2","£40,039.00"
"Architecture and Operating Systems","Programming Languages and Compilers","23","£35,388,320.00"
"Architecture and Operating Systems","RF & Microwave Devices","1","£480,201.00"
"Architecture and Operating Systems","RF & MW Communications","3","£800,954.00"
"Architecture and Operating Systems","Software Engineering","15","£27,453,397.00"
"Architecture and Operating Systems","Statistics and Applied Probability","1","£563,089.00"
"Architecture and Operating Systems","Theory of Computation","11","£22,477,058.00"
"Architecture and Operating Systems","Verification and Correctness","12","£23,716,426.00"
"Artificial Intelligence Technologies","Architecture and Operating Systems","3","£2,822,851.00"
"Artificial Intelligence Technologies","Biological Informatics","10","£9,629,857.00"
"Artificial Intelligence Technologies","Clinical Technologies (excluding imaging)","1","£1,430,004.00"
"Artificial Intelligence Technologies","Complexity Science","5","£14,382,502.00"
"Artificial Intelligence Technologies","Control Engineering","8","£21,248,094.00"
"Artificial Intelligence Technologies","Databases","5","£13,808,468.00"
"Artificial Intelligence Technologies","Digital Signal Processing","5","£3,548,764.00"
"Artificial Intelligence Technologies","Engineering Approaches to Manufacturing Operations","1","£1,003,586.00"
"Artificial Intelligence Technologies","Engineering Design","2","£5,066,540.00"
"Artificial Intelligence Technologies","Graphics and Visualisation","3","£9,727,215.00"
"Artificial Intelligence Technologies","Human Communication in ICT","7","£5,690,770.00"
"Artificial Intelligence Technologies","Human-Computer Interaction","31","£48,663,293.00"
"Artificial Intelligence Technologies","ICT Networks & Distributed Systems","14","£45,772,188.00"
"Artificial Intelligence Technologies","Image and Vision Computing","17","£28,082,675.00"
"Artificial Intelligence Technologies","Information Systems","36","£55,231,996.00"
"Artificial Intelligence Technologies","Manufacturing Technologies","2","£2,419,050.00"
"Artificial Intelligence Technologies","Mathematical Aspects of Operational Research","3","£9,674,434.00"
"Artificial Intelligence Technologies","Maths of Computing","9","£25,332,333.00"
"Artificial Intelligence Technologies","Medical Imaging (inc medical image and vision computing)","1","£98,669.00"
"Artificial Intelligence Technologies","Microelectronics Design","5","£7,704,088.00"
"Artificial Intelligence Technologies","Music and Acoustic Technology","6","£3,067,331.00"
"Artificial Intelligence Technologies","Natural Language Processing","19","£10,045,715.00"
"Artificial Intelligence Technologies","Non-Linear Systems","2","£7,584,967.00"
"Artificial Intelligence Technologies","Numerical Analysis","2","£683,254.00"
"Artificial Intelligence Technologies","Optical Devices and Subsystems","1","£5,004,658.00"
"Artificial Intelligence Technologies","Optoelectronic Devices and Circuits","1","£5,004,658.00"
"Artificial Intelligence Technologies","Pervasive and Ubiquitous Computing","4","£11,498,565.00"
"Artificial Intelligence Technologies","Programming Languages and Compilers","3","£3,645,053.00"
"Artificial Intelligence Technologies","Quantum Optics and Information","1","£5,004,658.00"
"Artificial Intelligence Technologies","RF & MW Communications","2","£16,715,985.00"
"Artificial Intelligence Technologies","Robotics","17","£24,465,607.00"
