"Algebra","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Algebra","70","£11,014,929.00","£34,589,002.00"
"Analytical Science","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Analytical+Science","107","£53,298,828.00","£126,206,233.00"
"Antihydrogen","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Antihydrogen","11","£5,041,206.00","£5,858,694.00"
"Architecture and Operating Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Architecture+and+Operating+Systems","60","£20,459,727.00","£66,331,420.00"
"Artificial Intelligence Technologies","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Artificial+Intelligence+Technologies","151","£69,218,259.00","£213,654,300.00"
"Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Assistive+Technology%2c+Rehabilitation+and+Musculoskeletal+Biomechanics","54","£29,095,653.00","£71,517,472.00"
"Bioenergy","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Bioenergy","33","£23,966,633.00","£51,262,088.00"
"Biological Informatics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Biological+Informatics","25","£14,900,419.00","£50,370,721.00"
"Biomaterials and Tissue Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Biomaterials+and+Tissue+Engineering","98","£60,889,225.00","£137,614,821.00"
"Biophysics and Soft Matter Physics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Biophysics+and+Soft+Matter+Physics","76","£30,083,339.00","£81,947,009.00"
"Built Environment","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Built+Environment","71","£24,315,581.00","£97,148,741.00"
"Carbon Capture and Storage","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Carbon+Capture+and+Storage","36","£30,159,488.00","£49,522,736.00"
"Catalysis","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Catalysis","145","£58,907,516.00","£131,490,860.00"
"Chemical Biology and Biological Chemistry","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Chemical+Biology+and+Biological+Chemistry","78","£41,303,404.00","£81,114,626.00"
"Chemical Reaction Dynamics and Mechanisms","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Chemical+Reaction+Dynamics+and+Mechanisms","70","£23,502,973.00","£72,090,874.00"
"Chemical Structure","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Chemical+Structure","55","£16,805,172.00","£46,559,179.00"
"Clinical Technologies (excluding imaging)","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Clinical+Technologies+(excluding+imaging)","101","£64,713,932.00","£131,950,617.00"
"CMOS Device Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=CMOS+Device+Technology","3","£282,152.00","£453,205.00"
"Coastal and Waterway Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Coastal+and+Waterway+Engineering","32","£11,735,575.00","£22,361,397.00"
"Cold Atoms and Molecules","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Cold+Atoms+and+Molecules","27","£17,172,090.00","£33,033,681.00"
"Combustion Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Combustion+Engineering","32","£7,713,039.00","£12,560,756.00"
"Complex Fluids & Rheology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Complex+Fluids+%26amp%3b+Rheology","48","£23,892,085.00","£44,092,663.00"
"Complexity Science","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Complexity+Science","42","£33,753,282.00","£86,959,993.00"
"Computational & Theoretical Chemistry","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Computational+%26amp%3b+Theoretical+Chemistry","99","£30,317,016.00","£84,799,805.00"
"Condensed Matter: Electronic Structure","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Condensed+Matter%3a+Electronic+Structure","99","£33,986,141.00","£111,580,249.00"
"Condensed Matter: Magnetism and Magnetic Materials","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Condensed+Matter%3a+Magnetism+and+Magnetic+Materials","92","£29,354,269.00","£84,148,935.00"
"Continuum Mechanics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Continuum+Mechanics","39","£10,435,976.00","£36,934,998.00"
"Control Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Control+Engineering","52","£21,282,532.00","£77,855,194.00"
"Conventional Generation & Combustion","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Conventional+Generation+%26amp%3b+Combustion","15","£7,462,117.00","£23,519,174.00"
"Databases","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Databases","18","£8,685,709.00","£28,645,877.00"
"Digital Signal Processing","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Digital+Signal+Processing","65","£22,944,478.00","£64,392,204.00"
"Displays","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Displays","4","£3,108,318.00","£15,997,798.00"
"Electrical Motors and Drive /  Electromagnetics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Electrical+Motors+and+Drive+%2f++Electromagnetics","14","£5,554,405.00","£11,846,476.00"
"Electrochemical Sciences","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Electrochemical+Sciences","27","£9,147,798.00","£37,205,032.00"
"Energy Efficiency (End Use Energy Demand)","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Energy+Efficiency+(End+Use+Energy+Demand)","99","£83,760,501.00","£143,346,856.00"
"Energy Networks","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Energy+Networks","64","£48,919,999.00","£76,338,884.00"
"Energy Storage","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Energy+Storage","62","£52,663,046.00","£66,117,964.00"
"Engineering Approaches to Manufacturing Operations","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Engineering+Approaches+to+Manufacturing+Operations","33","£11,935,317.00","£75,267,213.00"
"Engineering Design","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Engineering+Design","68","£35,502,620.00","£80,468,370.00"
"Fluid Dynamics and Aerodynamics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Fluid+Dynamics+and+Aerodynamics","128","£63,781,492.00","£87,583,251.00"
"Fossil Fuel Power Generation","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Fossil+Fuel+Power+Generation","1","£982,583.00","£6,550,555.00"
"Fuel Cell Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Fuel+Cell+Technology","28","£18,647,423.00","£44,765,918.00"
"Functional Ceramics and Inorganics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Functional+Ceramics+and+Inorganics","108","£57,137,105.00","£142,766,580.00"
"Geometry & Topology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Geometry+%26amp%3b+Topology","87","£19,320,098.00","£49,816,048.00"
"Graphene and Carbon Nanotechnology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Graphene+and+Carbon+Nanotechnology","49","£33,127,305.00","£89,475,520.00"
"Graphics and Visualisation","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Graphics+and+Visualisation","35","£23,320,595.00","£56,444,755.00"
"Ground Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Ground+Engineering","38","£17,303,781.00","£39,412,359.00"
"Human Communication in ICT","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Human+Communication+in+ICT","24","£4,868,788.00","£20,761,070.00"
"Human-Computer Interaction","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Human-Computer+Interaction","149","£65,607,394.00","£188,534,909.00"
"Hydrogen and Alternative Energy Vectors","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Hydrogen+and+Alternative+Energy+Vectors","22","£16,390,303.00","£34,391,674.00"
"ICT Networks & Distributed Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=ICT+Networks+%26amp%3b+Distributed+Systems","116","£44,136,287.00","£158,713,499.00"
"Image and Vision Computing","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Image+and+Vision+Computing","77","£33,493,877.00","£104,755,275.00"
"Information Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Information+Systems","145","£71,411,629.00","£215,056,891.00"
