"Algebra","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Algebra","69","£10,994,687.00","£34,495,473.00"
"Analytical Science","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Analytical+Science","103","£52,782,227.00","£125,293,361.00"
"Antihydrogen","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Antihydrogen","11","£5,041,206.00","£5,858,694.00"
"Architecture and Operating Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Architecture+and+Operating+Systems","59","£19,796,083.00","£63,762,144.00"
"Artificial Intelligence Technologies","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Artificial+Intelligence+Technologies","146","£65,295,603.00","£205,788,837.00"
"Assistive Technology, Rehabilitation and Musculoskeletal Biomechanics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Assistive+Technology%2c+Rehabilitation+and+Musculoskeletal+Biomechanics","54","£29,098,165.00","£71,519,984.00"
"Bioenergy","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Bioenergy","33","£23,966,633.00","£51,262,088.00"
"Biological Informatics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Biological+Informatics","23","£14,746,695.00","£48,551,924.00"
"Biomaterials and Tissue Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Biomaterials+and+Tissue+Engineering","100","£61,635,823.00","£139,060,530.00"
"Biophysics and Soft Matter Physics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Biophysics+and+Soft+Matter+Physics","76","£30,083,339.00","£81,947,009.00"
"Built Environment","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Built+Environment","71","£23,828,782.00","£96,944,191.00"
"Carbon Capture and Storage","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Carbon+Capture+and+Storage","36","£30,159,488.00","£49,522,736.00"
"Catalysis","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Catalysis","144","£58,837,980.00","£131,143,179.00"
"Chemical Biology and Biological Chemistry","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Chemical+Biology+and+Biological+Chemistry","76","£41,235,519.00","£81,099,389.00"
"Chemical Reaction Dynamics and Mechanisms","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Chemical+Reaction+Dynamics+and+Mechanisms","68","£23,298,581.00","£71,682,090.00"
"Chemical Structure","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Chemical+Structure","53","£16,696,919.00","£46,103,566.00"
"Clinical Technologies (excluding imaging)","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Clinical+Technologies+(excluding+imaging)","102","£64,924,754.00","£132,094,141.00"
"CMOS Device Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=CMOS+Device+Technology","3","£282,152.00","£453,205.00"
"Coastal and Waterway Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Coastal+and+Waterway+Engineering","31","£11,129,610.00","£21,755,432.00"
"Cold Atoms and Molecules","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Cold+Atoms+and+Molecules","26","£17,071,954.00","£32,933,545.00"
"Combustion Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Combustion+Engineering","32","£7,713,039.00","£12,560,756.00"
"Complex Fluids & Rheology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Complex+Fluids+%26amp%3b+Rheology","49","£23,931,577.00","£44,142,028.00"
"Complexity Science","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Complexity+Science","42","£33,741,711.00","£85,880,890.00"
"Computational & Theoretical Chemistry","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Computational+%26amp%3b+Theoretical+Chemistry","97","£30,259,946.00","£84,625,704.00"
"Condensed Matter: Electronic Structure","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Condensed+Matter%3a+Electronic+Structure","99","£33,986,141.00","£111,580,249.00"
"Condensed Matter: Magnetism and Magnetic Materials","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Condensed+Matter%3a+Magnetism+and+Magnetic+Materials","92","£29,354,269.00","£84,148,935.00"
"Continuum Mechanics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Continuum+Mechanics","41","£10,586,132.00","£37,435,515.00"
"Control Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Control+Engineering","51","£20,910,366.00","£77,483,029.00"
"Conventional Generation & Combustion","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Conventional+Generation+%26amp%3b+Combustion","12","£5,999,149.00","£15,912,201.00"
"Databases","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Databases","17","£8,615,697.00","£27,245,642.00"
"Digital Signal Processing","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Digital+Signal+Processing","61","£22,743,269.00","£63,024,914.00"
"Displays","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Displays","4","£3,108,318.00","£15,997,798.00"
"Electrical Motors and Drive /  Electromagnetics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Electrical+Motors+and+Drive+%2f++Electromagnetics","14","£5,554,405.00","£11,846,476.00"
"Electrochemical Sciences","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Electrochemical+Sciences","27","£9,503,855.00","£38,143,227.00"
"Energy Efficiency (End Use Energy Demand)","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Energy+Efficiency+(End+Use+Energy+Demand)","102","£84,321,343.00","£145,443,989.00"
"Energy Networks","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Energy+Networks","65","£49,124,013.00","£76,971,117.00"
"Energy Storage","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Energy+Storage","65","£55,749,474.00","£67,778,329.00"
"Engineering Approaches to Manufacturing Operations","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Engineering+Approaches+to+Manufacturing+Operations","32","£3,816,936.00","£69,395,891.00"
"Engineering Design","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Engineering+Design","74","£39,548,449.00","£84,715,620.00"
"Fluid Dynamics and Aerodynamics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Fluid+Dynamics+and+Aerodynamics","126","£63,167,137.00","£86,855,187.00"
"Fossil Fuel Power Generation","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Fossil+Fuel+Power+Generation","3","£2,149,298.00","£14,082,666.00"
"Fuel Cell Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Fuel+Cell+Technology","28","£18,647,423.00","£44,765,918.00"
"Functional Ceramics and Inorganics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Functional+Ceramics+and+Inorganics","106","£56,637,010.00","£142,210,861.00"
"Geometry & Topology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Geometry+%26amp%3b+Topology","88","£19,465,100.00","£50,118,155.00"
"Graphene and Carbon Nanotechnology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Graphene+and+Carbon+Nanotechnology","49","£33,127,305.00","£89,475,520.00"
"Graphics and Visualisation","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Graphics+and+Visualisation","34","£23,282,857.00","£56,363,028.00"
"Ground Engineering","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Ground+Engineering","38","£17,303,781.00","£39,412,359.00"
"Human Communication in ICT","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Human+Communication+in+ICT","23","£4,849,078.00","£20,662,521.00"
"Human-Computer Interaction","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Human-Computer+Interaction","141","£60,173,890.00","£179,161,026.00"
"Hydrogen and Alternative Energy Vectors","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Hydrogen+and+Alternative+Energy+Vectors","22","£16,390,303.00","£34,391,674.00"
"ICT Networks & Distributed Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=ICT+Networks+%26amp%3b+Distributed+Systems","111","£43,914,079.00","£163,096,288.00"
"Image and Vision Computing","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Image+and+Vision+Computing","76","£33,174,933.00","£104,436,331.00"
"Information Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Information+Systems","139","£71,079,983.00","£218,886,519.00"
"Infrastructure and Urban Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Infrastructure+and+Urban+Systems","59","£52,891,454.00","£110,612,114.00"
"Light Matter Interaction and Optical Phenomena","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Light+Matter+Interaction+and+Optical+Phenomena","36","£18,065,429.00","£56,605,480.00"
"Logic and Combinatorics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Logic+and+Combinatorics","41","£6,801,274.00","£23,528,678.00"
"Manufacturing Technologies","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Manufacturing+Technologies","251","£162,419,987.00","£341,640,998.00"
"Marine Wave and Tidal","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Marine+Wave+and+Tidal","27","£18,879,652.00","£28,276,383.00"
"Materials Engineering - Ceramics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Materials+Engineering+-+Ceramics","19","£7,786,084.00","£30,533,152.00"
"Materials Engineering - Composites","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Materials+Engineering+-+Composites","61","£47,037,150.00","£92,085,311.00"
"Materials Engineering - Metals & Alloys","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Materials+Engineering+-+Metals+%26amp%3b+Alloys","66","£59,699,824.00","£97,355,634.00"
"Materials For Energy Applications","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Materials+For+Energy+Applications","103","£49,137,750.00","£157,319,397.00"
"Mathematical Analysis","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Mathematical+Analysis","92","£29,442,003.00","£58,695,482.00"
"Mathematical Aspects of Operational Research","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Mathematical+Aspects+of+Operational+Research","22","£3,733,638.00","£25,582,278.00"
"Mathematical Biology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Mathematical+Biology","57","£24,018,238.00","£80,746,269.00"
"Mathematical Physics","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Mathematical+Physics","38","£6,981,500.00","£28,601,890.00"
"Maths of Computing","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Maths+of+Computing","42","£11,507,405.00","£46,376,915.00"
"Medical Imaging (inc medical image and vision computing)","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Medical+Imaging+(inc+medical+image+and+vision+computing)","130","£88,079,585.00","£156,545,167.00"
"Microelectronics Design","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Microelectronics+Design","45","£19,140,882.00","£58,693,816.00"
"Microelectronics Device Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Microelectronics+Device+Technology","46","£28,896,535.00","£87,376,743.00"
"Microsystems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Microsystems","36","£10,425,906.00","£48,737,745.00"
"Mobile Computing","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Mobile+Computing","4","£5,285,279.00","£20,853,157.00"
"Music and Acoustic Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Music+and+Acoustic+Technology","19","£15,802,697.00","£28,310,627.00"
"Natural Language Processing","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Natural+Language+Processing","25","£5,089,620.00","£15,052,903.00"
"Non CMOS Device Technology","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Non+CMOS+Device+Technology","13","£2,997,360.00","£13,191,143.00"
"Non-Linear Systems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Non-Linear+Systems","52","£12,242,686.00","£59,573,585.00"
"Nuclear Fission","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Nuclear+Fission","79","£70,857,590.00","£83,140,455.00"
"Number Theory","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Number+Theory","38","£12,758,965.00","£29,794,868.00"
"Numerical Analysis","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Numerical+Analysis","58","£17,872,703.00","£62,939,475.00"
"Operational Research","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Operational+Research","41","£22,266,694.00","£86,792,549.00"
"Optical Communications","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Optical+Communications","32","£31,767,419.00","£70,393,062.00"
"Optical Devices and Subsystems","NGBOChooseTTS.aspx?Mode=ResearchArea&ItemDesc=Optical+Devices+and+Subsystems","46","£33,987,961.00","£98,795,484.00"
