"EP/J500094/1","[['Jaroszynski, Professor D', '50750'], ['Borghesi, Professor M', '78842'], ['Barlow, Professor R', '56605'], ['Kirkby, Professor KJ', '-5718']]"
"EP/N029437/1","[['Krynkin, Dr A', '-379226']]"
"EP/K003836/2","[['Wagg, Professor DJ', '83317'], ['Elliott, Professor S', '49734'], ['Friswell, Professor MI', '5592'], ['Cooper, Professor J', '3322'], ['Worden, Professor K', '43946'], ['Langley, Professor RS', '62734'], ['Neild, Professor SA', '124105'], ['Champneys, Professor AR', '34187']]"
"EP/N018877/1","[['Richardson, Dr C N', '-438388']]"
"EP/K033565/1","[['Cegla, Dr F', '-242443']]"
"EP/K021877/1","[['Clark, Professor M', '73967']]"
"EP/N01877X/1","[['Pinelli, Professor A', '-485984'], ['Omidyeganeh, Dr M', '-484107']]"
"EP/N020413/1","[['Joseph, Professor P', '-527040']]"
"EP/N018737/1","[['Chong, Dr TP', '-210302']]"
"EP/N018486/1","[['Choi, Professor K', '21767']]"
"EP/J001953/2","[['Mather, Professor M', '117988']]"
"EP/K017551/1","[['McAlpine, Dr A', '101049'], ['Gabard, Dr G', '-108241'], ['Self, Dr RH', '-150134']]"
"EP/K014102/1","[['Passmore, Professor M', '-389830'], ["O'Boy, Dr DJ", '-419516'], ['Ibrahim, Dr S', '50120'], ['Walsh, Dr SJ', '50695'], ['Mavros, Dr G', '-181942'], ['Malalasekera, Professor W', '10032'], ['Cunningham, Dr PR', '111515'], ['Best, Dr M', '62186'], ['Garmory, Dr A', '-418008'], ['Page, Professor GJ', '34631']]"
"EP/M01391X/1","[['Xia, Dr H', '-411003']]"
"EP/N00437X/1","[['Newson, Dr T', '34917'], ['Wilson, Professor P', '107181'], ['Thompson, Professor DJ', '-118075']]"
"EP/N016483/1","[['Dwyer-Joyce, Professor R', '39154']]"
"EP/L000261/1","[['Sandham, Professor ND', '67244'], ['van Reeuwijk, Dr M', '-191201'], ['Sherwin, Professor SJ', '43529'], ['Zaki, Dr T', '-120212'], ['Yao, Professor Y', '-23873'], ['Drikakis, Professor D', '41846'], ['Avital, Dr E', '78875'], ['Luo, Professor KH', '42780'], ['Ricco, Dr P', '-161344'], ['Emerson, Professor D', '41915'], ['Swailes, Dr D', '42031'], ['Leschziner, Professor M', '9409'], ['Savill, Professor AM', '13957'], ['Vassilicos, Professor JC', '55914'], ['He, Professor S', '101564'], ['Jones, Professor W', '24189'], ['Shrimpton, Professor J', '56727'], ['Chung, Dr YM', '113809'], ['Williams, Professor J', '17143'], ['Vincent, Dr P E', '-393156'], ['Nicolleau, Dr F', '55710'], ['Reeks, Professor M', '58157'], ['Hu, Dr Z', '89185'], ['Papadakis, Dr G', '70395'], ['Touber, Dr E', '-251824'], ['Tucker, Professor P. G.', '117837'], ['Laurence, Professor D', '81895'], ['Page, Professor GJ', '34631'], ['Jiang, Professor X', '104071'], ['Wheeler, Dr A', '-236908']]"
"EP/J016438/1","[['Drinkwater, Professor B', '50145'], ['Croxford, Dr AJ', '-95963'], ['Wilcox, Professor PD', '102086']]"
"EP/L025035/1","[['Glynne-Jones, Dr P', '-416953']]"
"EP/M026302/1","[['Pinfield, Dr V', '-454154']]"
"EP/M026205/1","[['Abrahams, Professor ID', '22096'], ['Parnell, Dr W', '115780']]"
"EP/M026310/1","[['Povey, Professor MJ', '12662'], ['Holmes, Dr MJ', '-151637']]"
"EP/N014197/1","[['Subramanian, Professor S', '-188117'], ['Drinkwater, Professor B', '50145']]"
"EP/M018164/1","[['Filippone, Dr A', '91630'], ['Barakos, Professor G', '94544']]"
"EP/N009061/1","[['Kovac, Dr M', '-427945']]"
"EP/M025039/1","[['Mao, Dr X', '-492453']]"
"EP/M023893/1","[['Garmory, Dr A', '-418008']]"
"EP/M028836/1","[['Savill, Professor AM', '13957']]"
