"GR/S06172/01","[['brace, dr c', '81943']]"
"GR/T09477/01","[['fok, dr a', '103930'], ['jackson, professor jd', '8120'], ['marsden, professor bj', '119222']]"
"GR/R60737/01","[['jayasooriya, dr ua', '27096'], ['butt, professor jn', '92330']]"
"GR/R55054/01","[['winkler, dr j', '49420']]"
"GR/A01275/02","[['duke, professor d', '41482']]"
"GR/A01275/01","[['duke, professor d', '41482']]"
"GR/A01312/01","[['badyal, professor jp', '668']]"
"EP/C525787/1","[['morvan, dr h', '118918'], ['power, professor h', '88913'], ['matthews, dr pc', '36776'], ['simmons, dr k', '82256'], ['wright, professor n', '34646'], ['hibberd, dr s', '7247'], ['lowndes, dr i', '27986'], ['azzopardi, professor b', '643']]"
"EP/F066171/1","[['studley, dr me', '-144863'], ['rocks, dr c', '-163086']]"
"GR/M88280/01","[['mair, professor l', '51807'], ['lynch, dr r', '66808'], ['bolton, professor md', '1598'], ['madabhushi, professor spg', '51595'], ['palmer, professor a', '50460'], ['soga, professor k', '37692'], ['al-tabbaa, professor a', '54484']]"
"GR/N66551/01","[['hoare, professor m', '58669'], ['titchener-hooker, professor n', '15868'], ['ward, professor jm', '16532'], ['lye, professor g', '40973'], ['dunnill, professor p', '4558'], ['shamlou, dr p', '109447'], ['woodley, professor jm', '26575'], ['thornhill, professor nf', '38108'], ['washbrook, mr j', '31050']]"
"GR/N67282/01","[['nelmes, professor rj', '11484'], ['mcmahon, professor mi', '69861'], ['hall, professor c', '30395'], ['harrison, professor a', '30396'], ['ackland, professor gj', '45'], ['parsons, professor s', '49479'], ['sawyer, professor l', '13968'], ['harte, professor b', '23871'], ['pulham, professor c', '31961']]"
"GR/M88167/01","[['bell, professor mc', '1176'], ['hay, dr a', '70390'], ['may, professor ad', '10342'], ['seakins, professor p', '29799'], ['wild, dr c', '50628'], ['clarke, dr a', '2973'], ['watson, dr as', '16631'], ['andrews, professor ge', '372'], ['kale, dr g', '35263'], ['tomlin, professor as', '37763']]"
"GR/M88617/01","[['kittler, professor j', '8936'], ['illingworth, professor j', '8006'], ['petrou, professor m', '12378']]"
"GR/M91211/01","[['williams, professor jm', '17146'], ['burrows, professor a', '49125'], ['whittlesey, professor m', '50725'], ['price, professor g', '37263'], ['brisdon, dr b', '1949'], ['frost, professor cg', '48452'], ['davidson, professor mg', '42725'], ['molloy, professor kc', '11031'], ['williams, professor i', '17139'], ['weller, professor a', '71061'], ['willis, professor m', '55264']]"
"GR/M92478/01","[['taylor, professor cj', '15576'], ['jackson, professor a', '41058'], ['williams, professor sr', '-23699']]"
"GR/M92942/01","[['mcphail, dr ds', '10667'], ['cummings, professor a', '70786'], ['philip, dr r', '70787']]"
"GR/M92287/01","[['wilson, professor mr', '44221'], ['cooper, dr sj', '61574'], ['tozer, professor dj', '61581'], ['hutson, professor jm', '7963'], ['fox, dr ma', '46116'], ['clark, professor sj', '46040'], ['harris, professor rk', '6857'], ['howard, professor jak', '7713']]"
