"GR/L75054/01","['Physical Organic Chemistry']"
"GR/L57685/01","['Chemical Structure']"
"GR/A01312/01","['Materials Characterisation', 'Materials Processing', 'Materials Synthesis & Growth', 'Surfaces & Interfaces']"
"GR/L65956/01","['Design of Process systems']"
"GR/L07574/01","['Safety & Reliability of Plant']"
"GR/K81157/01","['RF & Microwave Technology']"
"GR/M61023/01","['Analytical Science', 'Materials Processing', 'Optoelect. Devices & Circuits']"
"GR/M91945/01","['Nuclear Structure']"
"GR/M92546/01","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology']"
"GR/M91464/01","['Materials Processing']"
"GR/M91693/01","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"GR/M93857/01","['Displays']"
"GR/M92386/01","['Digital Signal Processing', 'Human-Computer Interactions', 'Networks & Distributed Systems', 'RF & Microwave Technology']"
"GR/M92553/01","['Fuel Cell Technologies']"
"GR/M92348/01","['Biomaterials']"
"GR/M91303/01","['Chemical Synthetic Methodology']"
"GR/M91778/01","['Water Engineering']"
"GR/M91754/01","['Microsystems']"
"GR/M91150/01","['Materials Characterisation']"
"GR/M91457/01","['Surfaces & Interfaces']"
"GR/M92294/01","['Building Ops & Management', 'Energy Efficiency']"
"GR/M91983/01","['Catalysis & Applied Catalysis']"
"GR/L85473/01","['Aerodynamics', 'Combustion']"
"GR/M66332/01","['Logic & Combinatorics']"
"GR/M66653/01","['Algebra & Geometry']"
"GR/M72265/01","['Mathematical Analysis']"
"GR/M67162/01","['Non-linear Systems Mathematics', 'Numerical Analysis']"
"GR/M68398/01","['Mathematical Physics']"
"GR/M68800/01","['Atoms & Ions']"
"GR/M71640/01","['Condensed Matter Physics']"
"GR/L79441/01","['Control Engineering']"
"GR/N02825/01","['Surfaces & Interfaces']"
"GR/K91507/01","['Complex fluids & soft solids']"
"GR/M67209/01","['Catalysis & Applied Catalysis']"
"GR/M99866/01","['Catalysis & Applied Catalysis']"
"GR/M68220/01","['Magnetism/Magnetic Phenomena']"
"GR/K90708/01","['Surfaces & Interfaces']"
"GR/M70483/01","['Continuum Mechanics', 'Multiphase Flow']"
"GR/M68206/01","['Chemical Structure', 'Chemical Synthetic Methodology']"
"GR/M85920/01","['Complex fluids & soft solids']"
"GR/M75211/01","['Complex fluids & soft solids']"
"GR/K90715/01","['Materials Characterisation']"
"GR/M75228/01","['Instrumentation Eng. & Dev.', 'Materials Characterisation']"
"GR/K90425/01","['Chemical Synthetic Methodology']"
"GR/M82523/01","['Rheology']"
"GR/M68190/01","['Co-ordination Chemistry']"
"GR/M67193/01","['Asymmetric Chemistry']"
"GR/M66387/01","['Materials Characterisation']"
"GR/K67700/01","['RF & Microwave Technology']"
"GR/L51959/01","['Chemical Synthetic Methodology']"
"GR/L51959/02","['Chemical Synthetic Methodology']"
"GR/J00892/01","['Chemical Synthetic Methodology']"
"GR/J00892/02","['Chemical Synthetic Methodology']"
"GR/H91909/01","['Asymmetric Chemistry', 'Carbohydrate Chemistry']"
"GR/L31678/01","['Optical Communications']"
"GR/L28487/01","['Optical Communications']"
"GR/K30575/01","['Lasers & Optics']"
"GR/F94361/01","[]"
"GR/G33851/01","[]"
"GR/J23938/01","['Materials Characterisation']"
"GR/F77289/01","[]"
"GR/M36328/01","['Image & Vision Computing']"
"GR/L93171/01","['Combinatorial Chemistry']"
"GR/H60073/01","['Fundamentals of Computing']"
"GR/L73340/01","['Analytical Science', 'Surfaces & Interfaces']"
"GR/L36857/01","['Construction Ops & Management']"
"GR/K65904/01","['Complex fluids & soft solids']"
"GR/F78934/01","[]"
"GR/L96363/01","['Materials Characterisation']"
"GR/L38769/01","['Materials Characterisation']"
"GR/J58459/01","['Instrumentation Eng. & Dev.']"
"GR/G11200/01","[]"
"GR/H12836/01","[]"
"GR/K45357/01","['Image & Vision Computing']"
"GR/G31819/01","[]"
"GR/K70137/01","['Design & Testing Technology']"
"GR/H47296/01","['Ground Engineering']"
"GR/K64785/01","['Combustion']"
"GR/J88661/01","['Chemical Synthetic Methodology']"
"GR/M79264/01","['Biological & Medicinal Chem.']"
"GR/H64538/01","['Optical Communications']"
"GR/M01418/01","['Design & Testing Technology']"
"GR/M01326/01","['Design & Testing Technology']"
"GR/M01296/01","['Design & Testing Technology']"
"GR/M01388/01","['Design & Testing Technology']"
"GR/N05055/01","['Cognitive Science Appl. in ICT']"
"GR/H48286/01","[]"
"GR/J33005/01","['Materials Characterisation']"
"GR/L36048/01","['Analytical Science']"
"GR/L34488/02","['Assess/Remediate Contamination']"
"GR/L34488/01","['Assess/Remediate Contamination']"
"GR/L52154/01","['Materials Characterisation']"
"GR/J28070/01","['Instrumentation Eng. & Dev.']"
"GR/K40765/01","['Parallel Computing']"
"GR/F92343/01","[]"
"GR/M95516/01","['Artificial Intelligence']"
"GR/M42510/01","['Atoms & Ions']"
"GR/M84985/01","['Acoustics', 'Aerodynamics']"
"GR/L95403/01","['Mathematical Physics']"
"GR/H85267/01","[]"
"GR/G18452/01","[]"
"GR/H44202/01","['Control Engineering']"
"GR/K63467/01","['Construction Ops & Management']"
"GR/L86937/01","['Networks & Distributed Systems']"
"GR/K69179/01","['Combinatorial Chemistry']"
"GR/J84243/01","['Surfaces & Interfaces']"
"GR/M52175/01","['Instrumentation Eng. & Dev.', 'Surfaces & Interfaces']"
"GR/L49383/01","['Catalysis & Applied Catalysis', 'Surfaces & Interfaces']"
"GR/M54889/01","['Human-Computer Interactions']"
"GR/J13335/01","['Construction Ops & Management']"
"GR/M94724/01","['Transport Ops & Management']"
"GR/K06037/01","['Separation Processes']"
"GR/K79918/01","['Design Processes']"
"GR/K32302/01","['Networks & Distributed Systems']"
"GR/N16396/01","['Artificial Intelligence']"
"GR/M74641/01","['Information & Knowledge Mgmt']"
"GR/H61407/01","['Materials Characterisation']"
"GR/K25922/01","['Software Engineering']"
"GR/H39499/01","['Software Engineering']"
"GR/K16715/01","['Software Engineering']"
"GR/K16715/02","['Software Engineering']"
"GR/M41865/01","['Aerodynamics']"
"GR/J85011/01","['Materials Characterisation']"
"GR/H52986/01","['Vision & Senses - ICT appl.']"
"GR/M53509/01","['Catalysis & Applied Catalysis', 'Materials Characterisation', 'Surfaces & Interfaces']"
"GR/G20028/01","[]"
"GR/H52634/01","['Vision & Senses - ICT appl.']"
"GR/H29353/01","[]"
"GR/G58168/01","[]"
"GR/G58175/01","[]"
"GR/L49079/01","[]"
"GR/G62363/01","['Design Engineering']"
"GR/H93828/01","['Atoms & Ions']"
"GR/J04951/01","['Image & Vision Computing']"
"GR/N03679/01","['Image & Vision Computing']"
"GR/G06879/01","[]"
"GR/H68512/01","[]"
"GR/H66808/01","['Surfaces & Interfaces']"
"GR/H75275/01","['Artificial Intelligence']"
"GR/K41625/01","['Software Engineering']"
"GR/L04931/01","['Software Engineering']"
"GR/M07625/01","[]"
"GR/L85084/01","[]"
"GR/G24149/01","[]"
"GR/K41373/01","['Building Ops & Management']"
"GR/H16735/01","[]"
"GR/M52922/01","['Design Engineering', 'Eng. Dynamics & Tribology']"
"GR/J38321/01","['Materials Characterisation']"
"GR/M69487/01","['Instrumentation Eng. & Dev.']"
"GR/L61002/01","['Digital Signal Processing']"
"GR/L50150/01","['Instrumentation Eng. & Dev.', 'Materials Characterisation']"
"GR/K57916/01","['Materials Characterisation']"
"GR/K79369/01","['Software Engineering']"
"GR/J31377/02","['Chemical Synthetic Methodology']"
"GR/J31377/01","['Chemical Synthetic Methodology']"
"GR/N19618/01","['VLSI Design']"
"GR/J71878/01","['Transport Ops & Management']"
"GR/K21924/01","['RF & Microwave Technology']"
"GR/M09353/01","[]"
"GR/K83878/01","[]"
"GR/M54001/01","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"GR/M51895/01","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"GR/J15889/01","['Parallel Computing']"
"GR/K69643/01","['Parallel Computing']"
"GR/J15179/01","['Parallel Computing']"
"GR/L98404/01","['Instrumentation Eng. & Dev.', 'Intelligent Measurement Sys.']"
"GR/G52449/01","[]"
"GR/J18958/01","['Manufact. Enterprise Ops& Mgmt']"
"GR/M10403/01","['Design of Process systems']"
"GR/M68510/01","['Design & Testing Technology']"
"GR/L61088/01","['Multimedia', 'Networks & Distributed Systems']"
"GR/L03637/01","['Cognitive Science Appl. in ICT']"
"GR/J11058/01","['Fundamentals of Computing']"
"GR/J42007/01","['Multimedia']"
"GR/G22411/01","[]"
"GR/K15947/01","['Materials Characterisation']"
"GR/H83188/01","['Instrumentation Eng. & Dev.', 'Intelligent Measurement Sys.']"
"GR/M66776/01","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"GR/F97232/01","[]"
"GR/M01449/01","['Manufacturing Machine & Plant']"
"GR/G37101/01","[]"
"GR/K40475/01","['Parallel Computing']"
"GR/L05419/01","['Optical Devices & Subsystems']"
"GR/L06584/01","['Optical Devices & Subsystems']"
"GR/M96759/01","['Atoms & Ions']"
"GR/L41202/01","['Atoms & Ions']"
"GR/H72953/01","['Materials Synthesis & Growth']"
"GR/L33375/01","['Instrumentation Eng. & Dev.']"
"GR/M32245/01","[]"
"GR/L88825/01","['Biological & Medicinal Chem.']"
"GR/H57943/01","['Catalysis & Applied Catalysis']"
"GR/L16385/01","['Statistics & Appl. Probability']"
"GR/K75736/01","['Non-linear Systems Mathematics']"
"GR/H75091/01","['Non-linear Systems Mathematics']"
"GR/L11762/01","['Atoms & Ions', 'Chemical Synthetic Methodology']"
"GR/G61946/01","[]"
"GR/J38840/01","['Optoelect. Devices & Circuits']"
"GR/L65895/01","[]"
"GR/G27621/01","[]"
"GR/H20053/01","[]"
"GR/K81812/01","['Lasers & Optics', 'Surfaces & Interfaces']"
"GR/J88050/01","['System on Chip', 'VLSI Design']"
"GR/J44018/01","['Image & Vision Computing']"
"GR/M05270/01","['Building Ops & Management']"
"GR/M55831/01","['Design of Process systems']"
"GR/J57797/01","['Instrumentation Eng. & Dev.']"
"GR/L87736/01","['Waste Minimisation']"
"GR/J45626/01","['Surfaces & Interfaces']"
"GR/L37458/01","['Instrumentation Eng. & Dev.', 'Lasers & Optics']"
"GR/L69602/01","['Numerical Analysis']"
"GR/J70253/01","['Image & Vision Computing']"
"GR/G60666/01","[]"
"GR/J13687/01","['Eng. Dynamics & Tribology']"
"GR/H87087/01","['Energy Storage']"
"GR/L06553/01","['Materials Characterisation']"
"GR/J16305/01","['Instrumentation Eng. & Dev.']"
"GR/J26090/01","['Biological & Medicinal Chem.']"
"GR/K42042/01","['Biological & Medicinal Chem.']"
"GR/G12740/01","[]"
"GR/K26516/01","['Construction Ops & Management']"
"GR/L77201/01","['Transport Ops & Management', 'Urban & Land Management']"
"GR/K40314/01","['Parallel Computing']"
"GR/M33402/01","['Fundamentals of Computing']"
"GR/G29915/01","[]"
"GR/L33474/01","['Materials Processing']"
"GR/J06108/01","['Human Communication in ICT']"
"GR/H55949/01","['Human Communication in ICT']"
