"acoustics","numerical analysis","2","£1,600,958.00"
"numerical analysis","water engineering","1","£100,020.00"
"acoustics","eng. dynamics & tribology","4","£7,588,630.00"
"control engineering","eng. dynamics & tribology","2","£4,764,013.00"
"eng. dynamics & tribology","non-linear systems mathematics","1","£3,768,933.00"
"acoustics","high performance computing","2","£1,050,359.00"
"complexity science","high performance computing","2","£985,455.00"
"high performance computing","mathematical analysis","1","£477,780.00"
"acoustics","microsystems","2","£2,320,538.00"
"acoustics","aerodynamics","9","£3,719,996.00"
"aerodynamics","design engineering","5","£1,225,284.00"
"acoustics","design engineering","5","£1,225,284.00"
"acoustics","combustion","2","£2,073,517.00"
"aerodynamics","eng. dynamics & tribology","1","£1,500,938.00"
"combustion","eng. dynamics & tribology","1","£1,500,938.00"
"eng. dynamics & tribology","numerical analysis","1","£1,500,938.00"
"acoustics","materials testing & eng.","1","£493,563.00"
"aerodynamics","combustion","4","£2,568,070.00"
"acoustics","electronic devices & subsys.","1","£307,559.00"
"electronic devices & subsys.","instrumentation eng. & dev.","1","£307,559.00"
"instrumentation eng. & dev.","microsystems","3","£2,418,350.00"
"particle technology","rheology","3","£888,826.00"
"acoustics","rheology","2","£544,759.00"
"food structure/composition","particle technology","1","£402,178.00"
"acoustics","control engineering","2","£3,914,468.00"
"aerodynamics","control engineering","2","£244,076.00"
"control engineering","robotics & autonomy","14","£26,949,442.00"
"robotics & autonomy","underwater engineering","2","£5,840,177.00"
"combustion","heat & mass transfer","2","£768,943.00"
"aerodynamics","materials processing","1","£1,363,268.00"
"aerodynamics","med.instrument.device& equip.","1","£1,363,268.00"
"instrumentation eng. & dev.","materials testing & eng.","6","£6,454,938.00"
"materials processing","med.instrument.device& equip.","3","£1,963,592.00"
"aerodynamics","fluid dynamics","4","£8,693,316.00"
"fluid dynamics","microsystems","6","£7,595,937.00"
"aerodynamics","design & testing technology","1","£99,395.00"
"design & testing technology","heat & mass transfer","1","£99,395.00"
"aerodynamics","heat & mass transfer","4","£1,566,605.00"
"aerodynamics","fusion","1","£279,240.00"
"aerodynamics","plasmas - technological","1","£279,240.00"
"fusion","plasmas - technological","2","£405,235.00"
"aerodynamics","construction ops & management","1","£722,190.00"
"aerodynamics","urban & land management","2","£4,895,324.00"
"transport ops & management","urban & land management","8","£18,137,248.00"
"aerodynamics","continuum mechanics","8","£11,681,616.00"
"continuum mechanics","high performance computing","2","£1,166,963.00"
"ageing: chemistry/biochemistry","analytical science","1","£475,926.00"
"algebra & geometry","continuum mechanics","11","£11,360,653.00"
"algebra & geometry","mathematical analysis","26","£17,762,102.00"
"algebra & geometry","non-linear systems mathematics","10","£13,519,529.00"
"continuum mechanics","logic & combinatorics","8","£9,468,288.00"
"continuum mechanics","mathematical physics","8","£9,468,288.00"
"continuum mechanics","numerical analysis","16","£21,917,329.00"
"logic & combinatorics","mathematical physics","10","£10,371,620.00"
"logic & combinatorics","numerical analysis","9","£9,751,714.00"
"mathematical analysis","non-linear systems mathematics","22","£16,931,193.00"
"mathematical physics","non-linear systems mathematics","8","£9,468,288.00"
"non-linear systems mathematics","numerical analysis","24","£36,288,732.00"
"algebra & geometry","mathematical physics","28","£24,811,734.00"
"algebra & geometry","numerical analysis","13","£14,735,366.00"
"algebra & geometry","quantum optics & information","1","£298,236.00"
"fundamentals of computing","mathematical analysis","2","£1,526,467.00"
"logic & combinatorics","mathematical analysis","11","£11,716,385.00"
"algebra & geometry","logic & combinatorics","24","£14,190,064.00"
"logic & combinatorics","mathematical aspects of or","5","£12,323,724.00"
"logic & combinatorics","statistics & appl. probability","11","£11,825,175.00"
"mathematical analysis","mathematical physics","15","£14,014,519.00"
"mathematical aspects of or","mathematical physics","4","£8,868,828.00"
"mathematical aspects of or","numerical analysis","5","£9,120,132.00"
"mathematical physics","numerical analysis","9","£10,402,777.00"
"algebra & geometry","statistics & appl. probability","13","£18,610,395.00"
"algebra & geometry","biophysics","1","£1,171,149.00"
"biophysics","complex fluids & soft solids","9","£15,998,501.00"
"biophysics","statistics & appl. probability","2","£4,163,446.00"
"complex fluids & soft solids","statistics & appl. probability","2","£6,639,817.00"
"mathematical analysis","statistics & appl. probability","23","£19,402,362.00"
"algebra & geometry","mathematical aspects of or","4","£8,868,828.00"
"continuum mechanics","non-linear systems mathematics","27","£26,573,131.00"
"mathematical analysis","numerical analysis","26","£29,419,173.00"
"non-linear systems mathematics","statistics & appl. probability","24","£51,363,353.00"
"continuum mechanics","mathematical aspects of or","4","£8,868,828.00"
"logic & combinatorics","theoretical biology","1","£1,629,559.00"
"mathematical analysis","theoretical biology","1","£1,629,559.00"
"mathematical aspects of or","statistics & appl. probability","8","£17,934,855.00"
"non-linear systems mathematics","theoretical biology","2","£7,826,723.00"
"numerical analysis","theoretical biology","1","£1,629,559.00"
"algebra & geometry","manufacturing machine & plant","2","£876,014.00"
"continuum mechanics","statistics & appl. probability","11","£18,733,457.00"
"algebra & geometry","information & knowledge mgmt","1","£1,218,040.00"
"continuum mechanics","mathematical analysis","12","£10,824,684.00"
"logic & combinatorics","non-linear systems mathematics","8","£9,468,288.00"
"chemical structure","instrumentation eng. & dev.","2","£2,281,703.00"
"analytical science","biomedical sciences","1","£188,407.00"
"analytical science","chemical synthetic methodology","9","£11,024,521.00"
"analytical science","materials synthesis & growth","3","£6,171,103.00"
"chemical synthetic methodology","materials synthesis & growth","10","£32,730,181.00"
"analytical science","instrumentation eng. & dev.","19","£19,551,621.00"
"analytical science","drug formulation & delivery","2","£1,023,588.00"
"analytical science","catalysis & applied catalysis","7","£4,119,461.00"
"chemical synthetic methodology","separation processes","1","£564,726.00"
"analytical science","electrochemical science & eng.","4","£1,855,199.00"
"electrochemical science & eng.","instrumentation eng. & dev.","1","£629,902.00"
"analytical science","chemical biology","14","£34,952,742.00"
"biological & medicinal chem.","chemical synthetic methodology","10","£16,042,856.00"
"analytical science","bioinformatics","5","£27,674,019.00"
"analytical science","genomics","3","£14,996,153.00"
"analytical science","statistics & appl. probability","3","£13,168,026.00"
"bioinformatics","biological & medicinal chem.","3","£17,357,174.00"
"bioinformatics","genomics","5","£24,454,128.00"
"bioinformatics","statistics & appl. probability","3","£15,644,397.00"
"biological & medicinal chem.","chemical biology","6","£23,568,947.00"
"biological & medicinal chem.","statistics & appl. probability","2","£10,175,729.00"
"chemical biology","genomics","4","£20,464,821.00"
"chemical biology","statistics & appl. probability","3","£15,644,397.00"
"genomics","medical science & disease","3","£15,644,397.00"
"genomics","theoretical biology","3","£15,644,397.00"
"medical science & disease","theoretical biology","4","£20,335,521.00"
"analytical science","bioelectronic devices","1","£4,884,594.00"
"analytical science","electronic devices & subsys.","2","£9,804,800.00"
"bioelectronic devices","chemical structure","1","£4,884,594.00"
"bioelectronic devices","optoelect. devices & circuits","3","£16,333,795.00"
"chemical structure","optoelect. devices & circuits","1","£4,884,594.00"
"analytical science","biomaterials","2","£8,423,103.00"
"analytical science","med.instrument.device& equip.","5","£14,362,004.00"
"biomaterials","image & vision computing","1","£3,502,897.00"
"chemical biology","image & vision computing","2","£10,684,342.00"
"image & vision computing","med.instrument.device& equip.","5","£13,723,658.00"
"instrumentation eng. & dev.","optical devices & subsystems","4","£2,697,407.00"
"analytical science","optical devices & subsystems","4","£11,111,182.00"
"catalysis & applied catalysis","electrochemical science & eng.","9","£11,608,690.00"
"catalysis & applied catalysis","materials characterisation","10","£13,944,001.00"
"electrochemical science & eng.","materials characterisation","4","£7,295,328.00"
"analytical science","chemical structure","7","£14,899,087.00"
"biophysics","information & knowledge mgmt","1","£2,992,297.00"
"analytical science","biological & medicinal chem.","7","£20,807,442.00"
"bioinformatics","theoretical biology","3","£15,644,397.00"
"biological & medicinal chem.","theoretical biology","2","£10,175,729.00"
"genomics","statistics & appl. probability","3","£15,644,397.00"
"analytical science","gas & solution phase reactions","6","£7,860,875.00"
"analytical science","asymmetric chemistry","1","£708,512.00"
"bioinformatics","chemical biology","6","£33,142,687.00"
"bioinformatics","image & vision computing","1","£7,181,445.00"
"bioinformatics","tissue engineering","3","£18,345,191.00"
"biological & medicinal chem.","image & vision computing","1","£7,181,445.00"
"biological & medicinal chem.","tissue engineering","1","£7,181,445.00"
"biomedical neuroscience","image & vision computing","1","£7,181,445.00"
"biomedical neuroscience","tissue engineering","1","£7,181,445.00"
"chemical biology","tissue engineering","1","£7,181,445.00"
"med.instrument.device& equip.","tissue engineering","11","£37,653,933.00"
"biophysics","chemical biology","2","£407,583.00"
"chemical biology","chemical synthetic methodology","4","£3,431,653.00"
"analytical science","image & vision computing","3","£11,903,494.00"
"analytical science","carbohydrate chemistry","1","£920,060.00"
"analytical science","materials testing & eng.","1","£4,920,206.00"
"biomaterials","materials testing & eng.","4","£8,214,017.00"
"chemical synthetic methodology","instrumentation eng. & dev.","4","£4,852,000.00"
"analytical science","co-ordination chemistry","3","£1,300,922.00"
"co-ordination chemistry","surfaces & interfaces","2","£2,114,959.00"
"catalysis & applied catalysis","gas & solution phase reactions","14","£19,243,485.00"
"analytical science","surfaces & interfaces","4","£4,642,892.00"
"analytical science","tissue engineering","2","£7,686,709.00"
"instrumentation eng. & dev.","med.instrument.device& equip.","7","£14,467,820.00"
"analytical science","materials processing","1","£204,437.00"
"catalysis & applied catalysis","light-matter interactions","1","£204,437.00"
"catalysis & applied catalysis","optoelect. devices & circuits","1","£204,437.00"
"light-matter interactions","optoelect. devices & circuits","1","£204,437.00"
"animal behaviour","artificial intelligence","1","£506,361.00"
"animal behaviour","music & acoustic technology","1","£506,361.00"
