"EP/J500094/1","['Accelerator R&D']"
"EP/N029437/1","['Acoustics', 'Numerical Analysis', 'Water Engineering']"
"EP/K003836/2","['Acoustics', 'Control Engineering', 'Eng. Dynamics & Tribology', 'Non-linear Systems Mathematics']"
"EP/N018877/1","['Acoustics', 'Complexity Science', 'High Performance Computing', 'Mathematical Analysis']"
"EP/K033565/1","['Acoustics', 'Eng. Dynamics & Tribology']"
"EP/K021877/1","['Acoustics', 'Instrumentation Eng. & Dev.', 'Microsystems']"
"EP/N01877X/1","['Acoustics', 'Aerodynamics', 'Design Engineering']"
"EP/N020413/1","['Acoustics', 'Aerodynamics', 'Design Engineering']"
"EP/N018737/1","['Acoustics', 'Aerodynamics', 'Design Engineering']"
"EP/N018486/1","['Acoustics', 'Aerodynamics', 'Design Engineering']"
"EP/J001953/2","['Acoustics', 'Med.Instrument.Device& Equip.', 'Medical Imaging']"
"EP/K017551/1","['Acoustics', 'Aerodynamics']"
"EP/K014102/1","['Acoustics', 'Aerodynamics', 'Combustion', 'Eng. Dynamics & Tribology', 'Numerical Analysis']"
"EP/M01391X/1","['Acoustics', 'Aerodynamics']"
"EP/N00437X/1","['Acoustics', 'Instrumentation Eng. & Dev.', 'Materials testing & eng.']"
"EP/N016483/1","['Acoustics', 'Eng. Dynamics & Tribology']"
"EP/L000261/1","['Acoustics', 'Aerodynamics', 'Combustion', 'High Performance Computing']"
"EP/J016438/1","['Acoustics', 'Electronic Devices & Subsys.', 'Instrumentation Eng. & Dev.']"
"EP/L025035/1","['Acoustics', 'Instrumentation Eng. & Dev.', 'Microsystems']"
"EP/M026302/1","['Acoustics', 'Particle Technology', 'Rheology']"
"EP/M026205/1","['Acoustics', 'Particle Technology', 'Rheology']"
"EP/M026310/1","['Acoustics', 'Food structure/composition', 'Particle Technology']"
"EP/N014197/1","['Acoustics', 'Human-Computer Interactions']"
"EP/M018164/1","['Acoustics', 'Aerodynamics', 'Control Engineering', 'Design Engineering']"
"EP/N009061/1","['Aerodynamics', 'Control Engineering', 'Robotics & Autonomy', 'Underwater Engineering']"
"EP/M025039/1","['Aerodynamics']"
"EP/M023893/1","['Aerodynamics', 'Combustion', 'Heat & Mass Transfer']"
"EP/M028836/1","['Aerodynamics']"
"EP/M02878X/1","['Aerodynamics']"
