"accelerator r&d","1","£1,927,885.00"
"acoustics","23","£15,766,542.00"
"aerodynamics","50","£51,110,961.00"
"ageing: chemistry/biochemistry","1","£475,926.00"
"algebra & geometry","131","£69,459,955.00"
"analytical science","90","£145,977,721.00"
"animal behaviour","1","£506,361.00"
"animal organisms","1","£1,581,410.00"
"applied arts htp","1","£6,358,107.00"
"artificial intelligence","146","£231,826,208.00"
"assess/remediate contamination","3","£4,534,982.00"
"asymmetric chemistry","11","£13,640,958.00"
"atoms & ions","13","£6,214,215.00"
"behavioural & experimental eco","1","£1,975,496.00"
"biochemical engineering","6","£18,986,493.00"
"bioelectronic devices","5","£22,042,473.00"
"bioenergy","29","£31,787,943.00"
"bioinformatics","16","£52,029,825.00"
"biological & medicinal chem.","29","£45,503,257.00"
"biological membranes","1","£2,215.00"
"biomaterials","81","£101,030,647.00"
"biomechanics & rehabilitation","47","£62,830,082.00"
"biomedical neuroscience","18","£29,394,374.00"
"biomedical sciences","1","£188,407.00"
"bionanoscience","1","£1,999,639.00"
"biophysics","45","£44,234,268.00"
"bioprocess engineering","19","£29,798,746.00"
"building ops & management","33","£67,993,377.00"
"carbohydrate chemistry","1","£920,060.00"
"carbon capture & storage","34","£36,659,546.00"
"catalysis & applied catalysis","124","£116,914,672.00"
"catalysis & enzymology","2","£689,340.00"
"cells","2","£6,116,997.00"
"chemical biology","38","£64,182,393.00"
"chemical structure","52","£57,198,101.00"
"chemical synthetic methodology","72","£101,788,856.00"
"civil engineering materials","31","£19,613,822.00"
"climate & climate change","3","£1,750,258.00"
"co-ordination chemistry","38","£25,587,639.00"
"coal technology","1","£6,550,555.00"
"coastal & waterway engineering","31","£22,329,706.00"
"cognitive psychology","7","£3,369,386.00"
"cognitive science appl. in ict","7","£7,657,173.00"
"cold atomic species","23","£30,906,872.00"
"combustion","33","£27,342,322.00"
"complex fluids & soft solids","54","£51,883,688.00"
"complexity science","38","£77,295,542.00"
"composition","1","£5,971,211.00"
"comput./corpus linguistics","14","£6,931,002.00"
"computational linguistics","1","£340,421.00"
"computational methods & tools","1","£98,603.00"
"computer graphics & visual.","36","£68,214,771.00"
"computer sys. & architecture","52","£60,302,509.00"
"condensed matter physics","82","£97,207,707.00"
"construction ops & management","13","£24,891,070.00"
"continuum mechanics","57","£56,547,841.00"
"control engineering","43","£66,051,915.00"
"criminal law & criminology","3","£5,019,737.00"
"criminology","5","£5,080,147.00"
"data handling & storage","1","£742,513.00"
"design & testing technology","40","£63,777,809.00"
"design engineering","36","£54,318,218.00"
"design of process systems","52","£97,558,106.00"
"design processes","14","£22,405,461.00"
"development (biosciences)","5","£2,325,834.00"
"development geography","1","£241,076.00"
"developmental psychology","1","£559,077.00"
"diamond light source","1","£1,436,518.00"
"digital art & design","4","£18,465,875.00"
"digital arts htp","2","£12,062,042.00"
"digital signal processing","61","£74,370,433.00"
"displays","3","£11,749,150.00"
"drug formulation & delivery","34","£55,765,735.00"
"earth & environmental","1","£1,581,410.00"
"earth engineering","1","£1,000,951.00"
"economics","3","£11,015,140.00"
"education","1","£3,444,605.00"
"electric motor & drive systems","13","£11,263,500.00"
"electrochemical science & eng.","31","£30,783,229.00"
"electromagnetics","3","£6,188,182.00"
"electronic devices & subsys.","72","£123,197,049.00"
"energy - conventional","20","£37,659,404.00"
"energy - marine & hydropower","27","£34,863,003.00"
"energy - nuclear","79","£77,162,994.00"
"energy efficiency","100","£150,990,954.00"
"energy storage","65","£71,775,478.00"
"eng. dynamics & tribology","30","£36,426,390.00"
"environment & health","2","£568,459.00"
"environmental economics","1","£2,926.00"
"environmental planning","1","£3,567,862.00"
"evolution & populations","1","£1,190,209.00"
"fluid dynamics","61","£51,953,657.00"
"food processing","4","£7,452,606.00"
"food structure/composition","3","£5,141,921.00"
"fuel cell technologies","28","£41,944,010.00"
"fundamentals of computing","175","£140,728,848.00"
"fusion","9","£190,002,289.00"
"gas & solution phase reactions","40","£47,267,022.00"
"genomics","5","£24,454,128.00"
"geohazards","1","£246,258.00"
"governance","2","£1,097,691.00"
"ground engineering","33","£32,605,304.00"
"heat & mass transfer","27","£37,435,379.00"
"high performance computing","27","£8,615,102.00"
"human communication in ict","23","£26,806,703.00"
"human geography (general)","1","£3,567,862.00"
"human-computer interactions","147","£193,369,943.00"
"image & vision computing","74","£116,964,229.00"
"industrial-org/occupational","1","£3,793,546.00"
"information & knowledge mgmt","141","£211,234,642.00"
"instrumentation eng. & dev.","65","£68,148,151.00"
"intelligent & expert systems","5","£9,297,777.00"
"intelligent measurement sys.","1","£4,956,495.00"
"international law","1","£1,975,496.00"
"international relations theory","1","£3,489,111.00"
"knowledge management","2","£1,056,671.00"
