"EP/J500094/1","['accelerator r&d']","£1,927,885.00"
"EP/N029437/1","['acoustics', 'numerical analysis', 'water engineering']","£100,020.00"
"EP/K003836/2","['acoustics', 'control engineering', 'eng. dynamics & tribology', 'non-linear systems mathematics']","£3,768,933.00"
"EP/N018877/1","['acoustics', 'complexity science', 'high performance computing', 'mathematical analysis']","£477,780.00"
"EP/K033565/1","['acoustics', 'eng. dynamics & tribology']","£1,025,401.00"
"EP/K021877/1","['acoustics', 'instrumentation eng. & dev.', 'microsystems']","£1,479,543.00"
"EP/N01877X/1","['acoustics', 'aerodynamics', 'design engineering']","£260,781.00"
"EP/N020413/1","['acoustics', 'aerodynamics', 'design engineering']","£287,665.00"
"EP/N018737/1","['acoustics', 'aerodynamics', 'design engineering']","£254,837.00"
"EP/N018486/1","['acoustics', 'aerodynamics', 'design engineering']","£276,466.00"
"EP/J001953/2","['acoustics', 'med.instrument.device& equip.', 'medical imaging']","£289,011.00"
"EP/K017551/1","['acoustics', 'aerodynamics']","£323,467.00"
"EP/K014102/1","['acoustics', 'aerodynamics', 'combustion', 'eng. dynamics & tribology', 'numerical analysis']","£1,500,938.00"
"EP/M01391X/1","['acoustics', 'aerodynamics']","£97,728.00"
"EP/N00437X/1","['acoustics', 'instrumentation eng. & dev.', 'materials testing & eng.']","£493,563.00"
"EP/N016483/1","['acoustics', 'eng. dynamics & tribology']","£1,293,358.00"
"EP/L000261/1","['acoustics', 'aerodynamics', 'combustion', 'high performance computing']","£572,579.00"
"EP/J016438/1","['acoustics', 'electronic devices & subsys.', 'instrumentation eng. & dev.']","£307,559.00"
"EP/L025035/1","['acoustics', 'instrumentation eng. & dev.', 'microsystems']","£840,995.00"
"EP/M026302/1","['acoustics', 'particle technology', 'rheology']","£283,997.00"
"EP/M026205/1","['acoustics', 'particle technology', 'rheology']","£260,762.00"
"EP/M026310/1","['acoustics', 'food structure/composition', 'particle technology']","£402,178.00"
"EP/N014197/1","['acoustics', 'human-computer interactions']","£1,023,446.00"
"EP/M018164/1","['acoustics', 'aerodynamics', 'control engineering', 'design engineering']","£145,535.00"
"EP/N009061/1","['aerodynamics', 'control engineering', 'robotics & autonomy', 'underwater engineering']","£98,541.00"
"EP/M025039/1","['aerodynamics']","£98,410.00"
"EP/M023893/1","['aerodynamics', 'combustion', 'heat & mass transfer']","£97,129.00"
"EP/M028836/1","['aerodynamics']","£282,841.00"
"EP/M02878X/1","['aerodynamics']","£74,693.00"
"EP/M028690/1","['aerodynamics']","£524,255.00"
"EP/K040707/1","['aerodynamics']","£359,271.00"
"EP/K040731/1","['aerodynamics']","£106,248.00"
"EP/K04060X/1","['aerodynamics']","£182,676.00"
"EP/J007706/1","['aerodynamics']","£332,775.00"
"EP/N002520/1","['aerodynamics', 'instrumentation eng. & dev.', 'materials processing', 'materials testing & eng.', 'med.instrument.device& equip.']","£1,363,268.00"
"EP/L016230/1","['aerodynamics', 'fluid dynamics', 'microsystems']","£4,279,853.00"
"EP/L015943/1","['aerodynamics']","£5,245,734.00"
"EP/J014826/1","['aerodynamics', 'heat & mass transfer']","£532,614.00"
"EP/N015398/1","['aerodynamics']","£96,940.00"
"EP/L023520/1","['aerodynamics']","£101,096.00"
"EP/N009037/1","['aerodynamics', 'design & testing technology', 'heat & mass transfer']","£99,395.00"
"EP/M026345/1","['aerodynamics', 'electric motor & drive systems', 'heat & mass transfer']","£837,467.00"
"EP/I037946/1","['aerodynamics', 'continuum mechanics', 'fluid dynamics']","£4,219,574.00"
"EP/N010221/1","['aerodynamics', 'urban & land management']","£4,173,134.00"
"EP/K034790/1","['aerodynamics']","£15,814.00"
"EP/K035037/1","['aerodynamics']","£263,808.00"
"EP/L024888/1","['aerodynamics']","£13,296,938.00"
"EP/L000237/1","['aerodynamics', 'fusion', 'plasmas - laser & fusion', 'plasmas - technological']","£279,240.00"
"EP/M022676/1","['aerodynamics']","£96,647.00"
"EP/L026457/1","['aerodynamics', 'fluid dynamics']","£100,466.00"
"EP/N019342/1","['aerodynamics', 'fluid dynamics']","£93,423.00"
"EP/J010537/1","['aerodynamics']","£274,822.00"
"EP/N004213/1","['aerodynamics']","£555,528.00"
"EP/M012581/1","['aerodynamics', 'construction ops & management', 'transport ops & management', 'urban & land management']","£722,190.00"
"EP/L006383/1","['aerodynamics']","£513,009.00"
"EP/P000878/1","['aerodynamics', 'continuum mechanics']","£6,136,938.00"
"EP/L00030X/1","['aerodynamics', 'combustion', 'continuum mechanics', 'high performance computing']","£397,424.00"
"EP/N032934/1","['aerodynamics', 'continuum mechanics']","£32,740.00"
"EP/N032861/1","['aerodynamics', 'continuum mechanics']","£811,714.00"
"EP/N032152/1","['aerodynamics', 'continuum mechanics']","£26,651.00"
"EP/N032411/1","['aerodynamics', 'continuum mechanics']","£26,515.00"
"EP/P000851/1","['aerodynamics', 'continuum mechanics']","£30,060.00"
"EP/M022307/1","['aerodynamics']","£327,106.00"
"EP/M022692/1","['aerodynamics']","£279,100.00"
"EP/M000559/1","['aerodynamics', 'energy efficiency']","£4,918.00"
"EP/M023664/1","['ageing: chemistry/biochemistry', 'analytical science']","£475,926.00"
