"evolution & populations","materials characterisation","1"
"evolution & populations","plant responses to environment","1"
"materials characterisation","plant physiology","1"
"materials characterisation","surfaces & interfaces","23"
"plant physiology","surfaces & interfaces","1"
"bioprocess engineering","catalysis & applied catalysis","5"
"bioprocess engineering","gas & solution phase reactions","1"
"bioprocess engineering","manufacturing machine & plant","11"
"bioprocess engineering","reactor engineering","2"
"catalysis & applied catalysis","design of process systems","40"
"catalysis & applied catalysis","heat & mass transfer","27"
"catalysis & applied catalysis","multiphase flow","9"
"catalysis & applied catalysis","separation processes","13"
"design of process systems","heat & mass transfer","29"
"design of process systems","multiphase flow","10"
"design of process systems","separation processes","16"
"gas & solution phase reactions","manufacturing machine & plant","7"
"gas & solution phase reactions","reactor engineering","12"
"heat & mass transfer","manufacturing machine & plant","4"
"heat & mass transfer","reactor engineering","13"
"manufacturing machine & plant","multiphase flow","4"
"manufacturing machine & plant","separation processes","6"
"multiphase flow","separation processes","12"
"control engineering","digital signal processing","2"
"control engineering","optical communications","1"
"control engineering","robotics & autonomy","17"
"digital signal processing","optical communications","8"
"digital signal processing","robotics & autonomy","7"
"networks & distributed systems","rf & microwave technology","23"
"optical communications","rf & microwave technology","9"
"rf & microwave technology","robotics & autonomy","4"
"bioinformatics","drug formulation & delivery","2"
"bioinformatics","med.instrument.device& equip.","6"
"bioinformatics","new media/web-based studies","2"
"bioinformatics","tissue engineering","6"
"biomaterials","instrumentation eng. & dev.","11"
"biomaterials","medical science & disease","3"
"biomaterials","novel industrial products","2"
"drug formulation & delivery","instrumentation eng. & dev.","4"
"drug formulation & delivery","medical science & disease","2"
"drug formulation & delivery","novel industrial products","2"
"instrumentation eng. & dev.","med.instrument.device& equip.","14"
"instrumentation eng. & dev.","new media/web-based studies","2"
"instrumentation eng. & dev.","tissue engineering","11"
"med.instrument.device& equip.","new media/web-based studies","2"
"med.instrument.device& equip.","tissue engineering","16"
"medical science & disease","novel industrial products","2"
"new media/web-based studies","novel industrial products","2"
"novel industrial products","tissue engineering","2"
"catalysis & applied catalysis","energy - nuclear","7"
"catalysis & applied catalysis","optical devices & subsystems","6"
"catalysis & applied catalysis","rf & microwave technology","1"
"electromagnetics","energy - nuclear","1"
"electromagnetics","optical devices & subsystems","2"
"electromagnetics","rf & microwave technology","5"
"energy - nuclear","materials characterisation","14"
"energy - nuclear","optoelect. devices & circuits","3"
"energy - nuclear","solar technology","3"
"materials characterisation","optoelect. devices & circuits","15"
"materials characterisation","solar technology","16"
"optical devices & subsystems","rf & microwave technology","10"
"optoelect. devices & circuits","rf & microwave technology","5"
"rf & microwave technology","solar technology","1"
"design engineering","electromagnetics","1"
"design engineering","energy storage","3"
