"combustion","mech. & fluid power transmiss.","3","£692,988.00"
"algebra & geometry","design & testing technology","1","£1,430.00"
"human-computer interactions","image & vision computing","11","£2,465,986.00"
"materials characterisation","materials processing","504","£205,360,455.00"
"materials characterisation","materials synthesis & growth","760","£319,657,252.00"
"materials characterisation","surfaces & interfaces","106","£49,857,776.00"
"materials processing","materials synthesis & growth","241","£126,102,973.00"
"materials processing","surfaces & interfaces","20","£9,807,796.00"
"materials synthesis & growth","surfaces & interfaces","42","£17,889,260.00"
"continuum mechanics","fluid dynamics","38","£17,077,614.00"
"continuum mechanics","numerical analysis","96","£30,010,101.00"
"fluid dynamics","numerical analysis","18","£14,868,339.00"
"transport ops & management","urban & land management","33","£24,124,394.00"
"algebra & geometry","non-linear systems mathematics","34","£22,435,670.00"
"biological & medicinal chem.","condensed matter physics","1","£104,470.00"
"biological & medicinal chem.","design & testing technology","1","£104,470.00"
"condensed matter physics","design & testing technology","1","£104,470.00"
"optoelect. devices & circuits","rf & microwave technology","9","£12,791,985.00"
"biological & medicinal chem.","carbohydrate chemistry","11","£16,898,345.00"
"biological & medicinal chem.","chemical synthetic methodology","128","£59,661,413.00"
"carbohydrate chemistry","chemical synthetic methodology","11","£7,787,749.00"
"condensed matter physics","surfaces & interfaces","15","£19,133,450.00"
"optical communications","optoelect. devices & circuits","23","£34,165,187.00"
"biological & medicinal chem.","catalysis & applied catalysis","25","£9,426,468.00"
"catalysis & applied catalysis","chemical synthetic methodology","134","£33,599,433.00"
"artificial intelligence","information & knowledge mgmt","71","£23,099,619.00"
"digital signal processing","networks & distributed systems","33","£15,938,240.00"
"digital signal processing","rf & microwave technology","66","£26,077,857.00"
"digital signal processing","vlsi design","17","£3,596,440.00"
"networks & distributed systems","rf & microwave technology","20","£17,848,801.00"
"networks & distributed systems","vlsi design","3","£956,173.00"
"rf & microwave technology","vlsi design","8","£8,283,997.00"
"information & knowledge mgmt","instrumentation eng. & dev.","8","£9,389,285.00"
"artificial intelligence","intelligent & expert systems","8","£4,584,337.00"
"energy - nuclear","nuclear structure","1","£576,002.00"
"energy - nuclear","scattering & spectroscopy","1","£576,002.00"
"nuclear structure","scattering & spectroscopy","3","£2,427,019.00"
