"accelerator r&d","biophysics","1"
"accelerator r&d","med.instrument.device& equip.","1"
"accelerator r&d","plasmas - laser & fusion","2"
"acoustics","aerodynamics","35"
"acoustics","bioenergy","1"
"acoustics","carbon capture & storage","1"
"acoustics","combustion","28"
"acoustics","continuum mechanics","7"
"acoustics","control engineering","10"
"acoustics","design engineering","6"
"acoustics","electronic devices & subsys.","3"
"acoustics","energy storage","1"
"acoustics","eng. dynamics & tribology","13"
"acoustics","fluid dynamics","7"
"acoustics","high performance computing","26"
"acoustics","human-computer interactions","2"
"acoustics","image & vision computing","3"
"acoustics","instrumentation eng. & dev.","8"
"acoustics","manufact. enterprise ops& mgmt","3"
"acoustics","manufacturing machine & plant","4"
"acoustics","materials testing & eng.","9"
"acoustics","microsystems","3"
"acoustics","non-linear systems mathematics","9"
"acoustics","numerical analysis","6"
"acoustics","particle technology","4"
"acoustics","robotics & autonomy","1"
"acoustics","statistics & appl. probability","2"
"acoustics","sustainable energy vectors","1"
"acoustics","transport ops & management","2"
"acoustics","vision & senses - ict appl.","1"
"aerodynamics","bioenergy","1"
"aerodynamics","biophysics","1"
"aerodynamics","building ops & management","3"
"aerodynamics","combustion","35"
"aerodynamics","complex fluids & soft solids","3"
"aerodynamics","complexity science","3"
"aerodynamics","continuum mechanics","26"
"aerodynamics","control engineering","3"
"aerodynamics","design engineering","7"
"aerodynamics","electric motor & drive systems","3"
"aerodynamics","energy - nuclear","5"
"aerodynamics","energy efficiency","7"
"aerodynamics","eng. dynamics & tribology","5"
"aerodynamics","fluid dynamics","16"
"aerodynamics","fusion","9"
"aerodynamics","heat & mass transfer","4"
"aerodynamics","high performance computing","32"
"aerodynamics","information & knowledge mgmt","3"
"aerodynamics","instrumentation eng. & dev.","7"
"aerodynamics","management & business studies","2"
"aerodynamics","manufacturing machine & plant","4"
"aerodynamics","materials characterisation","5"
"aerodynamics","materials processing","11"
"aerodynamics","materials testing & eng.","8"
"aerodynamics","med.instrument.device& equip.","6"
"aerodynamics","microsystems","6"
"aerodynamics","multiphase flow","5"
"aerodynamics","numerical analysis","3"
"aerodynamics","parallel computing","2"
"aerodynamics","plasmas - laser & fusion","9"
"aerodynamics","plasmas - technological","9"
"aerodynamics","psychology","3"
"aerodynamics","sociology","2"
"aerodynamics","software engineering","2"
"aerodynamics","sustainable energy networks","4"
"aerodynamics","tissue engineering","1"
"aerodynamics","transport ops & management","7"
"aerodynamics","urban & land management","16"
"algebra & geometry","continuum mechanics","43"
"algebra & geometry","design engineering","1"
